,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,A man out hillwalking in the U.K. has captured stunning photos of a weather phenomenon that has been compared to an “angel in the sky.”,"The Daytona 500 was postponed until Monday because of rainy weather at the Florida track, NASCAR said Sunday.",1.0,111.0,25.0,7.0,8.0,4.0,6.75,4.44,0.0,14.285714285714285,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,7.0,4.0,0.0,2.0,-11.25,-0.67,0.0,-19.05,0.0,8.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-48.44,-7.21,1.83,-3.54,1.7,-16.04,-0.51,-0.04,-0.23,0.0,5.41,-2.66,-7.83,-0.02,-0.05,-0.23,-0.54,-0.04,-0.76,-0.02,-0.01,-7.83,0.0,-0.07,-0.76
1,"A gust of 209 mph was recorded atop a California peak on Sunday, a potential record that wowed forecasters monitoring a cold storm moving south through the state.","A swollen Pearl River may soon reach its highest point in decades at Mississippi's capital, prompting the governor to urge people in mandatory evacuation zones to leave their homes by sundown Saturday.",1.0,135.0,28.0,5.0,9.0,2.0,28.0,4.821428571428571,0.0,20.0,0.0,3.571428571428571,3.571428571428571,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-35.0,-4.0,1.0,-3.0,0.0,-4.0,-0.49,0.0,20.0,0.0,3.57,0.45,-3.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,-36.44,-5.71,0.83,-3.04,0.7,-5.41,-0.32,-0.04,2.63,0.0,3.2,-0.87,-4.83,-0.02,-0.05,-0.23,-0.04,-0.04,-0.76,-0.02,-0.01,-4.83,0.0,-0.07,-0.76
2,"Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.","Ryan Newman, leading the final lap of NASCAR's Daytona 500, was involved in a fiery crash Monday that saw his car spin and go airborne, flipping several times.",1.0,118.0,26.0,7.0,6.0,2.0,26.0,4.538461538461538,0.0,14.285714285714285,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-14.0,-2.0,1.0,-5.0,0.0,-2.0,-0.18,0.0,-2.38,0.0,-7.14,-3.57,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-38.1,-5.88,1.16,-3.88,0.37,-2.54,-0.35,-0.04,1.68,0.0,1.27,-1.47,-3.5,-0.02,-0.05,-0.23,0.12,-0.04,-0.76,-0.02,-0.01,-3.5,0.0,-0.07,-0.76
3,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","It has been more than a month since the World Health Organization declared the novel coronavirus a public health emergency of international concern. Since the outbreak began, there have been more than 90,000 cases of the virus worldwide and more than 3,100 de…",1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-151.0,-30.0,-5.0,-5.0,0.0,-8.5,0.08,0.0,-33.33,0.0,0.0,-9.3,-14.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-51.69,-9.21,-0.17,-3.79,0.2,-4.35,-0.21,-0.04,-2.37,0.0,0.31,-1.77,-6.08,-0.02,-0.05,-0.23,-0.04,-0.04,-0.76,-0.02,-0.01,-6.08,0.0,-0.07,-0.76
4,"The average price of a Canadian home eclipsed $500,000 last month, and it was the best January for sales in a dozen years.","Issui Enomoto knows the nooks and crannies of Tokyo and Yokohama intimately. For more than a decade, he has photographed their shape-shifting qualities from within his taxi.",1.0,100.0,23.0,2.0,8.0,2.0,23.0,4.3478260869565215,0.0,50.0,0.0,4.3478260869565215,0.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-47.0,-4.0,-1.0,-1.0,-1.0,9.5,-1.1,0.0,50.0,0.0,4.35,0.0,-4.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-4.0,0.0,0.0,-2.0,-53.24,-9.21,-0.77,-3.74,0.1,-3.44,-0.29,-0.04,5.2,0.0,0.6,-1.94,-6.03,-0.02,-0.05,-0.23,0.06,-0.04,-0.56,-0.02,-0.01,-6.03,0.0,-0.07,-0.56
5,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","Lucy the Elephant, a Margate, New Jersey-based attraction whose claim to fame is being the world's largest elephant and the oldest roadside attraction in the United States, will soon open its doors to overnight guests for the first time in over 100 years.",1.0,177.0,37.0,9.0,10.0,2.0,37.0,4.783783783783784,0.0,11.11111111111111,0.0,0.0,5.405405405405405,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,-36.0,-6.0,5.0,-7.0,0.0,-6.0,-0.17,0.0,-13.89,0.0,-6.98,5.41,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-41.44,-6.88,-0.0,-3.38,0.04,-0.49,-0.27,-0.04,3.77,0.0,0.07,-1.16,-4.16,-0.02,-0.05,-0.23,0.12,-0.04,-0.59,-0.02,-0.01,-4.16,0.0,-0.07,-0.59
6,"The Ontario Liberal leadership vote is March 7, but winning that will be the easy part of rebuilding the party, writes Jamal Abas.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,108.0,23.0,6.0,9.0,2.0,23.0,4.695652173913044,0.0,33.33333333333333,0.0,8.695652173913043,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-107.0,-20.0,0.0,-5.0,0.0,1.5,-0.3,-1.0,0.0,0.0,8.7,-4.65,-12.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-12.0,0.0,0.0,-2.0,-42.86,-7.21,0.12,-3.26,-0.01,-0.39,-0.27,-0.04,5.92,0.0,0.93,-1.38,-4.4,-0.02,-0.05,-0.23,0.17,-0.04,-0.61,-0.02,-0.01,-4.4,0.0,-0.07,-0.61
7,"North American manufacturers and retailers haven't yet experienced widespread disruptions from the coronavirus outbreak. But contingency plans are in effect for industries that use Chinese suppliers — which, these days, means a lot of different businesses.","Another long weekend, another set of sales to shop — and these deals are worthy of the highest office in the land. Presidents Day weekend means dozens of discounts on everything you've been waiting to buy, from mattresses and kitchen appliances to fashion, fu…",1.0,221.0,36.0,6.0,13.0,3.0,18.0,6.138888888888889,0.0,16.666666666666664,0.0,0.0,2.7777777777777777,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,4.0,-8.0,-2.0,-4.0,1.0,-4.0,1.21,0.0,-8.33,0.0,-2.27,2.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-29.81,-5.84,0.2,-2.67,0.08,-0.94,-0.08,-0.04,5.45,0.0,0.49,-1.19,-2.7,-0.02,-0.05,-0.23,0.08,-0.04,-0.63,-0.02,-0.01,-2.7,0.0,-0.07,-0.63
8,"From outside Wet'suwet'en Nation, the conflict over a gas pipeline seems complex, but key players have emerged. Here's a guide to some of them and how they fit into the organizations that make up Wet'suwet'en Nation.",CNN affiliate WLOS reporter Justin Hinton kept a sense of humor after his live weather report took an unexpected turn.,1.0,181.0,36.0,6.0,10.0,3.0,18.0,5.027777777777778,0.0,0.0,0.0,0.0,5.555555555555555,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,82.0,16.0,4.0,-1.0,1.0,-2.0,0.08,0.0,0.0,0.0,-5.0,0.56,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-24.1,-4.77,0.27,-2.54,0.15,-1.37,-0.07,-0.04,3.23,0.0,0.15,-0.74,-2.05,-0.02,-0.05,-0.12,0.01,-0.04,-0.53,-0.02,-0.01,-2.05,0.0,-0.07,-0.53
9,"People should feel comfortable reaching out for help with mental health issues, says farmer who is pushing back against those who've told him he should just suck it up.","Space weather has more implications than causing glitches in Earth's satellite-based communications -- it can also strand gray whales, according to a new study. Typically, space weather is created when solar storms occur on the sun and stream out toward Earth…",1.0,140.0,29.0,10.0,5.0,2.0,29.0,4.827586206896552,0.0,10.0,0.0,3.4482758620689653,6.896551724137931,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,0.0,0.0,3.0,-80.0,-12.0,2.0,-10.0,0.0,8.5,-0.54,0.0,-2.5,0.0,3.45,4.46,-12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-12.0,0.0,0.0,2.0,-23.64,-4.61,0.73,-2.94,0.1,-0.61,-0.07,-0.04,2.46,0.0,0.22,-0.24,-1.83,-0.02,-0.05,-0.13,-0.04,-0.04,-0.26,-0.02,-0.01,-1.83,0.0,-0.07,-0.26
