,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,220.0,41.0,7.0,20.0,5.0,8.2,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,39.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,39.0,2.0,0.0,2.0,3.0,-3.0,-2.0,7.0,3.0,-13.8,0.43,0.0,-33.33,0.0,-2.27,2.61,5.0,0.0,1.0,2.0,2.0,1.0,0.0,-1.0,0.0,5.0,2.0,0.0,0.0,33.81,3.59,0.7,6.41,2.7,-18.24,0.35,0.0,-15.94,0.0,-2.78,2.49,7.74,0.0,0.93,1.78,1.48,0.96,0.85,-0.07,0.0,7.74,2.0,-0.04,0.85
1,Former U.S. vice-president Joe Biden has won South Carolina's Democratic primary.,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,71.0,11.0,2.0,7.0,4.0,4.0,6.454545454545454,0.0,0.0,0.0,9.090909090909092,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-150.0,-29.0,-2.0,-10.0,1.0,-9.33,0.93,0.0,0.0,0.0,6.59,-7.5,-20.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-20.0,0.0,0.0,-3.0,-40.69,-11.41,-1.8,-0.09,2.2,-20.34,0.89,0.0,-15.94,0.0,1.77,0.05,-6.26,0.0,0.43,0.78,0.48,0.46,-0.15,-0.07,0.0,-6.26,1.0,-0.04,-0.15
2,Bernie Sanders's rivals have raised the possibility of pushing him out on a second ballot if he enters this summer's Democratic convention with a lead short of a first-ballot majority. That was the subtext of a revealing exchange in a presidential candidates'…,"Voting is taking place in 14 Super Tuesday states on the most crucial day yet in the 2020 election, a day that will go a long way toward showing whether surging former Vice President Joe Biden can slow the march of liberal front-runner Sen. Bernie Sanders to …",1.0,219.0,42.0,5.0,12.0,2.0,21.0,5.214285714285714,0.0,20.0,0.0,2.380952380952381,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,6.0,-6.0,-5.0,-4.0,0.0,-3.0,0.78,0.0,10.0,0.0,2.38,-2.08,-7.0,0.0,0.0,-1.0,-2.0,0.0,2.0,0.0,0.0,-7.0,0.0,0.0,2.0,-16.19,-6.07,-1.63,-0.59,1.37,-15.37,0.66,0.0,-9.28,0.0,1.04,-0.77,-3.93,0.0,0.26,0.44,0.15,0.3,0.19,-0.07,0.0,-3.93,0.67,-0.04,0.19
3,"Kim's Convenience star Paul Sun-Hyung Lee says he was filled with 'equal parts pure joy, elation and shock' when Parasite won best picture at the Oscars. His reaction reflects a wider one, as world cinema fans wonder whether the win indicates a change in how …",Former Vice President Joe Biden is heading into Super Tuesday with the momentum of a huge win here -- and the argument that he is the lone viable alternative to Vermont Sen. Bernie Sanders.,1.0,215.0,46.0,7.0,21.0,2.0,23.0,4.673913043478261,0.0,14.285714285714285,0.0,17.391304347826086,2.1739130434782608,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,0.0,1.0,59.0,12.0,4.0,7.0,-1.0,6.0,0.09,0.0,-52.38,0.0,14.45,-0.77,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-4.94,-2.41,-1.05,1.41,0.95,-12.39,0.41,0.0,-7.37,0.0,4.44,-0.63,-0.26,0.0,0.18,0.28,0.23,0.21,0.1,-0.07,0.0,-0.26,0.5,-0.04,0.1
4,"Former vice-president Joe Biden's struggling campaign faced a do-or-die moment in South Carolina, and a dominant win there gives him a well-timed shot of momentum entering the coming week's Super Tuesday contests. 'We are very much alive,' Biden says.","Perhaps the most dangerous claim made during the Senate impeachment trial was the false assertion that the President can do no wrong, that he is above the law, and if it is good for his reelection, then it is good for the country, writes Joe Manchin.",1.0,213.0,39.0,8.0,15.0,3.0,19.5,5.461538461538462,0.0,12.5,0.0,2.564102564102564,2.564102564102564,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,8.0,-7.0,0.0,3.0,1.0,-26.5,1.01,0.0,-37.5,0.0,-1.78,-3.96,7.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,7.0,0.0,0.0,-3.0,1.41,-1.61,-0.5,1.41,0.9,-11.3,0.41,0.0,-6.58,0.0,3.51,-0.47,0.74,0.0,0.13,0.18,0.08,0.16,0.05,-0.07,0.0,0.74,0.4,-0.04,0.05
5,Amy Klobuchar and Pete Buttigieg united behind Joe Biden's presidential bid on Monday as the Democratic Party's moderate wing scrambled to boost the former vice president just hours before voting began across a series of high-stakes Super Tuesday states.,"The tables can turn so quickly in politics. A party that last week was literally freaking out about Sen. Bernie Sanders potentially locking up the nomination on Super Tuesday has this week coalesced around former Vice President Joe Biden, with voters across t…",1.0,216.0,39.0,5.0,18.0,2.0,39.0,5.538461538461538,0.0,0.0,0.0,2.564102564102564,5.128205128205128,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,-2.0,-4.0,-2.0,0.0,-1.0,24.67,0.47,0.0,-14.29,0.0,2.56,2.8,-4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,6.15,-1.07,-0.63,1.91,0.7,-7.32,0.43,0.0,-8.14,0.0,2.89,0.07,1.57,0.0,0.09,0.11,-0.02,0.13,-0.15,-0.07,0.0,1.57,0.33,-0.04,-0.15
6,"Four years ago, Sen. Bernie Sanders' momentum stalled in the southwest. A setback in Nevada followed his impressive early showing in less-diverse Iowa and New Hampshire, and it foreshadowed what happened next: a campaign-ending string of defeats in states wit…","Voting is taking place in 14 Super Tuesday states on the most crucial day yet in the 2020 election, a day that will go a long way toward showing whether surging former Vice President Joe Biden can slow the march of liberal front-runner Sen. Bernie Sanders to …",1.0,221.0,40.0,5.0,15.0,3.0,13.333333333333334,5.525,0.0,0.0,0.0,5.0,2.5,34.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,8.0,-8.0,-5.0,-1.0,1.0,-10.67,1.09,0.0,-10.0,0.0,5.0,0.42,-5.0,0.0,0.0,-1.0,-1.0,0.0,2.0,0.0,0.0,-5.0,0.0,0.0,2.0,10.24,-0.55,-0.72,1.84,0.7,-8.15,0.44,0.0,-9.26,0.0,2.79,0.07,1.74,0.0,0.07,0.06,0.05,0.11,-0.01,-0.07,0.0,1.74,0.29,-0.04,-0.01
7,"Nevada Democrats will host hundreds of caucuses on Saturday, the third contest in the state-by-state U.S. presidential nominating process, and nomination candidate Bernie Sanders will face a major test of his front-runner status.","Minnesota Sen. Amy Klobuchar first publicly vented her chief frustration with Pete Buttigieg nine months ago in a parking lot in Cresco, Iowa.",1.0,197.0,33.0,4.0,16.0,4.0,11.333333333333334,5.96969696969697,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,77.0,10.0,3.0,4.0,1.0,-0.17,0.75,0.0,0.0,0.0,0.0,-4.35,6.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,10.31,-1.03,-0.92,1.91,0.83,-9.02,0.51,0.0,-10.09,0.0,2.09,-0.24,0.99,0.0,0.05,0.03,-0.02,0.09,-0.02,-0.07,0.0,0.99,0.25,-0.04,-0.02
8,"Ahead of Israel's third election in less than 12 months, no single issue seems to have moved the needle significantly enough to swing voters in one direction or another — leading to predictions of a fourth poll in the fall.",Lev Golinkin writes that if the Democrats leading the resistance against Donald Trump's administration don't stop casting themselves as martyrs and making insensitive comparisons -- like between Trump and Nazis -- they are doomed to repeat 2016.,1.0,184.0,40.0,5.0,10.0,2.0,40.0,4.6,0.0,0.0,0.0,5.0,5.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,-25.0,3.0,-4.0,-1.0,0.0,3.0,-1.05,0.0,-11.11,0.0,-0.41,-3.11,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.93,-0.63,-0.96,1.3,0.7,-6.51,0.4,0.0,-10.74,0.0,2.11,0.08,0.74,0.0,0.04,0.0,0.15,0.07,-0.15,-0.07,0.0,0.74,0.22,-0.04,-0.15
9,"Bernie Sanders' ""very, very different"" economic plan is unlikely to triumph over President Donald Trump's if he wins the Democratic Party presidential nomination, according to U.S. Treasury Secretary Steven Mnuchin.",President Donald Trump's campaign held a background call with reporters Sunday evening where officials laid out their view of the Democratic race and argued that former Vice President Joe Biden and Vermont Sen. Bernie Sanders are interchangeable.,1.0,186.0,30.0,4.0,13.0,4.0,10.333333333333334,6.2,0.0,25.0,0.0,6.666666666666667,3.3333333333333335,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-24.0,-7.0,-1.0,-6.0,1.0,-8.17,0.52,0.0,5.0,0.0,6.67,3.33,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,8.01,-1.31,-1.1,1.11,0.8,-7.47,0.48,0.0,-8.76,0.0,2.29,0.17,0.34,0.0,0.03,-0.02,0.08,0.06,-0.15,-0.07,0.0,0.34,0.2,-0.04,-0.15
10,"Nevada Democrats will host hundreds of caucuses on Saturday, the third contest in the state-by-state U.S. presidential nominating process, and nomination candidate Bernie Sanders will face a major test of his front-runner status.","In any political campaign, candidates need to know what they stand for, and who -- or what --they're up against. At this stage in the game for Bloomberg, that enemy is not Trump. It's Sen. Bernie Sanders and the election calendar, writes Joe Lockhart.",1.0,197.0,33.0,4.0,16.0,4.0,11.333333333333334,5.96969696969697,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-11.0,-11.0,-3.0,2.0,-1.0,0.33,1.24,0.0,-14.29,0.0,0.0,-2.27,-11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,8.27,-1.59,-1.21,1.23,0.89,-8.16,0.52,0.0,-9.42,0.0,1.83,-0.07,-0.08,0.0,0.02,-0.04,0.03,0.05,-0.15,-0.07,0.0,-0.08,0.18,-0.04,-0.15
