,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,A Soviet spy radio has been discovered in Germany by archaeologists searching for Roman remains.,"On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,82.0,15.0,5.0,5.0,2.0,15.0,5.466666666666667,0.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-110.0,-24.0,2.0,-14.0,0.0,-24.0,0.54,0.0,-13.33,0.0,0.0,-2.56,-17.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-17.0,0.0,0.0,-1.0,-100.15,-18.77,0.08,-8.35,0.08,-14.54,0.0,0.0,12.35,0.0,-2.05,-3.2,-13.12,-0.58,0.0,-0.08,-0.46,0.0,-0.73,0.0,0.0,-13.12,0.0,0.0,-0.73
1,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","There is something curiously and unexpectedly satisfying about Alastair Philip Wiper's images of factories, laboratories and industrial facilities.",1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-63.0,-5.0,-1.0,0.0,0.0,-5.0,-2.07,0.0,-50.0,0.0,-5.56,-5.56,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-107.65,-19.77,-1.92,-6.85,0.08,-15.54,-0.16,0.0,2.35,0.0,-2.05,-3.2,-14.12,-0.58,0.0,-0.08,-0.46,0.0,-0.73,0.0,0.0,-14.12,0.0,0.0,-0.73
2,North Korea fired two unidentified projectiles into its eastern sea on Monday as it begins to resume weapons demonstrations after a months-long hiatus that could have been forced by the coronavirus crisis in Asia.,"The presidential primary system remains an impediment to political progress. It's hard to imagine a worse system to nominate candidates to the highest office in the land. If you think this system works well and need further evidence, look no further than the …",1.0,180.0,34.0,7.0,11.0,2.0,34.0,5.294117647058823,0.0,14.285714285714285,0.0,0.0,2.941176470588235,34.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,-37.0,-10.0,-1.0,0.0,-1.0,19.33,0.36,0.0,14.29,0.0,-6.82,-3.88,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,-72.49,-13.1,-0.59,-5.35,0.08,-8.87,-0.16,0.0,3.78,0.0,-2.05,-2.22,-7.45,-0.58,0.0,-0.08,-0.13,0.0,-0.06,0.0,0.0,-7.45,0.0,0.0,-0.06
3,"The U.S. is seen as a global force in terms of its ""soft power"" and influence, despite controversy around President Trump's administration which has damaged the country's reputation, according to new research.","Like any institution, monarchies must adapt to remain relevant and in place.",1.0,178.0,32.0,5.0,12.0,4.0,11.0,5.5625,0.0,20.0,0.0,6.25,6.25,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,113.0,20.0,2.0,9.0,2.0,-1.0,0.15,0.0,20.0,0.0,6.25,6.25,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,-55.4,-10.27,-0.42,-4.35,0.58,-11.29,-0.1,0.0,5.92,0.0,-0.49,-0.91,-4.62,-0.58,0.0,-0.08,-0.21,0.0,0.02,0.0,0.0,-4.62,0.0,0.0,0.02
4,Amazon has chosen the wrong attack strategy after losing the Pentagon's $10 billion cloud computing JEDI contract.,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,98.0,17.0,4.0,7.0,2.0,17.0,5.764705882352941,0.0,0.0,0.0,0.0,23.52941176470588,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-123.0,-23.0,0.0,-10.0,-1.0,3.67,0.24,0.0,0.0,0.0,-2.5,16.03,-16.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-16.0,0.0,0.0,-3.0,-61.15,-11.57,-0.52,-4.75,0.48,-11.54,-0.02,0.0,3.2,0.0,-0.8,3.34,-6.32,-0.58,0.0,-0.08,0.14,0.0,-0.13,0.0,0.0,-6.32,0.0,0.0,-0.13
5,"Iran has nearly tripled its stockpile of enriched uranium since November in violation of its deal with world powers, the UN atomic watchdog agency said Tuesday, raising questions about other undeclared nuclear materials.","Hasta ahora, el presidente Donald Trump ha tenido suerte. Durante sus primeros tres años en el cargo no ha habido una gran crisis comparada a las que enfrentaron en su momento sus predecesores.",1.0,188.0,33.0,4.0,14.0,2.0,33.0,5.696969696969697,0.0,0.0,0.0,0.0,3.0303030303030303,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,27.0,0.0,1.0,-6.0,-1.0,16.5,0.82,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,-49.99,-9.77,-0.59,-3.85,0.41,-9.04,0.02,0.0,1.39,0.0,-1.01,2.76,-5.12,-0.58,0.0,-0.08,0.04,0.0,0.1,0.0,0.0,-5.12,0.0,0.0,0.1
6,"North Korea continued to enhance its nuclear and ballistic missile programs last year in breach of United Nations sanctions, according to a confidential UN report seen by Reuters on Monday.",El gobierno de El Salvador pidió en noviembre autorización a la Asamblea Legislativa para contratar un préstamo por US$ 109 millones para financiar la tercera del plan de seguridad denominado Plan Control Territorial.,1.0,160.0,30.0,4.0,13.0,2.0,30.0,5.333333333333333,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-25.0,-3.0,2.0,-5.0,0.0,-3.0,-0.27,0.0,0.0,0.0,3.33,3.33,3.0,-6.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,-46.01,-8.91,-0.64,-3.35,0.36,-7.68,0.0,0.0,0.1,0.0,-0.68,2.38,-4.4,-0.58,0.0,-0.08,-0.03,0.0,0.13,0.0,0.0,-4.4,0.0,0.0,0.13
7,Seoul's Joint Chiefs of Staff said in a statement it has detected three launches made from a town in the North's South Hamgyong province.,"Satélites rusos han estado exhibiendo el ""comportamiento inusual e inquietante"" de seguir un satélite estadounidense en órbita, según el comandante de la Fuerza Espacial, el servicio militar más nuevo en Estados Unidos.",1.0,114.0,24.0,4.0,11.0,2.0,24.0,4.75,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,-74.0,-8.0,3.0,-6.0,0.0,-8.0,-1.12,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-48.78,-9.02,-0.67,-3.22,0.33,-7.41,-0.09,0.0,-0.87,0.0,-0.85,1.68,-4.87,-0.58,0.0,-0.08,0.04,0.0,0.14,0.0,0.0,-4.87,0.0,0.0,0.14
8,"Iranian state TV has announced the first partial results from the country's parliamentary elections, indicating a strong showing by hardliners in the capital Tehran.","The Trump administration has tapped Marshall Billingslea, the current undersecretary for terrorism financing at the Treasury Department, as special envoy for nuclear talks, according to two sources familiar.",1.0,142.0,24.0,3.0,9.0,2.0,24.0,5.916666666666667,0.0,0.0,0.0,4.166666666666666,4.166666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-38.0,-4.0,0.0,-2.0,0.0,-4.0,-0.51,0.0,0.0,0.0,4.17,0.6,-3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-47.82,-9.1,-0.81,-3.35,0.3,-7.21,-0.03,0.0,-1.62,0.0,-0.52,1.6,-5.12,-0.58,0.0,-0.08,-0.02,0.0,0.05,0.0,0.0,-5.12,0.0,0.0,0.05
9,"Iranian hardliners have won all 30 parliament seats in the capital, Tehran, state TV reported on Sunday, but officials have yet to announce the voter turnout from parliamentary elections two days ago.","During a visit to US Strategic Command last week, Secretary of Defense Mark Esper oversaw a ""table top"" war game exercise where Russian military forces used a ""tactical"" nuclear weapon against NATO territory during a conflict in Europe, prompting the US to la…",1.0,169.0,32.0,5.0,13.0,2.0,32.0,5.28125,0.0,0.0,0.0,3.125,3.125,28.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-49.0,-11.0,1.0,-6.0,1.0,-11.0,0.21,0.0,0.0,0.0,0.8,0.8,-7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-44.35,-8.37,-0.72,-3.05,0.28,-6.24,-0.04,0.0,-2.22,0.0,-0.36,1.43,-4.62,-0.58,0.0,0.02,0.14,0.0,-0.03,0.0,0.0,-4.62,0.0,0.0,-0.03
