,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Despite most scientists generally accepting that dinosaurs were cold-blooded creatures, a new study suggests they were in fact warm-blooded.","As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,122.0,19.0,4.0,5.0,2.0,19.0,6.421052631578948,0.0,50.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-52.0,-20.0,-2.0,-4.0,0.0,-20.0,1.96,0.0,16.67,0.0,-2.56,0.0,-10.0,0.0,0.0,1.0,-2.0,-3.0,-1.0,0.0,0.0,-10.0,-3.0,-3.0,-1.0,-52.93,-14.37,-1.8,-6.84,-0.23,-6.57,1.15,-0.01,37.71,0.0,-2.27,-2.94,-10.34,-0.02,-0.03,1.83,-0.48,-0.04,-0.82,-0.01,0.0,-10.34,-0.03,-0.07,-0.82
1,Could cyborg locusts be the bomb-sniffing dogs of the future?,"The Washington Examiner parted ways with its managing editor, capping off a tumultuous two-week period for the DC publication.",1.0,52.0,10.0,1.0,5.0,1.0,10.0,5.2,1.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-56.0,-9.0,-1.0,-3.0,-1.0,-9.0,-0.48,1.0,100.0,0.0,0.0,-5.26,-11.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-11.0,0.0,0.0,-1.0,-87.93,-18.87,-3.3,-6.84,-0.73,-11.07,0.54,0.49,62.71,0.0,-2.27,-2.94,-14.84,-0.02,-0.03,0.83,-0.48,-0.04,-0.82,-0.01,0.0,-14.84,-0.03,-0.07,-0.82
2,Scientists think if there is life on Mars it's likely to be hidden in deep underground caves.,"Republican Sen. John Cornyn Wednesday blasted the socialist vision of Democratic presidential candidate Bernie Sanders and said it's critical Republicans keep control of the Senate to be a ""firewall"" against the Vermont senator's policies in case he's elected.",1.0,77.0,17.0,5.0,4.0,2.0,17.0,4.529411764705882,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-146.0,-21.0,-2.0,-12.0,-1.0,-2.0,-1.34,0.0,25.71,0.0,0.0,-5.26,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-91.27,-18.03,-2.47,-7.18,-0.57,-10.24,0.11,0.32,51.04,0.0,-2.27,-2.94,-13.34,-0.02,-0.03,0.5,-0.48,-0.04,-0.82,-0.01,0.0,-13.34,-0.03,-0.07,-0.82
3,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )",Somewhere in Donald Trump's chest beats a wounded heart. It is the part of him that can't stand it when an unflattering photo of him is shared all over the internet. This happened to him last week when a photo proliferated on social media in which it appears …,1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-122.0,-33.0,-7.0,-1.0,-1.0,-8.33,1.3,0.0,-22.22,0.0,0.0,6.25,-14.0,0.0,0.0,-1.0,1.0,0.0,-5.0,0.0,0.0,-14.0,0.0,0.0,-5.0,-89.68,-17.87,-2.8,-6.09,-0.48,-12.07,0.17,0.24,35.21,0.0,-2.27,-1.38,-12.84,-0.02,-0.03,0.33,-0.23,-0.04,-0.82,-0.01,0.0,-12.84,-0.03,-0.07,-0.82
4,"By banning protests on the field of play and at official ceremonies, the International Olympic Committee has unintentionally created the perfect environment for dissent, writes Oren Weisfeld.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,165.0,27.0,4.0,11.0,2.0,27.0,6.111111111111111,0.0,0.0,0.0,3.7037037037037033,7.4074074074074066,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-43.0,-12.0,-4.0,-1.0,0.0,-12.0,0.78,0.0,-12.5,0.0,3.7,4.84,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-73.73,-15.57,-2.6,-5.04,-0.43,-9.37,0.3,0.19,25.71,0.0,-1.53,-0.21,-10.94,-0.02,-0.03,0.23,-0.28,-0.04,-0.82,-0.01,0.0,-10.94,-0.03,-0.07,-0.82
5,"Plastics made from fossil fuels generate a lot of greenhouse gas emissions and waste. 'Bioplastics,' especially compostable plastics made from plants, have been touted as a greener alternative. But what are they really? And are they really more environmentall…","As airlines upgrade their fleets with more environmentally compliant planes, the need for efficent aircraft disposal methods is more pressing than ever. We take a look at one company that's stepped in to fill the void.",1.0,222.0,39.0,8.0,11.0,3.0,9.75,5.6923076923076925,1.0,37.5,0.0,0.0,5.128205128205128,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,39.0,3.0,1.0,0.0,0.0,-8.25,0.61,1.0,23.21,0.0,-2.78,5.13,-3.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,-53.6,-12.03,-1.8,-4.34,-0.23,-10.44,0.32,0.32,25.62,0.0,-1.65,0.19,-8.84,-0.02,-0.03,0.17,-0.31,-0.04,-0.82,-0.01,0.0,-8.84,-0.03,-0.07,-0.82
6,"Prime Minister Justin Trudeau announced today that the federal government will extend the business tax deduction for zero-emission vehicles and equipment to cover mining operations, as he argued that the sector will have an important role to play in the fight…",Tributes have been paid to British television presenter Caroline Flack after her family confirmed her death Saturday.,1.0,220.0,41.0,8.0,17.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,2.4390243902439024,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,119.0,24.0,3.0,9.0,-1.0,24.0,-0.58,0.0,-20.0,0.0,2.44,-5.88,16.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,16.0,0.0,0.0,-3.0,-39.5,-9.22,-1.23,-2.99,-0.38,-6.75,0.29,0.27,20.21,0.0,-1.39,-0.26,-7.06,-0.02,-0.03,0.12,-0.33,-0.04,-0.68,-0.01,0.0,-7.06,-0.03,-0.07,-0.68
7,"After insisting for years that she did nothing wrong, Ontario Sen. Lynn Beyak told her colleagues in the upper house today she now accepts that posting racist letters on her Senate website was ""ill-considered"" — and she regrets the harm she caused by describi…","Much has been written about the circumstances that led to the death of Caroline Flack, despite little of substance being known about them. And questions have been raised about the symbiotic relationship between the media and today's TV personalities.",1.0,217.0,44.0,8.0,17.0,2.0,22.0,4.931818181818182,0.0,12.5,0.0,0.0,9.090909090909092,34.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,34.0,0.0,0.0,8.0,5.0,5.0,-1.0,6.0,-1.0,2.5,-0.5,0.0,-9.72,0.0,-2.56,6.53,6.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,8.0,-29.31,-6.74,-0.8,-1.97,-0.36,-6.35,0.21,0.24,17.71,0.0,-1.5,0.54,-5.34,-0.02,0.09,0.08,-0.35,-0.04,0.3,-0.01,0.0,-5.34,-0.03,-0.07,0.3
8,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"As new cases of novel coronavirus are growing, the travel industry is feeling the impact -- with vacationers and business people debating whether or not to cancel or postpone trips, and some countries, including the US, implementing travel restrictions.",1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,3.0,4.0,-1.0,-1.0,0.0,-17.5,-0.44,0.0,2.78,0.0,2.33,0.0,7.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,-21.27,-4.92,-0.47,-1.73,-0.34,-6.1,0.16,0.21,17.15,0.0,-1.33,0.15,-3.68,-0.02,0.08,0.06,-0.37,-0.04,0.29,-0.01,0.0,-3.68,-0.03,-0.07,0.29
9,"Coastal GasLink must consult further with Indigenous communities along a stretch of its pipeline route at the heart of the Wet'suwet'en conflict, say B.C. officials.",An image of two mice slugging it out over scraps of food on the London Underground has won a prestigious wildlife photography award from the UK capital's Natural History Museum.,1.0,141.0,25.0,3.0,10.0,4.0,8.666666666666666,5.64,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-7.0,-5.0,0.0,-4.0,2.0,-21.33,0.71,0.0,0.0,0.0,-10.0,4.0,-5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-22.53,-5.27,-0.7,-1.74,-0.13,-7.18,0.18,0.19,14.21,0.0,-1.42,0.24,-3.94,-0.02,0.07,0.03,-0.38,-0.04,0.28,-0.01,0.0,-3.94,-0.03,-0.07,0.28
