,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,The Supreme Court debated a Louisiana abortion access law that requires doctors to have admitting privileges at a nearby hospital.,1.0,218,41,6,16,4,14.0,5.317073170731708,0,16.666666666666664,0.0,0.0,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,107.0,21.0,2.0,7.0,2.0,-6.0,-0.23,0.0,16.67,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,2.0,48.28,8.08,0.71,3.24,2.01,-14.42,0.15,-0.02,6.83,0.0,-1.77,-2.97,4.23,0.0,-0.03,-0.11,-0.4,-0.02,1.24,-0.05,-0.01,4.23,0.0,-0.03,1.24
1,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"A Manhattan developer must lop off floors from its Upper West Side construction project, a New York Supreme Court judge ruled Thursday.",1.0,218,41,6,16,4,14.0,5.317073170731708,0,16.666666666666664,0.0,0.0,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,104.0,19.0,3.0,2.0,2.0,-8.0,0.14,0.0,16.67,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,48.28,8.08,0.71,3.24,2.01,-14.42,0.15,-0.02,6.83,0.0,-1.77,-2.97,4.23,0.0,-0.03,-0.11,-0.4,-0.02,1.24,-0.05,-0.01,4.23,0.0,-0.03,1.24
2,"The U.S. Department of Justice will seek a shorter prison sentence for Roger Stone, a convicted associate of President Donald Trump, hours after Trump tweeted that prosecutors were treating him unfairly, media outlets report.",The United States Supreme Court on Monday dealt a blow to Apple in a decade-long legal battle over whether the iPhone maker infringed on another company's patents.,1.0,192,34,5,17,4,11.666666666666666,5.647058823529412,0,20.0,0.0,0.0,5.88235294117647,30,0,0,0,0,0,1,0,0,30,0,0,1,55.0,7.0,3.0,5.0,2.0,-15.33,0.57,0.0,20.0,0.0,0.0,2.18,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,39.61,5.75,0.38,3.57,2.01,-15.19,0.26,-0.02,7.94,0.0,-1.77,-1.01,3.56,0.0,-0.03,-0.11,-0.4,-0.02,0.91,-0.05,-0.01,3.56,0.0,-0.03,0.91
3,"From outside Wet'suwet'en Nation, the conflict over a gas pipeline seems complex, but key players have emerged. Here's a guide to some of them and how they fit into the organizations that make up Wet'suwet'en Nation.","The Supreme Court announced Monday it will decide the fate of the Affordable Care Act sometime next term, presumably after the presidential election.",1.0,181,36,6,10,3,18.0,5.027777777777778,0,0.0,0.0,0.0,5.555555555555555,30,0,0,1,0,0,1,0,0,30,0,0,1,54.0,13.0,3.0,1.0,1.0,-5.0,-0.49,0.0,0.0,0.0,0.0,5.56,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,32.53,5.08,0.46,1.99,1.76,-14.0,0.16,-0.02,3.5,0.0,-1.77,-0.11,3.23,0.0,-0.03,0.14,-0.4,-0.02,0.74,-0.05,-0.01,3.23,0.0,-0.03,0.74
4,The U.S. department of justice hit telecommunications giant Huawei with new charges Thursday of stealing trade secrets and breaking sanctions by doing business with North Korea.,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,152,26,4,13,4,9.0,5.846153846153846,0,0.0,0.0,0.0,7.6923076923076925,22,0,0,0,0,0,0,0,0,22,0,0,0,-70.0,-13.0,-2.0,-2.0,3.0,-30.0,0.15,0.0,0.0,0.0,0.0,-5.13,-10.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-10.0,0.0,0.0,-2.0,22.48,2.68,0.11,1.64,1.81,-15.08,0.27,-0.02,0.83,0.0,-1.77,0.85,1.43,0.0,-0.03,0.09,-0.4,-0.02,0.44,-0.05,-0.01,1.43,0.0,-0.03,0.44
5,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"President Donald Trump on Tuesday called for two liberal Supreme Court justices to recuse themselves from cases involving him following a scathing dissent issued by one of them, blasting the justices as the court considers a number of cases critical to his pr…",1.0,218,43,8,12,2,21.5,5.069767441860465,0,25.0,0.0,2.3255813953488373,0.0,37,0,0,0,0,0,1,0,0,37,0,0,1,0.0,0.0,1.0,-2.0,1.0,-21.5,0.0,0.0,25.0,0.0,2.33,-6.98,6.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,26.78,3.91,0.54,1.24,1.51,-13.72,0.2,-0.02,3.22,0.0,-1.38,0.21,2.73,0.0,-0.03,0.06,-0.4,-0.02,0.41,-0.05,-0.01,2.73,0.0,-0.03,0.41
6,RCMP are poised to enforce a B.C. Supreme Court injunction in the traditional territory of the Wet’suwet’en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,The Supreme Court agreed Monday to hear an appeal by a Catholic foster agency that argues it's in danger of losing its government contract because it refuses to recruit or certify same sex couples as potential foster parents.,1.0,209,40,8,17,4,13.666666666666666,5.225,0,25.0,0.0,2.5,0.0,35,1,0,0,0,0,1,0,0,35,0,0,1,21.0,2.0,0.0,3.0,2.0,-24.33,0.28,0.0,25.0,0.0,-0.13,-7.89,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,28.57,4.37,0.85,1.67,1.58,-13.87,0.18,-0.02,4.93,0.0,-1.08,-0.24,3.37,0.14,-0.03,0.03,-0.4,-0.02,0.38,-0.05,-0.01,3.37,0.0,-0.03,0.38
7,"U.S. President Donald Trump's re-election campaign said on Wednesday it filed a libel lawsuit against the New York Times, accusing the newspaper of intentionally publishing a false story last year related to the investigation into Russian interference in the …",The Supreme Court agreed Monday to once again become the decider on the future of Obamacare -- the controversial law that has become a fabric of society for the millions of Americans who have come to rely upon it.,1.0,221,40,5,18,3,13.666666666666666,5.525,0,0.0,0.0,0.0,7.5,34,0,0,0,0,0,1,0,0,34,0,0,1,46.0,1.0,-2.0,7.0,1.0,-25.33,1.04,0.0,0.0,0.0,0.0,4.94,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,31.41,4.71,0.71,2.12,1.51,-13.98,0.21,-0.02,3.08,0.0,-1.16,0.35,3.73,0.12,-0.03,0.01,-0.4,-0.02,0.36,-0.05,-0.01,3.73,0.0,-0.03,0.36
8,"Israel goes to the polls on March 2, the third time in a year. Many countries have tracked Israel's lengthy political crisis, but it has particular resonance in France, home to the largest Jewish community in Europe, Don Murray writes.","Senate Majority Leader Mitch McConnell on Thursday again reiterated his position that the GOP-led Senate would confirm a nominee to any Supreme Court vacancy that occurred this election year, despite leaving a seat vacant in 2016 and preventing President Bara…",1.0,196,40,5,15,3,20.0,4.9,0,0.0,0.0,0.0,5.0,32,0,0,0,1,0,1,0,0,32,0,0,1,-25.0,0.0,-1.0,-3.0,2.0,-20.0,-0.62,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,30.84,4.97,0.6,2.13,1.45,-13.36,0.15,-0.02,1.64,0.0,-1.23,0.54,3.79,0.11,-0.03,0.0,-0.29,-0.02,0.35,-0.05,-0.01,3.79,0.0,-0.03,0.35
9,Members of the Wet'suwet'en nation are anxiously waiting to find out what's in the draft agreement that their hereditary chiefs recently struck with provincial and federal officials — and will learn more at clan meetings within the week.,Harvey Weinstein was found guilty of committing a criminal sex act in the first degree involving one woman and rape in the third degree involving another woman. Follow here for the latest.,1.0,200,38,8,9,2,38.0,5.2631578947368425,0,12.5,0.0,0.0,5.263157894736842,33,0,0,0,0,0,1,0,0,33,0,0,1,43.0,6.0,3.0,-1.0,-1.0,22.0,0.36,0.0,-7.5,0.0,0.0,-4.11,10.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,30.78,4.98,0.81,1.54,1.31,-11.07,0.15,-0.02,1.75,0.0,-1.28,0.72,3.93,0.1,-0.03,-0.01,-0.3,-0.02,0.34,-0.05,-0.01,3.93,0.0,-0.03,0.34
