,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","The director-general of the World Health Organization has warned governments that the continued international spread of the novel coronavirus is ""not a drill"" and will require significant action if public health authorities are to contain the deadly outbreak.",1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,0.0,1.0,-2.0,14.0,0.0,-18.0,-0.15,0.0,-28.57,0.0,-2.63,4.93,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,41.14,4.19,-0.75,12.07,-0.04,-7.77,0.47,-0.04,-17.28,0.0,-1.45,8.7,0.69,-0.14,-0.05,-0.11,0.58,-0.02,-0.55,-0.02,0.0,0.69,0.0,-0.03,-0.55
1,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,225,36,7,19,2,18.5,6.25,0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34,0,0,0,1,0,0,0,0,34,0,0,0,69.0,6.0,0.0,8.0,-1.0,3.5,1.05,0.0,0.0,0.0,-0.56,-0.56,10.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,10.0,0.0,0.0,-2.0,42.64,2.69,0.25,9.07,-0.04,-8.52,0.75,-0.04,-10.13,0.0,-0.06,3.68,3.19,-0.14,-0.05,-0.11,0.58,-0.02,-0.55,-0.02,0.0,3.19,0.0,-0.03,-0.55
2,"A cruise ship that has been quarantined off the coast of California by public health officials over fears of a possible COVID-19 outbreak includes 235 Canadian passengers, Global Affairs Canada has confirmed.","It has been more than a month since the World Health Organization declared the novel coronavirus a public health emergency of international concern. Since the outbreak began, there have been more than 90,000 cases of the virus worldwide and more than 3,100 de…",1.0,177,32,6,12,2,32.0,5.53125,0,16.666666666666664,0.0,0.0,6.25,28,0,0,0,1,0,0,0,0,28,0,0,0,-41.0,-11.0,0.0,-1.0,0.0,10.5,0.46,0.0,-16.67,0.0,0.0,-3.05,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.14,0.86,0.25,5.74,-0.04,-4.27,0.6,-0.04,-6.96,0.0,-0.52,3.16,2.02,-0.14,-0.05,-0.11,0.58,-0.02,-0.55,-0.02,0.0,2.02,0.0,-0.03,-0.55
3,"As scientists race to develop a vaccine to combat the coronavirus epidemic, many Canadian adults aren't getting taking advantage of vaccinations that are already available to protect them against other serious illnesses, public health experts say.","South by Southwest, the annual tech, film and music conference in Austin, will proceed as planned despite concerns about coronavirus, Austin public health officials said during a press conference on Wednesday.",1.0,212,36,8,10,2,36.0,5.888888888888889,0,12.5,0.0,8.333333333333332,2.7777777777777777,33,0,0,1,0,0,1,0,0,33,0,0,1,33.0,5.0,5.0,-5.0,0.0,5.0,0.11,0.0,12.5,0.0,8.33,-0.45,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,28.14,0.94,0.75,3.57,-0.04,-1.15,0.62,-0.04,-6.41,0.0,1.33,2.04,2.69,-0.14,-0.05,0.14,0.33,-0.02,-0.3,-0.02,0.0,2.69,0.0,-0.03,-0.3
4,"Ontario health officials are confirming 3 more cases of novel coronavirus, on the same day they revealed another person has recovered from the illness.","Health officials caution the public not to over-purchase face masks. Experts also say they may not provide adequate protection against the novel coronavirus. Instead, they suggest buying soap and cleaning supplies. CNN's Brian Todd reports.",1.0,128,24,5,8,2,24.0,5.333333333333333,0,20.0,0.0,0.0,4.166666666666666,22,0,0,0,1,0,0,0,0,22,0,0,0,-78.0,-11.0,-1.0,-7.0,-3.0,15.25,-0.55,0.0,20.0,0.0,-5.71,4.17,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,11.94,-1.41,0.45,1.87,-0.04,-1.67,0.52,-0.04,-4.59,0.0,0.78,1.64,0.89,-0.14,-0.05,0.09,0.38,-0.02,-0.35,-0.02,0.0,0.89,0.0,-0.03,-0.35
5,"As the coronavirus outbreak continues to spread outside of China, experts say the situation is rapidly moving toward a pandemic. Adam Miller looks at why the World Health Organization isn't calling it one just yet.","A new case of coronavirus in California ""marks a turning point,"" according to the state's public health director, because the patient has no related travel history and no known exposure to coronavirus. Dr. Alok Patel joins Anderson Cooper to answer your coron…",1.0,180,35,8,10,3,17.5,5.142857142857143,0,12.5,0.0,0.0,2.857142857142857,32,0,0,0,1,0,1,0,0,32,0,0,1,-39.0,-7.0,2.0,-8.0,0.0,3.5,-0.07,0.0,12.5,0.0,-2.38,2.86,-3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,9.81,-1.14,0.75,1.07,0.13,-3.11,0.42,-0.04,-4.62,0.0,0.41,1.15,1.35,-0.14,-0.05,0.06,0.41,-0.02,-0.21,-0.02,0.0,1.35,0.0,-0.03,-0.21
6,"Two Canadians who were aboard a cruise ship that was refused entry to several countries before docking in Cambodia last week received an unusual greeting when they returned to Canada Sunday — border agents were waiting at their gate, requesting they put on ma…","There are now at least four US coronavirus cases without any related travel history, health officials say.",1.0,217,44,10,15,1,44.0,4.931818181818182,0,30.0,0.0,0.0,4.545454545454546,38,0,0,0,1,0,1,0,0,38,0,0,1,127.0,27.0,8.0,8.0,-1.0,27.0,-0.36,0.0,-20.0,0.0,0.0,4.55,21.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,21.0,0.0,0.0,1.0,13.57,0.33,1.25,1.21,-0.04,-0.34,0.32,-0.04,-2.14,0.0,0.14,1.05,2.54,-0.14,-0.05,0.03,0.43,-0.02,-0.12,-0.02,0.0,2.54,0.0,-0.03,-0.12
7,"In Canada, so far, all cases of COVID-19 have been traced to areas where an outbreak has occurred. But federal Health Minister Patty Hadju warned Wednesday that ""eventually this is likely something that we'll see in one of our communities."" Here's what that w…","White House officials have privately weighed appointing a czar to oversee the administration's response to the growing novel coronavirus outbreak, despite public denials by members of the administration, sources inside the administration and advisers close to…",1.0,217,44,10,13,3,15.0,4.931818181818182,0,20.0,0.0,0.0,4.545454545454546,39,0,1,1,1,0,0,0,0,39,0,1,0,-8.0,8.0,5.0,-2.0,2.0,-21.0,-1.32,0.0,20.0,0.0,0.0,1.77,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,16.39,1.44,1.63,1.07,0.08,-1.9,0.24,-0.04,-1.53,0.0,-0.06,0.97,3.56,-0.14,0.07,0.14,0.45,-0.02,-0.17,-0.02,0.0,3.56,0.0,0.09,-0.17
8,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,"The total number of novel coronavirus cases in the United States jumped by two dozen over the weekend, as the first two deaths from the outbreak were confirmed.",1.0,112,18,2,9,2,18.0,6.222222222222222,0,0.0,0.0,0.0,11.11111111111111,14,0,0,0,0,0,0,0,0,14,0,0,0,-21.0,-10.0,-1.0,0.0,0.0,-10.0,1.47,0.0,-33.33,0.0,0.0,7.54,-8.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,6.92,-0.59,1.03,0.52,0.07,-2.77,0.32,-0.04,-3.28,0.0,-0.21,1.64,1.58,-0.14,0.06,0.11,0.35,-0.02,-0.21,-0.02,0.0,1.58,0.0,0.08,-0.21
9,Officials will provide an update on two new presumptive cases of COVID-19 in Alberta this morning.,"With the novel coronavirus continuing to make headlines, the Centers for Disease Control and Prevention invited the media inside its state-of-the-art Emergency Operations Center on Thursday.",1.0,83,16,2,6,2,16.0,5.1875,0,0.0,0.0,0.0,0.0,16,0,0,0,1,0,0,0,0,16,0,0,0,-82.0,-10.0,-1.0,-5.0,0.0,-10.0,-1.16,0.0,0.0,0.0,-3.85,0.0,-7.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-3.56,-2.41,0.55,-0.23,0.06,-3.67,0.29,-0.04,-4.68,0.0,-0.33,1.06,0.19,-0.14,0.05,0.09,0.38,-0.02,-0.25,-0.02,0.0,0.19,0.0,0.07,-0.25
