,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Many Canadian residents with U.S. citizenship could have problems with their banks and other financial institutions in coming months unless they provide them with a U.S. identification number, CBC News has learned. Experts say those who refuse or who can't co…",The Transportation Security Administration has banned employee use of TikTok for the agency's social media engagement as the US questions whether the China-owned app poses a threat to national security.,1.0,220.0,41.0,9.0,13.0,6.0,7.166666666666667,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,47.0,11.0,6.0,-1.0,4.0,-22.83,-0.4,0.0,0.0,0.0,0.0,1.54,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,39.53,5.83,3.5,-0.24,3.86,-19.3,0.25,-0.07,-10.16,0.0,-1.89,2.38,5.05,0.0,-0.09,-0.22,-0.69,-0.03,1.14,-0.05,0.0,5.05,-0.02,-0.07,1.14
1,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,222.0,39.0,6.0,14.0,2.0,19.5,5.6923076923076925,0.0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,3.0,-3.0,1.0,-9.0,-1.0,5.5,0.48,0.0,-3.33,0.0,2.56,7.88,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,40.53,4.83,2.0,0.26,1.86,-13.14,0.41,-0.07,-1.82,0.0,-0.61,5.07,3.55,0.0,-0.09,-0.22,-0.69,-0.03,0.64,-0.05,0.0,3.55,-0.02,-0.07,0.64
2,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,220.0,39.0,7.0,14.0,2.0,39.0,5.641025641025641,0.0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,73.0,12.0,4.0,3.0,0.0,12.0,0.2,0.0,28.57,0.0,5.13,7.69,3.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,40.2,4.49,1.83,0.43,1.2,-4.58,0.45,-0.07,4.92,0.0,0.67,5.11,2.05,0.0,-0.09,-0.22,-0.69,-0.03,0.47,-0.05,0.0,2.05,-0.02,-0.07,0.47
3,"A 14-year-old boy who was the subject of an Amber Alert has been located, Toronto police say.","Sensitive to perceptions that Harvey Weinstein is faking an injury, his attorneys asked to have his doctor testify at his rape trial that he really did have back surgery and needs a walker to move around.",1.0,77.0,17.0,5.0,6.0,2.0,17.0,4.529411764705882,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-92.0,-19.0,-3.0,-6.0,0.0,-19.0,-0.17,0.0,27.5,0.0,0.0,-5.56,-9.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-9.0,0.0,0.0,-4.0,4.28,-1.17,1.25,-1.49,0.86,-5.8,0.19,-0.07,11.15,0.0,0.03,3.21,-1.45,0.0,-0.09,-0.22,-0.69,-0.03,0.14,-0.05,0.0,-1.45,-0.02,-0.07,0.14
4,"U.S. President Donald Trump on Thursday ridiculed the historic best-picture Oscar win for South Korean film Parasite, telling a Colorado campaign rally he wished for the return of Hollywood classics like 1939's Gone with the Wind.","Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,195.0,36.0,3.0,18.0,4.0,12.333333333333334,5.416666666666667,0.0,0.0,0.0,5.555555555555555,0.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-22.0,-8.0,-6.0,5.0,2.0,-9.67,0.48,0.0,-33.33,0.0,3.28,-2.27,-3.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,6.33,-0.77,0.5,-0.24,1.06,-7.47,0.21,-0.07,6.89,0.0,0.76,2.07,-0.75,0.0,-0.09,-0.22,-0.49,-0.03,0.14,-0.05,0.0,-0.75,-0.02,-0.07,0.14
5,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Russia's influence campaign is driven by a desire to ""watch us tear ourselves apart,"" a senior FBI official said Monday, comments that come after details of a classified briefing to lawmakers became public in news reports, including a claim by the intelligenc…",1.0,185.0,31.0,4.0,18.0,6.0,6.6,5.967741935483871,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-34.0,-11.0,-4.0,3.0,5.0,-35.4,0.75,0.0,-12.5,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,-1.0,1.0,6.03,-1.34,0.17,0.59,1.53,-9.54,0.32,-0.07,4.05,0.0,0.32,1.31,-0.28,0.0,-0.09,-0.22,-0.52,-0.03,0.14,-0.05,0.0,-0.28,-0.02,-0.07,0.14
6,"From outside Wet'suwet'en Nation, the conflict over a gas pipeline seems complex, but key players have emerged. Here's a guide to some of them and how they fit into the organizations that make up Wet'suwet'en Nation.","The new Russia drama is a shady tale of secret briefings, compromised trust, mysterious intelligence, improbable characters with hidden agendas and purges of American spy chiefs. But most importantly, this dark new revival of a saga that has ravaged US politi…",1.0,181.0,36.0,6.0,10.0,3.0,18.0,5.027777777777778,0.0,0.0,0.0,0.0,5.555555555555555,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,-39.0,-5.0,2.0,-5.0,1.0,-2.5,-0.34,0.0,-25.0,0.0,-7.32,-4.2,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,0.0,1.0,5.25,-1.03,0.21,0.04,1.43,-9.38,0.26,-0.07,2.02,0.0,0.0,1.56,-0.09,0.0,-0.09,-0.08,-0.55,-0.03,0.14,-0.05,0.0,-0.09,-0.02,-0.07,0.14
7,A northern B.C. woman with five children in care claims her First Nation is using her sons and daughters to make a point about placing Indigenous children with Indigenous families. She is challenging the provincial government and the First Nation in court.,"Donald Trump's biggest rally might not be in a red state, or even in the United States. It's likely to be inside a cricket stadium in Gujarat state, in western India, packed as promised by the President's loyal counterpart.",1.0,215.0,42.0,6.0,14.0,5.0,10.75,5.119047619047619,0.0,33.33333333333333,0.0,0.0,2.380952380952381,22.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,22.0,0.0,0.0,4.0,30.0,3.0,0.0,1.0,2.0,-8.75,0.38,0.0,0.0,0.0,-5.13,2.38,-5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,-5.0,0.0,0.0,4.0,8.91,-0.05,0.25,0.13,1.61,-10.18,0.22,-0.07,4.67,0.0,-0.23,1.35,-0.95,0.0,-0.09,-0.1,-0.44,-0.03,0.51,-0.05,0.0,-0.95,-0.02,-0.07,0.51
8,"Four Chinese military hackers have been charged with breaking into the computer networks of the Equifax credit reporting agency and stealing the personal information of tens of millions of Americans, the U.S. Justice Department announced Monday.","As new cases of novel coronavirus are growing, the travel industry is feeling the impact -- with vacationers and business people debating whether or not to cancel or postpone trips, and some countries, including the US, implementing travel restrictions.",1.0,210.0,36.0,6.0,15.0,4.0,12.333333333333334,5.833333333333333,0.0,16.666666666666664,0.0,0.0,5.555555555555555,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.0,-3.0,-3.0,2.0,2.0,-26.67,0.32,0.0,-5.56,0.0,0.0,5.56,-2.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,11.2,0.05,0.28,0.31,1.64,-10.62,0.28,-0.07,4.87,0.0,-0.42,1.54,-0.95,0.0,-0.09,-0.11,-0.36,-0.03,0.36,-0.05,0.0,-0.95,-0.02,-0.07,0.36
9,Canada's response to the deadly novel coronavirus outbreak is winning unusual praise in China — a development that federal government sources here say is part of a broader re-engagement strategy aimed at repairing strained relations between the two countries.,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,221.0,39.0,7.0,13.0,2.0,39.0,5.666666666666667,0.0,28.57142857142857,0.0,5.128205128205128,10.256410256410255,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,-1.0,3.0,-4.0,-1.0,25.67,0.14,0.0,28.57,0.0,2.63,2.76,2.0,0.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,2.0,0.0,0.0,-3.0,14.13,0.43,0.4,0.26,1.46,-8.3,0.31,-0.07,6.23,0.0,-0.05,2.16,-0.45,0.0,-0.09,-0.12,-0.29,-0.03,0.24,-0.05,0.0,-0.45,-0.02,-0.07,0.24
