,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"An Alberta man's lawsuit says he likely suffered permanent damage after RCMP arrested him suspecting he was drunk, when he was actually having a stroke. According to the lawsuit, the man was then left in a cell for more than 18 hours, virtually ignored by off…","Iran will temporarily release 54,000 people from prisons as officials struggle to contain the rapid spread of the biggest coronavirus outbreak in the Middle East.",1.0,215,46,11,11,2,23.0,4.673913043478261,0,27.27272727272727,0.0,0.0,6.521739130434782,36,0,0,0,1,0,4,0,0,36,0,0,4,77.0,21.0,7.0,2.0,0.0,-2.0,-0.85,0.0,27.27,0.0,-4.0,-1.48,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,4.0,63.58,15.55,6.55,-0.95,-0.34,0.45,-0.28,-0.05,14.97,0.0,-1.4,4.9,10.16,-1.69,-0.02,-0.22,0.62,-0.06,3.31,-0.05,0.0,10.16,-0.08,-0.12,3.31
1,A northern B.C. woman with five children in care claims her First Nation is using her sons and daughters to make a point about placing Indigenous children with Indigenous families. She is challenging the provincial government and the First Nation in court.,"The United States ranks lower than 38 other countries on measurements of children's survival, health, education and nutrition -- and every country in the world has levels of excess carbon emissions that will prevent younger generations from a healthy and sust…",1.0,215,42,6,14,5,10.75,5.119047619047619,0,33.33333333333333,0.0,0.0,2.380952380952381,22,0,0,0,1,0,4,0,0,22,0,0,4,-5.0,1.0,2.0,-1.0,4.0,-30.25,-0.25,0.0,33.33,0.0,-4.88,2.38,-14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-14.0,0.0,0.0,4.0,63.58,13.55,4.05,0.55,1.16,-5.68,-0.06,-0.05,18.0,0.0,-1.4,2.83,3.16,-1.69,-0.02,-0.22,0.62,-0.06,3.31,-0.05,0.0,3.16,-0.08,-0.12,3.31
2,"Language has a lot of power, and labelling people as 'addicts' lowers self-esteem, adds to social isolation, and can prevent people from getting needed care, writes Dr. Laura MacKinnon.","Ok, I admit it. I often stay up late on weekends, catching up on TV or seeing friends, then decadently allow myself to slumber for hours past my regular wake-up time the next morning.",1.0,157,29,9,12,3,14.5,5.413793103448276,0,0.0,0.0,0.0,3.4482758620689653,25,0,0,0,0,0,0,0,0,25,0,0,0,7.0,-5.0,3.0,5.0,0.0,-2.5,1.0,0.0,0.0,0.0,0.0,3.45,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,44.24,8.55,4.21,0.38,0.99,-6.47,0.11,-0.05,7.9,0.0,-1.4,2.49,1.82,-1.69,-0.02,-0.22,0.29,-0.06,1.98,-0.05,0.0,1.82,-0.08,-0.12,1.98
3,Perpetrators of domestic violence in First Nations communities east of Regina are often court-ordered to take a 52-week intervention program to try to break the cycle of violence and heal the family.,"Drug overdoses can be life threatening, but for two women who accidentally took massive hits of LSD the experience was life changing -- and in a good way.",1.0,168,32,5,12,2,32.0,5.25,0,20.0,0.0,3.125,3.125,22,0,0,0,0,0,0,0,0,22,0,0,0,41.0,4.0,0.0,2.0,0.0,4.0,0.71,0.0,-20.0,0.0,-0.45,-0.45,-4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,37.33,6.8,3.3,0.3,0.66,-2.49,0.16,-0.05,7.85,0.0,-0.62,2.24,0.41,-1.69,-0.02,-0.22,0.12,-0.06,1.31,-0.05,0.0,0.41,-0.08,-0.12,1.31
4,Run This Town is a new Canadian film inspired by the time when Rob Ford was Toronto's mayor. We showed the film to reporters and politicians who remember Ford to get their review.,"How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,147,33,7,12,3,16.5,4.454545454545454,0,28.57142857142857,0.0,0.0,0.0,25,0,0,0,0,0,1,0,0,25,0,0,1,-68.0,-10.0,1.0,-2.0,1.0,-5.0,-0.55,-1.0,-4.76,0.0,0.0,-4.65,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-8.0,0.0,0.0,-1.0,28.98,5.95,3.15,0.25,0.66,-3.2,0.03,-0.05,9.53,0.0,-0.77,1.47,0.16,-1.69,-0.02,-0.22,0.03,-0.06,1.11,-0.05,0.0,0.16,-0.08,-0.12,1.11
5,"Through role play, games and discussions they’re tackling subjects like domestic violence, consent, sexual health, and stereotypes of masculinity.","An easyJet flight from Manchester, UK to Alicante in Spain was forced to return to its stand twice because of rowdy behavior by passengers.",1.0,128,19,2,10,2,19.0,6.7368421052631575,0,0.0,0.0,5.263157894736842,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,12.0,-5.0,-1.0,2.0,0.0,-5.0,1.9,0.0,-33.33,0.0,5.26,0.0,-4.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,20.24,3.05,2.21,-0.12,0.49,-3.26,0.32,-0.05,5.89,0.0,0.0,0.95,-1.34,-1.69,-0.02,-0.22,-0.04,-0.06,0.81,-0.05,0.0,-1.34,-0.08,-0.12,0.81
6,"Former first lady Michelle Obama admits raising two young girls in the White House was hard, but she and Barack tried their best to make things normal. While she has given daughters Malia and Sasha a plethora of advice over the years, there was one consistent…","The fast-food, high sugar, fats and carbs diet of Western countries may be contributing to the nosedive of sperm counts in men, a new study says.",1.0,215,46,9,15,2,23.0,4.673913043478261,0,22.22222222222222,0.0,2.1739130434782608,2.1739130434782608,38,0,0,0,2,0,3,0,0,38,0,0,3,95.0,20.0,5.0,6.0,0.0,-3.0,0.06,0.0,-2.78,0.0,2.17,2.17,14.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,3.0,26.44,4.83,2.55,0.33,0.37,-2.73,0.23,-0.05,6.47,0.0,0.11,0.9,0.58,-1.69,-0.02,-0.22,0.2,-0.06,1.03,-0.05,0.0,0.58,-0.08,-0.12,1.03
7,"Cash is notoriously covered in germs. Amid the coronavirus outbreak, the World Health Organization suggests that you wash your hands after handling paper bills. But is using a contactless payment method any safer? Here's what experts have to say about prevent…","As new cases of novel coronavirus are growing, the travel industry is feeling the impact -- with vacationers and business people debating whether or not to cancel or postpone trips, and some countries, including the US, implementing travel restrictions.",1.0,220,41,10,14,3,10.25,5.365853658536586,1,20.0,0.0,0.0,4.878048780487805,37,0,0,0,0,0,2,0,0,37,0,0,2,5.0,2.0,1.0,1.0,1.0,-28.75,-0.15,1.0,-2.22,0.0,0.0,4.88,7.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,31.7,5.55,2.92,0.55,0.41,-3.93,0.26,0.08,6.62,0.0,-0.08,1.19,1.91,-1.69,-0.02,-0.22,0.12,-0.06,1.06,-0.05,0.0,1.91,-0.08,-0.12,1.06
8,"Podcast host Joe Rogan ate nothing but meat for 30 days and claimed the switch helped him have more energy and fewer crashes. Here's what experts want you to know about the controversial ""carnivore diet.""","In a city where new bars and restaurants open all the time, the old, revered favorites take on a different meaning. Explore CNN Travel's picks for dimly lit nooks, shiny bartops and cavernous corners worth returning to again and again.",1.0,170,35,7,12,3,12.0,4.857142857142857,0,0.0,0.0,2.857142857142857,5.714285714285714,31,0,0,0,1,0,2,0,0,31,0,0,2,-26.0,-5.0,4.0,-1.0,0.0,-8.0,-0.04,0.0,0.0,0.0,-2.14,5.71,-2.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,2.0,30.24,5.44,2.88,0.49,0.43,-4.67,0.22,0.06,4.52,0.0,0.09,1.51,2.27,-1.69,-0.02,-0.22,0.18,-0.06,1.09,-0.05,0.0,2.27,-0.08,-0.12,1.09
9,"The Centers for Disease Control said Tuesday that Americans should prepare for the coronavirus to spread to the U.S. ""Now is the time for businesses, hospitals, communities, schools and everyday people to begin preparing,"" she said. Here, experts explain what…","Chloe Haines, de 26 años, deberá pagar dos años de prisión, debido al incidente que protagonizó en junio de 2019 durante un vuelo en el que iban 206 pasajeros a bordo.",1.0,221,40,9,15,4,10.25,5.525,0,11.11111111111111,0.0,0.0,0.0,31,0,0,0,0,0,1,0,0,31,0,0,1,84.0,9.0,8.0,-4.0,2.0,-20.75,1.11,0.0,11.11,0.0,0.0,0.0,7.0,-3.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,34.18,5.85,3.05,0.75,0.56,-5.43,0.25,0.05,3.95,0.0,-0.06,1.2,2.56,-1.69,-0.02,-0.22,0.12,-0.06,1.01,-0.05,0.0,2.56,-0.08,-0.12,1.01
10,"As more coronavirus (COVID-19) cases spread around the globe, travelers going to Italy or on a cruise may be concerned what it means for their plans. Here, health and insurance experts weigh in about whether or not you should cancel a trip, plus share the bes…",Un avión de easyJet tuvo que regresar dos veces por pasajeros ebrios,1.0,215,46,9,14,2,23.0,4.673913043478261,0,11.11111111111111,0.0,0.0,2.1739130434782608,40,0,0,0,0,0,3,0,0,40,0,0,3,158.0,34.0,8.0,5.0,1.0,11.0,-0.08,0.0,11.11,0.0,0.0,2.17,28.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,3.0,36.85,6.73,3.18,0.87,0.47,-4.9,0.2,0.04,3.48,0.0,-0.18,1.14,3.61,-1.69,-0.02,-0.22,0.08,-0.06,1.13,-0.05,0.0,3.61,-0.08,-0.12,1.13
11,"If your airline cancels your flight, your employer restricts business travel or an organization cancels its scheduled conference, your decision about whether to travel will be made for you. But if you're in the wait-and-see mode or decide to pack your bags an…",Bud Light Seltzer ya es una de las bebidas de seltzer más vendidas del país a pocas semanas de su lanzamiento.,1.0,218,43,10,11,2,21.5,5.069767441860465,0,10.0,0.0,0.0,0.0,30,0,0,0,0,0,6,0,0,30,0,0,6,128.0,22.0,9.0,5.0,0.0,0.5,0.78,0.0,10.0,0.0,0.0,0.0,12.0,-10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,6.0,39.33,7.21,3.38,0.71,0.41,-4.58,0.2,0.04,3.0,0.0,-0.28,0.91,3.66,-1.69,-0.02,-0.22,0.04,-0.06,1.48,-0.05,0.0,3.66,-0.08,-0.12,1.48
12,"A man suing the hosts of a party he attended before getting into a deadly impaired driving crash as a teenager testified during a civil trial in B.C. Supreme Court this week, telling the court how the rollover changed the course of his life.","El comercio de este tipo de dispositivos se encuentra prohibido en México desde 2008 pero, según el comunicado oficial, el decreto del presidente busca lograr una ""armonización"" del marco normativo para evitar prácticas ilegales.",1.0,198,44,7,14,4,15.0,4.5,0,0.0,0.0,0.0,6.8181818181818175,34,0,0,0,0,0,2,0,0,34,0,0,2,2.0,10.0,6.0,-6.0,2.0,-19.0,-1.26,0.0,0.0,0.0,0.0,6.82,6.0,-7.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,39.89,7.7,3.32,0.82,0.5,-4.8,0.15,0.03,1.82,0.0,-0.37,1.24,4.0,-1.69,-0.02,-0.22,0.01,-0.06,1.47,-0.05,0.0,4.0,-0.08,-0.12,1.47
13,"A crash after a house party on B.C.'s Salt Spring Island left one teen dead and another badly injured in 2012. Eight years later, a civil trial in the case could change how the law looks at the responsibilities hosts have for the safety of their guests — espe…","La gira ""An Evening With Whitney: The Whitney Houston Hologram Tour"" empezará el 25 de febrero en Reino Unido y las imágenes están generando muchas respuestas en redes sociales.",1.0,212,49,7,17,4,12.75,4.326530612244898,0,0.0,0.0,0.0,6.122448979591836,41,0,0,0,3,0,1,0,0,41,0,0,1,63.0,20.0,3.0,-1.0,2.0,-16.25,-0.81,0.0,0.0,0.0,0.0,6.12,14.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,41.36,8.48,3.26,1.12,0.58,-5.16,0.09,0.02,0.81,0.0,-0.44,1.47,4.8,-1.69,-0.02,-0.22,0.2,-0.06,1.38,-0.05,0.0,4.8,-0.08,-0.12,1.38
14,A B.C. judge is set to rule on whether Gabriel Klein is guilty of murder for stabbing a 13-year-old girl to death at an Abbotsford high school,"Los nuevos productos Colgate Zero son de color claro, lo que la compañía cree que indicará que están libres de ingredientes artificiales.",1.0,116,27,5,9,3,9.333333333333334,4.296296296296297,0,40.0,0.0,0.0,11.11111111111111,23,0,0,0,0,0,0,0,0,23,0,0,0,0.0,5.0,3.0,-4.0,1.0,-12.67,-0.98,0.0,40.0,0.0,0.0,11.11,6.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,36.24,7.68,3.08,0.85,0.59,-5.7,0.04,0.02,2.6,0.0,-0.5,2.01,4.29,-1.69,-0.02,-0.22,0.16,-0.06,1.25,-0.05,0.0,4.29,-0.08,-0.12,1.25
15,Two people were seriously injured Saturday morning when a Jeep and truck collided on the Mary Hill Bypass in Port Coquitlam.,"Fue necesario un brote de coronavirus para recordarnos que tocamos nuestra cara demasiadas veces. Reducir eso ayudará a detener la propagación del virus, aseguran funcionarios de salud.",1.0,104,21,3,10,2,21.0,4.9523809523809526,0,33.33333333333333,0.0,0.0,0.0,21,0,0,0,1,0,0,0,0,21,0,0,0,-55.0,-6.0,2.0,-8.0,-1.0,7.5,-0.94,0.0,33.33,0.0,0.0,-3.7,-4.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,31.02,6.61,2.8,0.67,0.53,-5.44,0.04,0.02,3.76,0.0,-0.56,1.78,3.72,-1.69,-0.02,-0.22,0.19,-0.06,1.12,-0.05,0.0,3.72,-0.08,-0.12,1.12
16,"The stabbings happened on the Granville strip near the Cabana Lounge, which has a history of violence.",Irán liberará temporalmente a 54.000 personas de las cárceles mientras los funcionarios luchan por contener la rápida propagación del mayor brote de coronavirus en el Medio Oriente.,1.0,86,17,2,7,2,17.0,5.0588235294117645,0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,15,0,0,0,-69.0,-10.0,-1.0,-6.0,-1.0,3.0,-0.68,0.0,0.0,0.0,0.0,0.0,-10.0,-6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,25.34,5.43,2.49,0.34,0.48,-5.45,0.04,0.01,2.81,0.0,-0.61,1.58,2.86,-1.69,-0.02,-0.22,0.15,-0.06,1.02,-0.05,0.0,2.86,-0.08,-0.12,1.02
