,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Nashville woman describes dramatic escape from home as tornado rips through city CBC.ca Nashville tornado: Drone footage shows incredible path of destruction and damage Global News 'Like a war scene': Alberta musicians endure Tennessee tornadoes, which left a…","For some military families and veterans, President Trump's downplaying of traumatic brain injuries serves as a push to bring more attention to the severity of the injury.",1.0,223.0,38.0,4.0,21.0,2.0,19.5,5.868421052631579,0.0,0.0,0.0,2.631578947368421,5.263157894736842,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,79.0,11.0,2.0,10.0,0.0,-7.5,0.54,0.0,0.0,0.0,2.63,-5.85,15.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,56.52,5.57,-1.34,8.92,-0.26,-5.97,0.7,-0.01,-13.84,0.0,0.25,1.73,8.74,-0.05,0.0,-0.15,-0.46,-0.06,-0.87,-0.03,0.0,8.74,-0.04,-0.12,-0.87
1,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…",Families are demanding action from law enforcement after dozens of Native American girls and women in Montana have disappeared and been found dead. CNN's Sara Sidner reports.,1.0,225.0,36.0,7.0,19.0,2.0,18.5,6.25,0.0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,77.0,9.0,1.0,7.0,-1.0,5.0,0.77,0.0,-19.05,0.0,2.78,-0.93,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,57.52,4.57,0.16,7.92,-0.26,-6.47,0.89,-0.01,-6.7,0.0,0.32,0.49,7.74,-0.05,0.0,-0.15,0.04,-0.06,-0.87,-0.03,0.0,7.74,-0.04,-0.12,-0.87
2,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,"As airstrikes continues to ravage life in Syria, families just outside of Turkey's border have turned a cave, that was originally meant for livestock, into their refuge from the violence of war.",1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,-33.0,-2.0,2.0,-2.0,0.0,-2.0,-0.76,0.0,8.33,0.0,6.67,-6.25,-6.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,-6.0,0.0,0.0,2.0,26.19,2.24,0.99,4.25,-0.26,-2.8,0.31,-0.01,-0.74,0.0,1.64,-0.85,4.07,-0.05,0.33,-0.15,0.21,-0.06,0.13,-0.03,0.0,4.07,-0.04,-0.12,0.13
3,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","In back-to-back appearances at CNN town halls Thursday night in Nevada, former Vice President Joe Biden and Massachusetts Sen. Elizabeth Warren rooted themselves in bread-and-butter Democratic issues. They spoke to the economic challenges of the middle class …",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-133.0,-22.0,0.0,-10.0,-1.0,-4.67,-0.24,0.0,0.0,0.0,0.0,3.62,-18.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-18.0,0.0,0.0,-1.0,0.52,-2.43,-0.09,2.42,-0.26,-6.47,0.35,-0.01,-4.02,0.0,0.63,0.04,0.24,-0.05,0.25,-0.15,0.29,-0.06,-0.12,-0.03,0.0,0.24,-0.04,-0.12,-0.12
4,"Veterans Affairs has been quietly tightening access to the mental health services received by families of injured former soldiers, the country's veterans ombudsman said Friday.","If you're not trying to get pinched this St. Patrick's Day, one of McDonald's limited-time green Shamrock Shakes might come in handy. And now, you can even get an 18-karat gold cup to go with it.",1.0,152.0,25.0,6.0,10.0,2.0,25.0,6.08,0.0,16.666666666666664,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-8.0,-11.0,-3.0,2.0,-2.0,13.0,1.64,0.0,16.67,0.0,-5.56,0.0,-9.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,-2.48,-3.43,0.06,1.52,-0.26,-5.27,0.46,-0.01,-2.65,0.0,0.03,-0.67,-0.66,-0.05,0.2,-0.15,0.14,-0.06,-0.27,-0.03,0.0,-0.66,-0.04,-0.12,-0.27
5,Rescuers have recovered at least 16 bodies after an overcrowded boat carrying about 125 Rohingya refugees sank off an island in the Bay of Bengal,"Eight Los Angeles County Sheriff's deputies are facing administrative action after they allegedly shared graphic photos of a helicopter crash that killed Kobe Bryant, his daughter and seven others, Los Angeles County Sheriff Alex Villanueva told CNN Monday.",1.0,121.0,25.0,4.0,8.0,1.0,25.0,4.84,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-99.0,-13.0,-1.0,-13.0,-1.0,-13.0,-0.95,0.0,-20.0,0.0,0.0,-5.26,-9.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,-9.65,-4.1,-0.17,0.59,-0.43,-4.47,0.33,-0.01,-4.51,0.0,-0.37,-1.15,-1.26,-0.05,0.17,-0.15,0.37,-0.06,-0.37,-0.03,0.0,-1.26,-0.04,-0.12,-0.37
6,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","For the fourth consecutive year, first lady Melania Trump on Wednesday attended the International Women of Courage Awards at the State Department.",1.0,177.0,37.0,9.0,10.0,2.0,37.0,4.783783783783784,0.0,11.11111111111111,0.0,0.0,5.405405405405405,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,52.0,15.0,8.0,-1.0,0.0,15.0,-0.9,0.0,11.11,0.0,0.0,5.41,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-6.77,-2.86,0.37,0.21,-0.4,-2.19,0.23,-0.01,-4.26,0.0,-0.66,-0.71,-0.4,-0.05,0.14,-0.15,0.4,-0.06,-0.44,-0.03,0.0,-0.4,-0.04,-0.12,-0.44
7,"The coronavirus’s epicentre may be a thousand kilometres south in the province of Hubei, but the nervousness has spread to China's capital, Beijing, and engulfed the whole country, writes Saša Petricic.","Senior Department of Health and Human Services officials failed to act on repeated warnings from staff about family separations at the US-Mexico border, and staff members were advised not to put controversial information in writing, according to a HHS inspect…",1.0,172.0,31.0,6.0,14.0,2.0,31.0,5.548387096774194,0.0,16.666666666666664,0.0,0.0,3.225806451612903,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-49.0,-9.0,0.0,-4.0,1.0,-9.0,0.02,0.0,0.0,0.0,0.0,-1.77,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-5.23,-2.68,0.41,0.42,-0.39,-1.22,0.24,-0.01,-3.37,0.0,-0.88,-0.66,-0.26,-0.05,0.12,-0.15,0.41,-0.06,-0.49,-0.03,0.0,-0.26,-0.04,-0.12,-0.49
8,Quiet talks brokered by a government desperate to stop a growing economic threat led to two rail rivals coming together with a workaround to bypass blockade sites.,"A mother reaches into an envelope and pulls out her child's report card while her young son stands visibly anxious nearby. Report card season can be a nerve-wracking time for any student, but in this situation, the stakes are even higher: She reads out loud h…",1.0,137.0,27.0,6.0,9.0,2.0,27.0,5.074074074074074,0.0,0.0,0.0,3.7037037037037033,11.11111111111111,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-78.0,-19.0,-1.0,-5.0,0.0,4.0,0.4,0.0,-28.57,0.0,3.7,6.76,-19.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,-19.0,0.0,0.0,-4.0,-7.92,-2.99,0.44,0.03,-0.37,-0.92,0.21,-0.01,-4.53,0.0,-0.63,0.25,-0.93,-0.05,0.11,-0.15,0.43,-0.06,-0.54,-0.03,0.0,-0.93,-0.04,-0.12,-0.54
9,"No cases of the coronavirus have yet emerged in elementary or secondary schools in Canada, but it's certainly possible that a student or teacher could become infected. CBC News looks at the ramifications if a case of COVID-19 materializes in a Canadian school.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,218.0,43.0,6.0,13.0,3.0,21.5,5.069767441860465,0.0,0.0,0.0,0.0,2.3255813953488373,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,4.0,-2.0,1.0,1.0,-17.5,-0.26,0.0,-12.5,0.0,0.0,-0.24,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.98,-1.63,0.46,0.12,-0.26,-1.22,0.18,-0.01,-5.46,0.0,-0.81,0.11,-0.46,-0.05,0.1,-0.15,0.34,-0.06,-0.57,-0.03,0.0,-0.46,-0.04,-0.12,-0.57
