,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A frozen bird found in the Siberian permafrost is a 46,000-year-old lark, scientists have revealed.","""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,85.0,15.0,4.0,4.0,2.0,15.0,5.666666666666667,0.0,25.0,0.0,0.0,6.666666666666667,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-135.0,-26.0,-2.0,-11.0,0.0,-5.5,0.3,0.0,25.0,0.0,0.0,4.23,-19.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-19.0,0.0,0.0,-1.0,-79.9,-17.3,-1.1,-7.9,-0.17,-9.92,0.53,0.0,14.42,0.0,-2.19,3.45,-12.07,0.0,-0.05,-0.12,-0.33,-0.1,-0.75,-0.03,0.0,-12.07,-0.05,-0.17,-0.75
1,"Bob McDonald's science blog: New finds of the remains of Homo erectus and their stone tools reveals a culture that developed new ideas, but didn't abandon old ones","Joe Biden is flying to South Carolina on Tuesday night, bailing at the last minute on his planned New Hampshire primary-night party ahead of another expected loss.",1.0,136.0,28.0,5.0,13.0,1.0,28.0,4.857142857142857,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-1.0,1.0,2.0,2.0,-1.0,1.0,-0.22,0.0,-33.33,0.0,0.0,-3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-54.4,-10.8,-0.6,-3.4,-0.68,-3.42,0.13,0.0,1.92,0.0,-2.19,0.12,-6.58,0.0,-0.05,-0.12,-0.33,-0.1,-0.25,-0.03,0.0,-6.58,-0.05,-0.17,-0.25
2,"Kim's Convenience star Paul Sun-Hyung Lee says he was filled with 'equal parts pure joy, elation and shock' when Parasite won best picture at the Oscars. His reaction reflects a wider one, as world cinema fans wonder whether the win indicates a change in how …","Jeff Yang writes that after weeks of struggling, Joe Biden redeemed himself in the South Carolina primary. What remains to be seen is what South Carolina means for the rest of the field.",1.0,215.0,46.0,7.0,21.0,2.0,23.0,4.673913043478261,0.0,14.285714285714285,0.0,17.391304347826086,2.1739130434782608,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,0.0,1.0,61.0,13.0,-1.0,9.0,-1.0,6.5,0.01,0.0,-10.71,0.0,17.39,-0.86,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,-19.57,-2.63,0.23,0.77,-0.51,-2.92,-0.07,0.0,2.52,0.0,3.61,-0.27,0.59,0.0,-0.05,-0.12,0.01,-0.1,-0.08,-0.03,0.0,0.59,-0.05,-0.17,-0.08
3,"Democratic presidential candidates traded jabs over money and message on Sunday, two days before New Hampshire voters pick their choice to take on U.S. Republican President Donald Trump in November.","India already has over 500 million internet users, a number that's set to almost double in the next decade.",1.0,169.0,30.0,3.0,16.0,4.0,10.333333333333334,5.633333333333334,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,80.0,11.0,-1.0,11.0,2.0,-8.67,0.95,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,-13.65,-2.55,-0.35,1.6,0.07,-5.84,0.07,0.0,-0.76,0.0,2.16,-1.01,0.68,0.0,-0.05,-0.12,0.17,-0.1,0.0,-0.03,0.0,0.68,-0.05,-0.17,0.0
4,"The Trudeau government is set to introduce legislation Monday amending the Criminal Code to ban conversion therapy, a controversial practice that aims to change the sexual orientation, gender identity or expression of LGBTQ people.","Before getting into what Naomi Campbell has to say, it is impossible to ignore what Naomi Campbell projects: A kind of surreal, cyborg beauty. She is what I imagine a 3D printout of what a perfect otherworldly woman would look like.",1.0,198.0,34.0,7.0,15.0,2.0,34.0,5.823529411764706,0.0,14.285714285714285,0.0,0.0,2.941176470588235,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,6.0,-7.0,-2.0,5.0,-1.0,13.5,1.14,0.0,-7.94,0.0,-9.76,-1.94,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,4.0,-1.0,0.0,-1.0,-4.3,-1.7,0.1,1.9,0.03,-2.85,0.19,0.0,0.14,0.0,1.29,-0.86,0.93,0.0,-0.05,-0.12,0.07,-0.1,-0.15,-0.03,0.0,0.93,-0.05,-0.17,-0.15
5,There was a time when the fates of Quebec's aerospace industry and Bombardier were intimately linked. But the Bombardier-Airbus deal suggests that may no longer be the case. The aerospace industry may finally have to fly on its own.,"Over the past year, a handful of surprising auction house press releases have graced my inbox. ""Sotheby's Partners with The Strokes' Fabrizio Moretti For Special Old Masters Exhibition & Auction,"" one proclaimed, while another proudly boasted: ""Christie's to …",1.0,194.0,39.0,9.0,11.0,4.0,13.0,4.9743589743589745,0.0,33.33333333333333,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,-28.0,0.0,4.0,-7.0,2.0,-6.5,-0.72,0.0,33.33,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-9.0,-1.0,0.0,1.0,1.27,-0.3,0.73,1.43,0.33,-4.37,0.13,0.0,3.91,0.0,0.71,-1.25,1.26,0.0,-0.05,-0.12,0.01,-0.1,-0.08,-0.03,0.0,1.26,-0.05,-0.17,-0.08
6,Federal Agriculture Minister Marie-Claude Bibeau is putting together a youth council she hopes will help her address issues on the future of food production in Canada.,"Former New York Mayor Michael Bloomberg attacked Bernie Sanders on Monday in a new digital ad featuring aggressive and derogatory tweets, memes and videos purportedly posted by the Vermont senator's online supporters.",1.0,142.0,26.0,5.0,12.0,2.0,26.0,5.461538461538462,0.0,20.0,0.0,0.0,3.8461538461538463,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,3.0,-44.0,-6.0,2.0,-3.0,0.0,-6.0,-0.35,0.0,20.0,0.0,0.0,-2.4,-4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-4.0,0.0,0.0,3.0,-2.19,-1.16,0.61,1.24,0.25,-3.59,0.16,0.0,4.69,0.0,0.3,-0.98,0.93,0.0,-0.05,-0.12,-0.04,-0.1,0.25,-0.03,0.0,0.93,-0.05,-0.17,0.25
7,"This year's Governor General's Performing Arts Awards will be a star-studded affair, with internationally renowned actors Ryan Reynolds, Catherine O'Hara and Tantoo Cardinal among the laureates.",A California lawmaker disappointed by the long lines during Los Angeles county's Super Tuesday voting announced a new proposal Thursday aimed at making the November general election run more smoothly for voters.,1.0,169.0,26.0,2.0,15.0,2.0,26.0,6.5,0.0,50.0,0.0,3.8461538461538463,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-11.0,-6.0,-3.0,1.0,0.0,-6.0,0.88,0.0,50.0,0.0,0.72,-3.12,-4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-1.4,-1.8,0.15,1.48,0.2,-3.0,0.31,0.0,9.03,0.0,0.47,-1.26,0.68,0.0,-0.05,-0.12,-0.07,-0.1,0.12,-0.03,0.0,0.68,-0.05,-0.17,0.12
8,"Davina McLeod, who plays hockey with the Southern Alberta Institute of Technology Trojans, says they were playing against the Red Deer Queens when one of the opposing team's players called her a racist name.","A few months ago, South Carolina political activist Johnnie Cordero took the stage at a historically black college in Rock Hill for a presidential town hall and delivered impassioned remarks about a subject that long has troubled him: the killing of young bla…",1.0,174.0,34.0,7.0,14.0,2.0,34.0,5.117647058823529,0.0,14.285714285714285,0.0,0.0,2.941176470588235,29.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,-44.0,-9.0,3.0,-2.0,1.0,-9.0,0.05,0.0,14.29,0.0,-2.33,-1.71,-9.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,-9.0,0.0,0.0,2.0,-0.23,-1.41,0.34,1.54,0.16,-1.66,0.28,0.0,8.44,0.0,0.17,-1.15,0.81,0.0,-0.05,-0.12,0.01,-0.1,0.25,-0.03,0.0,0.81,-0.05,-0.17,0.25
9,"Judith Williams is head of people sustainability and chief diversity and inclusion officer at software giant SAP, which was recently named by Forbes as the best employer for diversity in 2020.",Major League Baseball just notched a win for diversity.,1.0,162.0,31.0,3.0,14.0,2.0,31.0,5.225806451612903,0.0,66.66666666666666,0.0,6.451612903225806,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,115.0,22.0,2.0,9.0,0.0,22.0,0.0,0.0,66.67,0.0,-4.66,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-0.5,-1.4,0.1,1.6,0.12,-0.89,0.26,0.0,13.21,0.0,0.58,-1.36,0.72,0.0,-0.05,-0.12,0.07,-0.1,0.15,-0.03,0.0,0.72,-0.05,-0.17,0.15
