,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,48.0,0.0,-1.0,16.0,0.0,-19.0,1.23,0.0,-33.33,0.0,-2.56,12.82,2.0,0.0,0.0,-1.0,-1.0,-3.0,-1.0,0.0,0.0,2.0,-3.0,-3.0,-1.0,62.46,7.65,-0.35,13.92,-0.17,-5.0,0.58,0.0,-12.21,0.0,-2.0,9.94,2.7,-0.16,-0.04,-0.09,0.33,-0.03,-0.95,0.0,0.0,2.7,-0.03,-0.04,-0.95
1,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","The FBI is appealing for photos or video from Yellowstone National Park that may show two children missing from Rexburg, Idaho, since September.",1.0,130,28,5,12,2,28.0,4.642857142857143,0,20.0,0.0,0.0,3.571428571428571,25,0,0,0,0,0,0,0,0,25,0,0,0,8.0,5.0,0.0,2.0,0.0,5.0,-0.66,0.0,0.0,0.0,-4.35,3.57,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.46,2.15,-0.35,7.42,-0.17,-1.0,0.05,0.0,-2.21,0.0,-2.0,5.32,0.7,-0.16,-0.04,-0.09,-0.17,-0.03,-0.95,0.0,0.0,0.7,-0.03,-0.04,-0.95
2,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"Four children were injured after a woman crashed her car through the window of a day care center classroom, according to Pennsylvania authorities.",1.0,222,39,6,14,2,19.5,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31,0,0,0,0,0,1,0,0,31,0,0,1,98.0,16.0,2.0,4.0,0.0,-3.5,0.3,0.0,-8.33,0.0,2.56,5.91,10.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,10.0,0.0,0.0,-1.0,31.8,3.98,-0.02,5.92,-0.17,-2.5,0.23,0.0,0.01,0.0,-1.15,6.01,2.03,-0.16,-0.04,-0.09,-0.33,-0.03,-0.62,0.0,0.0,2.03,-0.03,-0.04,-0.62
3,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.",The mother of two children who have been missing for months has decided not to fight extradition from Hawaii to Idaho.,1.0,177,37,9,10,2,37.0,4.783783783783784,0,11.11111111111111,0.0,0.0,5.405405405405405,32,0,0,0,1,0,0,0,0,32,0,0,0,79.0,16.0,3.0,4.0,0.0,16.0,0.12,0.0,-5.56,0.0,0.0,5.41,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,28.21,4.4,0.9,4.17,-0.17,1.12,0.09,0.0,-0.27,0.0,-1.36,5.14,2.95,-0.16,-0.04,-0.09,-0.17,-0.03,-0.7,0.0,0.0,2.95,-0.03,-0.04,-0.7
4,Prime Minister Justin Trudeau today visited one of the most notorious entrepôts of the African transatlantic slave trade.,"When federal agents busted into Anthony Todt's Florida home to arrest him in a fraud case, they found the decomposing bodies of his wife and children.",1.0,104,18,1,10,2,18.0,5.777777777777778,0,0.0,0.0,0.0,11.11111111111111,14,0,0,1,1,0,0,0,0,14,0,0,0,-21.0,-8.0,-3.0,0.0,0.0,-8.0,0.97,0.0,0.0,0.0,0.0,7.26,-12.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,-12.0,0.0,0.0,-2.0,11.46,0.85,-0.15,3.12,-0.17,-0.5,0.2,0.0,-2.66,0.0,-1.49,5.76,-0.1,-0.16,-0.04,0.11,-0.07,-0.03,-0.75,0.0,0.0,-0.1,-0.03,-0.04,-0.75
5,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.",A new study has linked a later bedtime with an increased risk of obesity for kids -- although the researchers say parents shouldn't rush to put their preschoolers to sleep earlier as a result.,1.0,162,27,5,9,3,14.0,6.0,0,20.0,0.0,0.0,0.0,25,0,0,0,2,0,0,0,0,25,0,0,0,3.0,-7.0,-3.0,0.0,1.0,-20.0,1.32,0.0,20.0,0.0,0.0,-2.94,-5.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-1.0,9.96,-0.02,-0.19,2.25,-0.01,-2.25,0.32,0.0,-0.92,0.0,-1.57,4.32,-0.3,-0.16,-0.04,0.08,0.17,-0.03,-0.78,0.0,0.0,-0.3,-0.03,-0.04,-0.78
6,"The federal privacy commissioner is opening an investigation into how the RCMP uses facial recognition technology, a day after the national police force admitted using the controversial technology from Clearview AI.","The LA Times released audio from Kobe Bryant's final interview with columnist Arash Markazi, where the retired NBA star discussed fatherhood and spending time with his children. CNN's Coy Wire has more.",1.0,185,31,5,12,2,31.0,5.967741935483871,0,20.0,0.0,0.0,3.225806451612903,28,0,0,0,0,0,0,0,0,28,0,0,0,14.0,-1.0,2.0,-5.0,-1.0,15.0,0.62,0.0,20.0,0.0,0.0,3.23,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,12.18,-0.07,-0.21,2.06,-0.03,-1.07,0.39,0.0,0.33,0.0,-1.63,3.75,-0.02,-0.16,-0.04,0.05,0.05,-0.03,-0.81,0.0,0.0,-0.02,-0.03,-0.04,-0.81
7,"No cases of the coronavirus have yet emerged in elementary or secondary schools in Canada, but it's certainly possible that a student or teacher could become infected. CBC News looks at the ramifications if a case of COVID-19 materializes in a Canadian school.","The mother of two children missing in Idaho repeatedly lied to police and asked others to lie as detectives began investigating the disappearances, according to newly released court documents.",1.0,218,43,6,13,3,21.5,5.069767441860465,0,0.0,0.0,0.0,2.3255813953488373,31,0,0,0,0,0,0,0,0,31,0,0,0,54.0,14.0,-3.0,5.0,1.0,-7.5,-0.59,0.0,0.0,0.0,0.0,-4.57,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17.96,1.4,-0.1,2.04,0.08,-1.38,0.34,0.0,-1.24,0.0,-1.68,3.21,0.57,-0.16,-0.04,0.03,-0.04,-0.03,-0.82,0.0,0.0,0.57,-0.03,-0.04,-0.82
8,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","The rapper, who identifies herself as Asayel, posted the video last week. It shows her rapping about being a woman from Mecca. She is seen wearing a headscarf, singing in a coffee shop with backup dancers and children around her.",1.0,183,34,9,10,2,34.0,5.382352941176471,0,11.11111111111111,0.0,0.0,11.76470588235294,30,0,0,0,0,0,1,0,0,30,0,0,1,-7.0,-6.0,0.0,-2.0,-2.0,20.67,0.63,0.0,0.0,0.0,0.0,11.76,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,18.58,1.54,0.31,1.7,0.05,-0.23,0.33,0.0,-1.22,0.0,-1.72,3.84,0.92,-0.16,-0.04,0.02,-0.11,-0.03,-0.73,0.0,0.0,0.92,-0.03,-0.04,-0.73
9,Ontario's public school teachers will protest today at the legislature to coincide with a provincewide strike that will leave about two million students out of class.,"Authorities are still trying to piece together what happened to the two Idaho children who have been missing for five months. In that time, their mother re-married and fled to Hawaii with her husband once police began investigating the disappearances.",1.0,141,26,5,9,2,26.0,5.423076923076923,0,0.0,0.0,0.0,7.6923076923076925,24,0,0,0,2,0,0,0,0,24,0,0,0,-71.0,-14.0,-5.0,0.0,-1.0,6.0,0.12,0.0,-20.0,0.0,0.0,7.69,-11.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-11.0,0.0,0.0,-3.0,14.86,0.85,0.25,1.32,0.03,-0.1,0.33,0.0,-2.32,0.0,-1.74,3.94,0.6,-0.16,-0.04,0.01,0.03,-0.03,-0.75,0.0,0.0,0.6,-0.03,-0.04,-0.75
