,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Bears are mammals that belong to the family Ursidae.,"CNN's Ben Wedeman reports on a church in Milan, Italy, as a portion of the country's population is under lockdown amid the coronavirus outbreak.",1.0,44,9,2,4,2,9.0,4.888888888888889,0,50.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,9,0,0,0,-77.0,-15.0,0.0,-8.0,0.0,-15.0,-0.15,0.0,0.0,0.0,0.0,-4.17,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-122.11,-23.61,-3.62,-7.53,-0.24,-15.49,-0.23,-0.01,36.12,0.0,-2.28,-3.23,-18.32,0.0,-0.05,-0.21,-0.55,-0.12,-0.45,-0.01,0.0,-18.32,-0.12,-0.11,-0.45
2,"A frozen bird found in the Siberian permafrost is a 46,000-year-old lark, scientists have revealed.",2020 Democratic hopefuls Amy Klobuchar and Tom Steyer both couldn't name the president of Mexico when asked during a Telemundo interview while campaigning in Nevada this week.,1.0,85,15,4,4,2,15.0,5.666666666666667,0,25.0,0.0,0.0,6.666666666666667,15,0,0,0,0,0,0,0,0,15,0,0,0,-64.0,-12.0,0.0,-7.0,0.0,-12.0,0.15,0.0,25.0,0.0,0.0,6.67,-12.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-93.11,-18.28,-1.96,-6.86,-0.24,-10.16,-0.03,-0.01,17.78,0.0,-0.53,0.75,-14.32,0.0,-0.05,-0.21,-0.55,-0.12,-0.45,-0.01,0.0,-14.32,-0.12,-0.11,-0.45
3,Research involving long-term care residents tests how cannabidiol might be used therapeutically to help seniors live more comfortable lives.,"""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,122,19,7,5,2,19.0,6.421052631578948,0,14.285714285714285,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-98.0,-22.0,1.0,-10.0,0.0,-1.5,1.06,0.0,14.29,0.0,5.26,-2.44,-15.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-15.0,0.0,0.0,-1.0,-80.86,-17.11,-1.12,-6.78,-0.24,-8.99,0.3,-0.01,13.44,0.0,0.35,-0.25,-12.82,0.0,-0.05,-0.21,-0.55,-0.12,-0.45,-0.01,0.0,-12.82,-0.12,-0.11,-0.45
4,"Charts showing body mass index have been posted in doctors' offices for decades, but experts caution against using the number to make assumptions about an individual's health.","Concerns are mounting about how long the novel coronavirus may survive on surfaces -- so much so that China's central bank has taken measures to deep clean and destroy its cash, which changes hands multiple times a day, in an effort to contain the virus.",1.0,149,27,7,12,2,27.0,5.518518518518518,0,14.285714285714285,0.0,0.0,0.0,27,0,0,0,0,0,0,0,0,27,0,0,0,-61.0,-18.0,-3.0,-1.0,0.0,-18.0,0.85,0.0,4.29,0.0,-2.22,-4.44,-12.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,-12.0,0.0,0.0,-1.0,-68.11,-14.81,-0.62,-5.33,-0.24,-6.69,0.32,-0.01,10.83,0.0,-0.18,-0.84,-10.32,0.0,-0.05,-0.21,-0.55,-0.12,-0.45,-0.01,0.0,-10.32,-0.12,-0.11,-0.45
5,"As the coronavirus outbreak continues to spread outside of China, experts say the situation is rapidly moving toward a pandemic. Adam Miller looks at why the World Health Organization isn't calling it one just yet.","Drug overdoses can be life threatening, but for two women who accidentally took massive hits of LSD the experience was life changing -- and in a good way.",1.0,180,35,8,10,3,17.5,5.142857142857143,0,12.5,0.0,0.0,2.857142857142857,32,0,0,0,1,0,1,0,0,32,0,0,1,53.0,7.0,3.0,0.0,1.0,-10.5,0.61,0.0,-27.5,0.0,-3.57,-0.71,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-54.45,-11.95,-0.12,-4.7,-0.08,-6.74,0.27,-0.01,8.79,0.0,-0.53,-0.76,-7.82,0.0,-0.05,-0.21,-0.38,-0.12,-0.28,-0.01,0.0,-7.82,-0.12,-0.11,-0.28
6,"In Canada, so far, all cases of COVID-19 have been traced to areas where an outbreak has occurred. But federal Health Minister Patty Hadju warned Wednesday that ""eventually this is likely something that we'll see in one of our communities."" Here's what that w…","At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,217,44,10,13,3,15.0,4.931818181818182,0,20.0,0.0,0.0,4.545454545454546,39,0,1,1,1,0,0,0,0,39,0,1,0,54.0,16.0,7.0,2.0,1.0,0.5,-0.89,0.0,20.0,0.0,-10.71,4.55,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,-39.4,-8.61,0.52,-3.82,0.04,-7.13,0.21,-0.01,8.41,0.0,-0.78,-0.47,-5.03,0.0,0.09,-0.07,-0.27,-0.12,-0.31,-0.01,0.0,-5.03,-0.12,0.03,-0.31
7,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","India already has over 500 million internet users, a number that's set to almost double in the next decade.",1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,131.0,20.0,3.0,9.0,0.0,20.0,0.96,0.0,28.57,0.0,5.13,7.69,9.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,-27.74,-6.74,0.63,-3.03,0.01,-4.43,0.24,-0.01,9.2,0.0,-0.33,0.15,-4.32,0.0,0.07,-0.09,-0.3,-0.12,-0.2,-0.01,0.0,-4.32,-0.12,0.01,-0.2
8,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.","With US coronavirus cases topping 220 across 19 states and the death toll climbing to more than a dozen, state governments have asked thousands of residents to seclude themselves from the rest of the community to help contain the virus.",1.0,80,15,3,5,2,15.0,5.333333333333333,0,0.0,0.0,0.0,13.333333333333334,15,0,0,0,0,0,0,0,0,15,0,0,0,-117.0,-25.0,-4.0,-9.0,0.0,-25.0,0.41,0.0,0.0,0.0,0.0,5.83,-16.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-34.22,-7.95,0.27,-3.42,-0.02,-4.99,0.24,-0.01,6.63,0.0,-0.54,1.26,-5.21,0.0,0.06,-0.1,-0.33,-0.12,-0.23,-0.01,0.0,-5.21,-0.12,-0.0,-0.23
9,"No cases of the coronavirus have yet emerged in elementary or secondary schools in Canada, but it's certainly possible that a student or teacher could become infected. CBC News looks at the ramifications if a case of COVID-19 materializes in a Canadian school.","Prime Minister Benjamin Netanyahu looks set to come out top in Israel's general election, according to projections made by the country's three main television stations early Tuesday, with 90% of votes counted.",1.0,218,43,6,13,3,21.5,5.069767441860465,0,0.0,0.0,0.0,2.3255813953488373,31,0,0,0,0,0,0,0,0,31,0,0,0,40.0,11.0,0.0,-1.0,1.0,-10.5,-0.49,0.0,0.0,0.0,-3.12,2.33,1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-25.61,-6.11,0.28,-2.93,0.06,-4.79,0.21,-0.01,4.58,0.0,-0.72,1.04,-4.32,0.0,0.05,-0.11,-0.35,-0.12,-0.25,-0.01,0.0,-4.32,-0.12,-0.01,-0.25
10,Joe Biden is staring down what could be the end of his political career. The former U.S. vice-president's campaign is hobbling toward its do-or-die moment this weekend in South Carolina. Katie Simpson looks at the major challenges facing Biden.,"After numerous Italian communities have tried to revive their dwindling populations by selling off dilapidated homes for little more than a dollar, one town has come up with a new approach.",1.0,206,39,8,15,6,8.0,5.282051282051282,0,37.5,0.0,0.0,0.0,35,0,0,0,0,0,2,0,0,35,0,0,2,47.0,8.0,1.0,8.0,4.0,-23.0,0.15,0.0,37.5,0.0,-3.23,-6.45,6.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-19.66,-4.98,0.47,-2.35,0.39,-5.85,0.21,-0.01,6.31,0.0,-0.86,0.65,-3.23,0.0,0.04,-0.12,-0.37,-0.12,-0.09,-0.01,0.0,-3.23,-0.12,-0.02,-0.09
