,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Man wanted for shooting at Hamilton police arrested after day-long standoff CBC.ca Wanted offender arrested in Brantford after standoff Tbnewswatch.com Suspect surrenders following daylong standoff Brantford Expositor Federal offender wanted on Canada-wide wa…,Democratic presidential candidate Michael Bloomberg jabs President Donald Trump with a new way to measure height. Jeanne Moos reports the height war has reached new heights.,1.0,228,33,7,18,3,11.666666666666666,6.909090909090909,0,0.0,0.0,0.0,6.0606060606060606,20,0,0,0,0,0,0,0,0,20,0,0,0,80.0,7.0,3.0,5.0,0.0,-1.33,1.22,0.0,0.0,0.0,0.0,6.06,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,71.47,3.09,2.47,6.28,0.94,-14.71,1.62,0.0,-14.74,0.0,-2.03,1.82,-5.5,-0.03,-0.03,-0.12,-0.44,-0.03,-0.53,0.0,0.0,-5.5,-0.03,-0.03,-0.53
1,"A new study is reporting that the world's tropical forests are losing their capacity to absorb carbon dioxide (C02), raising alarms about the prospect of accelerating increasing climate breakdown.",Supermodel Naomi Campbell discusses how she responds when tabloids have tried to distort her image and reputation.,1.0,168,29,8,11,2,29.0,5.793103448275862,0,25.0,0.0,0.0,6.896551724137931,27,0,0,0,0,0,1,0,0,27,0,0,1,70.0,12.0,3.0,5.0,0.0,12.0,0.03,0.0,25.0,0.0,-5.88,1.01,10.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,10.0,0.0,0.0,-2.0,41.47,1.09,2.97,2.78,0.44,-6.04,1.06,0.0,-2.24,0.0,-2.03,2.23,-2.0,-0.03,-0.03,-0.12,-0.44,-0.03,-0.03,0.0,0.0,-2.0,-0.03,-0.03,-0.03
2,"The Saskatchewan government now says an estimated 1.6 million litres leaked on the highway west of Guernsey, more than what leaked after a similar train crash near the community two months ago.","• What Obama is saying in private about Sanders, NY Magazine reports • Bloomberg slammed Obamacare in 2010 • Watch: Trump starts height war with nickname. Bloomberg fires back",1.0,162,32,3,10,3,16.5,5.0625,0,0.0,0.0,0.0,3.125,28,0,0,0,3,0,0,0,0,28,0,0,0,15.0,3.0,-3.0,-3.0,1.0,2.0,-0.01,0.0,-16.67,0.0,0.0,3.12,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,29.47,1.43,1.47,1.28,0.6,-7.32,0.63,0.0,-6.41,0.0,-2.03,1.12,-0.5,-0.03,-0.03,-0.12,0.56,-0.03,-0.2,0.0,0.0,-0.5,-0.03,-0.03,-0.2
3,Pauline Maracle skipped work to serve as the main cook for the now seven-day Tyendinaga Mohawk demonstration that has shut down passenger and freight traffic through one of Canada’s busiest rail corridors.,"Seth Cousins, a juror in the Roger Stone trial, defends the guilty verdict, saying that it was ""not rigged"" and that President Donald Trump ""damages our democracy"" by attacking the process.",1.0,174,32,4,15,2,32.0,5.4375,0,0.0,0.0,3.125,3.125,30,0,0,0,1,0,0,0,0,30,0,0,0,15.0,1.0,-1.0,2.0,0.0,1.0,0.31,0.0,-20.0,0.0,3.12,-3.33,4.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.0,0.0,-1.0,-1.0,26.47,1.59,0.97,1.78,0.44,-4.08,0.51,0.0,-8.49,0.0,-1.25,0.56,0.75,-0.03,-0.03,-0.12,0.56,-0.03,-0.28,0.0,0.0,0.75,-0.03,-0.03,-0.28
4,North Korea fired two unidentified projectiles into its eastern sea on Monday as it begins to resume weapons demonstrations after a months-long hiatus that could have been forced by the coronavirus crisis in Asia.,Democratic presidential candidate Pete Buttigieg shared a story at the CNN Town Hall in Nevada about how he tried to use his foreign language skills to help a family caught in the middle of a protest.,1.0,180,34,7,11,2,34.0,5.294117647058823,0,14.285714285714285,0.0,0.0,2.941176470588235,34,0,0,0,1,0,2,0,0,34,0,0,2,15.0,-2.0,2.0,-2.0,0.0,-2.0,0.71,0.0,14.29,0.0,0.0,0.16,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,25.87,2.09,1.27,1.28,0.34,-1.74,0.41,0.0,-6.88,0.0,-1.4,0.18,2.3,-0.03,-0.03,-0.12,0.56,-0.03,0.07,0.0,0.0,2.3,-0.03,-0.03,0.07
5,"Trains carrying hazardous goods across the country will be slowing down over the next 30 days, following the second fiery crash in a two month span near Guernsey, Sask., and that could impact more than just those shipments.","During a CNN town hall in Nevada, Democratic presidential candidate Pete Buttigieg discusses conservative radio personality Rush Limbaugh's attack on Buttigieg's sexuality.",1.0,186,38,8,10,3,19.5,4.894736842105263,0,12.5,0.0,2.631578947368421,5.263157894736842,35,0,0,0,2,0,0,0,0,35,0,0,0,35.0,16.0,7.0,-4.0,1.0,-2.5,-1.97,0.0,12.5,0.0,2.63,-3.83,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,26.47,3.09,1.64,0.78,0.44,-2.6,0.27,0.0,-6.11,0.0,-1.07,0.32,3.5,-0.03,-0.03,-0.12,0.73,-0.03,-0.03,0.0,0.0,3.5,-0.03,-0.03,-0.03
6,The RCMP launched an internal code of conduct this week after being alerted a post on the Facebook page of officer Jack Clay. Clay has been moved to desk duty pending the outcome of that probe.,Democratic presidential candidate Pete Buttigieg speaks to CNN's Jake Tapper about Joe Biden's recent comments on Buttigieg's experience.,1.0,158,36,8,14,3,18.0,4.388888888888889,0,12.5,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,31,0,0,0,38.0,18.0,7.0,3.0,1.0,0.0,-2.28,0.0,12.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,22.9,3.52,1.9,1.0,0.51,-3.42,0.11,0.0,-5.56,0.0,-1.2,-0.33,3.79,-0.03,-0.03,-0.12,0.56,-0.03,-0.1,0.0,0.0,3.79,-0.03,-0.03,-0.1
7,Tom Salisbury didn’t think much of his chest cold when he got it in January 2014. He would later learn it was the first symptom of a rare disease that could have killed him.,"The son of a Louisiana deputy pleaded guilty on Monday to setting fire to three black churches, according to federal prosecutors.",1.0,140,34,8,9,3,17.0,4.117647058823529,0,12.5,0.0,0.0,8.823529411764707,30,0,0,0,1,0,4,0,0,30,0,0,4,31.0,13.0,5.0,2.0,1.0,-4.0,-1.07,0.0,12.5,0.0,0.0,4.06,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,4.0,17.97,3.59,2.09,0.53,0.56,-4.17,-0.05,0.0,-5.14,0.0,-1.31,0.28,3.88,-0.03,-0.03,-0.12,0.56,-0.03,0.34,0.0,0.0,3.88,-0.03,-0.03,0.34
8,"The protesters are supporting Wet'suwet'en hereditary chiefs in opposition of building the $6-billion Coastal GasLink natural gas pipeline, and have been restricting the transport of goods across the country over the past two weeks.",The Houston Astros are cheaters. That is the conclusion of an investigation by Major League Baseball: Its players had concocted a scheme to tip off its hitters in real time as to precisely which pitches they would be receiving from the opposing pitchers.,1.0,199,34,6,12,2,34.0,5.852941176470588,0,33.33333333333333,0.0,2.941176470588235,2.941176470588235,28,0,0,0,1,0,0,0,0,28,0,0,0,-13.0,-9.0,-4.0,-1.0,-1.0,12.5,0.92,0.0,3.33,0.0,0.62,2.94,-11.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-11.0,0.0,0.0,-1.0,20.69,3.65,2.02,0.5,0.49,-2.86,0.02,0.0,-2.51,0.0,-1.06,0.11,3.72,-0.03,-0.03,-0.12,0.56,-0.03,0.25,0.0,0.0,3.72,-0.03,-0.03,0.25
10,"U.S. Attorney General William Barr publicly swiped at Donald Trump on Thursday, declaring the president's tweets about Justice Department prosecutors and open cases ""make it impossible for me to do my job."" The White House said Barr has the president's confid…",This little rescue got quite a treat after the Australian Defense Force saved it from fires burning on Australia's Kangaroo Island.,1.0,220,41,6,20,4,10.75,5.365853658536586,0,0.0,0.0,0.0,2.4390243902439024,35,0,0,0,0,0,1,0,0,35,2,0,1,109.0,20.0,3.0,12.0,2.0,-10.25,0.08,0.0,0.0,0.0,0.0,-2.32,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,26.2,5.0,1.92,1.46,0.66,-4.29,-0.03,0.0,-4.73,0.0,-1.24,-0.02,4.23,-0.03,-0.03,-0.12,0.38,-0.03,0.2,0.0,0.0,4.23,0.15,-0.03,0.2
