,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,67,13,1,8,2,13.0,5.153846153846154,0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,13,0,0,0,-129.0,-19.0,-5.0,-4.0,0.0,-19.0,-0.97,0.0,-16.67,0.0,-3.12,0.0,-17.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,-117.72,-22.66,-4.28,-5.76,0.0,-15.87,-0.04,-0.07,-13.64,0.0,-2.17,-2.59,-16.72,0.0,0.0,-0.21,-0.55,-0.1,-0.76,-0.03,0.0,-16.72,0.0,-0.17,-0.76
1,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,162,27,5,9,3,14.0,6.0,0,20.0,0.0,0.0,0.0,25,0,0,0,2,0,0,0,0,25,0,0,0,-41.0,-13.0,1.0,-8.0,1.0,-26.0,0.92,0.0,20.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-8.0,0.0,0.0,-1.0,-70.22,-15.66,-2.28,-5.26,0.5,-15.37,0.38,-0.07,-3.64,0.0,-2.17,-2.59,-10.72,0.0,0.0,-0.21,0.45,-0.1,-0.76,-0.03,0.0,-10.72,0.0,-0.17,-0.76
2,Wet'suwet'en hereditary chiefs are gathering Thursday morning to prepare for a meeting with the British Columbia government and the federal government to discuss the First Nation's title and land rights.,"President Donald Trump's speech at the Conservative Political Action Conference Saturday was short and sweet compared to his more than two-hour long address last year, which remains the longest speech of his presidency.",1.0,174,30,4,13,2,30.0,5.8,0,25.0,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,21,0,0,0,-13.0,-3.0,1.0,1.0,0.0,-3.0,0.13,0.0,-8.33,0.0,-3.03,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,-50.39,-12.32,-1.94,-3.76,0.33,-9.87,0.45,-0.07,1.36,0.0,-2.17,-2.59,-10.06,0.0,0.0,-0.21,0.11,-0.1,-0.76,-0.03,0.0,-10.06,0.0,-0.17,-0.76
3,Finance Minister Bill Morneau was told weeks into the Liberals' second mandate that Canadians are most worried about affordability in areas where governments have a lot of power over prices — particularly child care.,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,183,34,5,15,2,34.0,5.382352941176471,0,40.0,0.0,0.0,2.941176470588235,34,0,0,1,0,0,0,0,0,34,0,0,0,-38.0,-6.0,1.0,-2.0,-1.0,20.67,-0.14,0.0,40.0,0.0,-2.5,-4.56,3.0,0.0,0.0,1.0,-3.0,0.0,-3.0,0.0,0.0,3.0,0.0,0.0,-3.0,-38.22,-9.66,-1.53,-2.51,0.25,-6.12,0.39,-0.07,7.61,0.0,-2.17,-1.86,-6.47,0.0,0.0,0.04,-0.05,-0.1,-0.76,-0.03,0.0,-6.47,0.0,-0.17,-0.76
4,"As China's refusal to import Canadian canola seed threatens the spring planting season for the second year in a row, Parliament's new special committee on Canada–China relations is hearing different explanations for what's going on diplomatically.","His reelection bid accelerating, President Donald Trump has again seized credit for an economic turnaround, claimed record job creation and accused his predecessor of a ""con job"" on the subject.",1.0,212,36,6,14,2,36.0,5.888888888888889,0,16.666666666666664,0.0,0.0,2.7777777777777777,30,0,0,0,0,0,0,0,0,30,0,0,0,47.0,6.0,1.0,1.0,0.0,6.0,0.39,0.0,16.67,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-25.12,-7.66,-1.08,-1.96,0.2,-3.47,0.45,-0.07,6.7,0.0,-2.17,-1.45,-5.12,0.0,0.0,-0.01,-0.15,-0.1,-0.76,-0.03,0.0,-5.12,0.0,-0.17,-0.76
5,"More Canadian veterans than ever are waiting to find out whether they qualify for disability benefits, despite repeated government promises and efforts to get the situation under control.","The Trump administration wants to slash billions of dollars in federal support from Medicaid, food stamps and other safety net programs for the poor, while largely sparing the Medicare program that benefits seniors.",1.0,160,28,5,8,2,28.0,5.714285714285714,0,20.0,0.0,10.714285714285714,0.0,26,0,0,0,0,0,0,0,0,26,0,0,0,-23.0,-5.0,2.0,-7.0,0.0,-5.0,0.17,0.0,20.0,0.0,4.65,-3.03,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-25.06,-7.66,-0.94,-2.59,0.17,-3.04,0.46,-0.07,6.64,0.0,-0.38,-1.64,-4.89,0.0,0.0,-0.04,-0.22,-0.1,-0.76,-0.03,0.0,-4.89,0.0,-0.17,-0.76
6,"Access to provincial health care for veterans and their families can be “disjointed and irregular” depending upon where they live in the country, say internal federal documents.",The Trump administration's efforts and ambitions to reduce the size of government could hamper agencies integral to responding to the coronavirus.,1.0,151,27,6,8,2,27.0,5.592592592592593,0,16.666666666666664,0.0,0.0,3.7037037037037033,25,0,0,0,0,0,1,0,0,25,0,0,1,25.0,6.0,2.0,0.0,0.0,6.0,-0.41,0.0,16.67,0.0,-4.76,-1.06,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,-26.3,-7.8,-0.7,-3.04,0.14,-2.87,0.45,-0.07,6.13,0.0,-0.64,-1.25,-4.87,0.0,0.0,-0.06,-0.27,-0.1,-0.62,-0.03,0.0,-4.87,0.0,-0.17,-0.62
7,"Oil industry subsidies undermine our economy, add to the tax burden, and hinder innovation, writes Taylor Noakes.","President Donald Trump has repeatedly promised middle class Americans fresh tax cuts if he wins a second four-year term in office in November, a pledge that might clash with his efforts to reduce yawning federal deficits.",1.0,97,17,3,9,2,17.0,5.705882352941177,0,0.0,0.0,5.88235294117647,17.647058823529413,17,0,0,0,0,0,0,0,0,17,0,1,0,-89.0,-19.0,-4.0,-4.0,0.0,-19.0,0.54,0.0,0.0,0.0,-2.45,14.87,-15.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-15.0,0.0,1.0,-2.0,-33.97,-9.16,-0.9,-3.26,0.12,-4.0,0.46,-0.07,3.66,0.0,-0.09,0.79,-5.85,0.0,0.0,-0.08,-0.3,-0.1,-0.63,-0.03,0.0,-5.85,0.0,-0.05,-0.63
8,A federal appeals court on Friday temporarily halted a Trump administration policy to make asylum seekers wait in Mexico while their cases wind through U.S. immigration courts.,"The top Republican on the House Armed Services Committee issued a sharp rebuke of President Donald Trump Thursday, slamming the administration's plan to divert $3.83 billion in Pentagon funding to border wall construction as unconstitutional and pledging to t…",1.0,150,27,4,13,4,9.333333333333334,5.555555555555555,0,0.0,0.0,0.0,0.0,27,0,0,0,0,0,1,0,0,27,0,0,1,-72.0,-12.0,-2.0,-3.0,2.0,-10.67,-0.14,0.0,0.0,0.0,-5.13,-5.13,-7.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,-34.06,-9.1,-0.94,-2.98,0.33,-5.72,0.45,-0.07,1.73,0.0,-0.32,0.42,-5.5,0.0,0.0,-0.1,-0.33,-0.1,-0.54,-0.03,0.0,-5.5,0.0,-0.06,-0.54
9,"""It can't be done overnight. It has to be done overtime. But with interest rates low, that gives us time,"" Phillip Swagel said Thursday.","The White House is in the midst of a sharp dispute with Senate Democrats over the amount of money needed to address the threat of the novel coronavirus, even as federal health officials warn that it's no longer a matter of ""if"" but ""when"" the US will have to …",1.0,113,24,8,7,4,8.0,4.708333333333333,0,25.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,20,0,1,0,-98.0,-26.0,0.0,-7.0,3.0,-42.0,0.49,0.0,12.5,0.0,-2.0,-4.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,1.0,0.0,-37.82,-9.36,-0.58,-3.36,0.5,-7.24,0.35,-0.07,2.7,0.0,-0.51,0.12,-5.92,0.0,0.0,-0.11,-0.35,-0.1,-0.56,-0.03,0.0,-5.92,0.0,0.03,-0.56
