,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A cruise ship that has been quarantined off the coast of California by public health officials over fears of a possible COVID-19 outbreak includes 235 Canadian passengers, Global Affairs Canada has confirmed.","A United Parcel Service (UPS) employee was arrested after sending threatening text messages to his employer about planning a mass shooting at a UPS facility in Northern California, authorities said.",1.0,177,32,6,12,2,32.0,5.53125,0,16.666666666666664,0.0,0.0,6.25,28,0,0,0,1,0,0,0,0,28,0,0,0,8.0,2.0,0.0,-2.0,0.0,2.0,-0.1,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.7,-1.92,-0.12,-0.58,-0.04,3.78,0.32,-0.04,2.47,0.0,-1.32,2.85,-0.04,0.0,-0.03,-0.18,0.45,-0.07,-0.73,-0.01,0.0,-0.04,0.0,-0.08,-0.73
1,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","A woman's body found in Georgia has been identified as a college student last seen on Valentine's Day, authorities said Wednesday.",1.0,183,34,9,10,2,34.0,5.382352941176471,0,11.11111111111111,0.0,0.0,11.76470588235294,30,0,0,0,0,0,1,0,0,30,0,0,1,73.0,13.0,3.0,1.0,0.0,13.0,0.14,0.0,-5.56,0.0,0.0,11.76,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,3.7,-0.92,1.38,-1.58,-0.04,4.78,0.25,-0.04,-0.31,0.0,-1.32,5.61,0.96,0.0,-0.03,-0.18,-0.05,-0.07,-0.23,-0.01,0.0,0.96,0.0,-0.08,-0.23
2,"On Friday morning, more than 200 Canadian and permanent residents received their official authorization to leave their two-week coronavirus quarantine at an army base in Ontario. They talk about the challenges of the experience and what they plan to do with t…","The death of 6-year-old Faye Swetlik, who vanished outside her home in South Carolina this week, is ""linked"" to a neighbor whose body was discovered shortly after hers was found, police say.",1.0,219,42,5,12,2,21.0,5.214285714285714,0,0.0,0.0,0.0,0.0,34,0,0,0,1,0,3,0,0,34,0,0,3,60.0,10.0,-3.0,1.0,0.0,-11.0,0.25,0.0,-37.5,0.0,0.0,-3.12,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.7,2.08,0.54,-1.24,-0.04,0.78,0.16,-0.04,-4.94,0.0,-1.32,2.61,2.63,0.0,-0.03,-0.18,0.12,-0.07,0.61,-0.01,0.0,2.63,0.0,-0.08,0.61
3,"Documents obtained by CBC News and Radio-Canada suggest tests will explore whether there's a connection between poor air quality at federal buildings in Gatineau, Que., and a bat infestation — including whether dead bats are responsible for elevated methane l…","It has been more than a month since the World Health Organization declared the novel coronavirus a public health emergency of international concern. Since the outbreak began, there have been more than 90,000 cases of the virus worldwide and more than 3,100 de…",1.0,221,40,7,16,2,20.5,5.525,0,14.285714285714285,0.0,0.0,5.0,34,0,0,0,0,0,0,0,0,34,0,0,0,3.0,-3.0,1.0,3.0,0.0,-1.0,0.46,0.0,-19.05,0.0,0.0,-4.3,7.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,23.7,3.08,0.63,-0.08,-0.04,-1.34,0.2,-0.04,-3.68,0.0,-1.32,2.36,3.46,0.0,-0.03,-0.18,-0.05,-0.07,0.27,-0.01,0.0,3.46,0.0,-0.08,0.27
4,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","First lady Melania Trump received a Palm Beach society award on Wednesday at a luncheon held at The Breakers, a local luxury resort.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,59.0,5.0,6.0,-5.0,0.0,5.0,1.25,0.0,12.5,0.0,-5.12,7.14,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,17.5,1.28,0.88,-0.98,-0.04,-1.12,0.33,-0.04,-3.28,0.0,-0.61,2.63,2.36,0.0,0.17,0.02,-0.15,-0.07,0.27,-0.01,0.0,2.36,0.0,-0.08,0.27
5,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","Multiple outbreaks of the novel coronavirus outside of mainland China have continued to worsen, as experts warn we may be approaching pandemic levels.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,41.0,5.0,2.0,1.0,0.0,5.0,0.47,0.0,-4.17,0.0,3.57,2.8,5.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,5.0,0.0,-1.0,1.0,13.37,0.08,1.04,-1.58,-0.04,-0.97,0.41,-0.04,-3.02,0.0,-0.13,2.82,1.63,0.0,0.31,0.16,-0.21,-0.07,0.27,-0.01,0.0,1.63,0.0,-0.08,0.27
6,"Central bankers are waking up to dramatically overhauled expectations about interest rates, as the coronavirus that started in China and is now creeping around the world rewrites their plans as quickly as the virus spreads.","The Border Patrol will be sending elite tactical teams into ""sanctuary cities"" like New York and Chicago to help with immigration arrests. One hundred agents are being deployed to work with Immigration and Customs Enforcement (ICE), including members of a uni…",1.0,189,35,6,10,2,35.0,5.4,0,33.33333333333333,0.0,0.0,5.714285714285714,29,0,0,0,0,0,1,0,0,29,0,0,1,-31.0,-6.0,-3.0,-6.0,0.0,14.5,0.03,0.0,11.11,0.0,-7.32,5.71,-6.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,13.27,0.23,0.88,-1.72,-0.04,0.14,0.38,-0.04,0.15,0.0,-0.3,2.75,1.53,0.0,0.26,0.11,-0.26,-0.07,0.27,-0.01,0.0,1.53,0.0,-0.08,0.27
7,"A growing number of Canadians want to repair household items instead of tossing them into the trash. The strategy not only saves consumers money, but addresses the issue of waste in our society.","American universities from California to New York have canceled classes as the novel coronavirus has affected more than 100,000 people and transformed into what CNN is calling a pandemic.",1.0,162,33,6,10,3,16.5,4.909090909090909,0,0.0,0.0,0.0,9.090909090909092,28,0,0,0,0,0,1,0,0,28,0,1,1,3.0,4.0,-1.0,0.0,1.0,-12.5,-0.57,0.0,-14.29,0.0,0.0,9.09,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,9.82,0.08,0.75,-1.83,0.08,-1.34,0.29,-0.04,-1.65,0.0,-0.43,3.12,1.33,0.0,0.22,0.07,-0.3,-0.07,0.27,-0.01,0.0,1.33,0.0,0.04,0.27
8,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","Decades before President Donald Trump ever attacked the media, Senator Barry Goldwater introduced a new idea to the presidential campaign trail: liberal media bias.",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,49.0,6.0,3.0,0.0,1.0,-9.0,0.46,0.0,40.0,0.0,6.67,-4.17,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.25,-0.36,0.54,-1.58,0.18,-2.66,0.38,-0.04,1.4,0.0,0.21,2.39,1.4,0.0,0.19,0.04,-0.21,-0.07,0.16,-0.01,0.0,1.4,0.0,0.03,0.16
9,Public Safety Minister Bill Blair says the RCMP in British Columbia have offered to leave Wet'suwet'en territory as talks continue to try and defuse the Indigenous-led rail blockades crippling the country's rail network.,"There are already clusters of infection in several areas of the country. Financial markets are in turmoil, global travel is grinding to a halt, and many people worry about the safety of travel, work, school and meetings. Covid-19 is likely to get a lot worse …",1.0,189,33,8,16,2,33.0,5.696969696969697,0,0.0,0.0,0.0,9.090909090909092,26,0,0,0,0,0,0,0,0,26,0,0,0,-26.0,-13.0,1.0,-1.0,-1.0,17.67,1.02,0.0,-57.14,0.0,-2.17,0.4,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,10.5,-0.42,0.68,-1.08,0.16,-1.92,0.39,-0.04,-0.16,0.0,0.06,2.72,1.06,0.0,0.17,0.02,-0.25,-0.07,0.07,-0.01,0.0,1.06,0.0,0.02,0.07
