,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Five takeaways from Joe Biden's super Super Tuesday CBC.ca Biden claims 9 Super Tuesday victories, Sanders takes 3, but leads in crucial California CBC.ca Super Tuesday: Biden seals comeback with string of victories BBC News Never mind the Biden bounce, Berni…","There are now more than 100 infections in the United States, with Washington and California the worst affected states. Follow the latest here.",1.0,220.0,41.0,5.0,25.0,3.0,14.333333333333334,5.365853658536586,0.0,0.0,0.0,4.878048780487805,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,100.0,18.0,3.0,19.0,0.0,2.83,0.15,0.0,-50.0,0.0,4.88,-8.7,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,48.11,7.61,-0.36,12.38,0.71,-10.33,0.2,-0.02,-16.74,0.0,3.33,-3.1,3.46,0.0,-0.02,-0.11,2.48,-0.09,-0.73,-0.01,-0.01,3.46,-0.03,-0.08,-0.73
1,"A rare 1776 Continental dollar that was bought at a French flea market for less than $1 is worth nearly $100,000.",Officials in Washington discuss the first death from coronavirus in the United States.,1.0,93.0,21.0,3.0,4.0,2.0,21.0,4.428571428571429,0.0,66.66666666666666,0.0,4.761904761904762,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,19.0,8.0,2.0,-2.0,0.0,8.0,-1.26,0.0,66.67,0.0,4.76,-7.69,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-15.39,-2.39,-1.36,1.88,0.21,-7.0,-0.27,-0.02,16.59,0.0,3.27,-3.1,-1.54,0.0,-0.02,-0.11,2.48,-0.09,-0.73,-0.01,-0.01,-1.54,-0.03,-0.08,-0.73
2,Could cyborg locusts be the bomb-sniffing dogs of the future?,"Since the Centers for Disease Control and Prevention on Tuesday warned that it's not a question of if, but when the novel coronavirus will spread in the United States, some places have already issued emergency declarations, and more could be coming from citie…",1.0,52.0,10.0,1.0,5.0,1.0,10.0,5.2,1.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-166.0,-33.0,-8.0,-9.0,0.0,-33.0,0.13,1.0,88.89,0.0,0.0,-4.65,-30.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,-50.22,-9.39,-2.36,-1.29,-0.29,-9.56,-0.17,0.31,38.82,0.0,1.66,-3.1,-7.54,0.0,-0.02,-0.11,1.48,-0.09,-0.73,-0.01,-0.01,-7.54,-0.03,-0.08,-0.73
3,"A new study is reporting that the world's tropical forests are losing their capacity to absorb carbon dioxide (C02), raising alarms about the prospect of accelerating increasing climate breakdown.","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,168.0,29.0,8.0,11.0,2.0,29.0,5.793103448275862,0.0,25.0,0.0,0.0,6.896551724137931,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-51.0,-13.0,3.0,-12.0,-1.0,15.0,0.58,0.0,5.0,0.0,0.0,4.52,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,-38.64,-8.14,-1.11,-1.37,-0.29,-6.08,0.03,0.23,31.18,0.0,0.86,-1.38,-5.79,0.0,-0.02,-0.11,0.98,-0.09,-0.48,-0.01,-0.01,-5.79,-0.03,-0.08,-0.48
4,Bears are mammals that belong to the family Ursidae.,"The daughter of former United States diplomat John Negroponte has been arrested and charged with murder, police said.",1.0,44.0,9.0,2.0,4.0,2.0,9.0,4.888888888888889,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-56.0,-9.0,-4.0,-3.0,0.0,-9.0,-0.67,0.0,33.33,0.0,0.0,-5.56,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-56.49,-11.39,-1.56,-2.82,-0.29,-8.0,-0.03,0.18,31.59,0.0,0.38,-1.72,-8.34,0.0,-0.02,-0.11,0.68,-0.09,-0.53,-0.01,-0.01,-8.34,-0.03,-0.08,-0.53
5,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","At least 27 people have died after heavy rains slammed Sao Paulo and Rio de Janeiro states, authorities said.",1.0,220.0,41.0,7.0,20.0,5.0,8.2,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,39.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,39.0,2.0,0.0,2.0,129.0,22.0,3.0,12.0,3.0,-10.8,0.58,0.0,0.0,0.0,0.0,-0.39,20.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,20.0,2.0,0.0,2.0,-39.06,-8.22,-1.03,-1.12,0.21,-9.41,0.01,0.15,23.54,0.0,0.05,-1.14,-5.04,0.0,0.15,0.22,0.81,0.08,-0.23,-0.01,-0.01,-5.04,0.3,-0.08,-0.23
6,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","Happy birthday, Toshi! An endangered rhino at a Miami, Florida, zoo turned 43 and is now the oldest male black rhino in the United States.",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-24.0,-9.0,-1.0,0.0,0.0,-4.5,1.07,0.0,-33.33,0.0,0.0,6.25,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0,0.0,0.0,0.0,-45.18,-9.53,-1.36,-1.48,0.14,-10.45,0.07,0.12,17.78,0.0,-0.18,-0.53,-5.97,0.0,0.12,0.18,0.77,0.05,-0.3,-0.01,-0.01,-5.97,0.26,-0.08,-0.3
7,"At least five Iranian-born Canadian citizens were denied entry to the United States after it says it suspended its wrongful detainment practices, leaving some to wonder if the refusals are part of a broader strategy targeting Iranian-born travellers.",The United States Supreme Court on Monday dealt a blow to Apple in a decade-long legal battle over whether the iPhone maker infringed on another company's patents.,1.0,213.0,38.0,8.0,10.0,2.0,38.0,5.605263157894737,0.0,25.0,0.0,2.631578947368421,5.263157894736842,30.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,30.0,0.0,0.0,3.0,76.0,11.0,6.0,-2.0,0.0,11.0,0.53,0.0,25.0,0.0,2.63,1.56,7.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,-34.39,-7.76,-0.86,-1.62,0.09,-7.47,0.12,0.1,16.59,0.0,-0.02,-0.19,-4.92,0.0,0.1,0.27,0.73,0.04,0.02,-0.01,-0.01,-4.92,0.22,-0.08,0.02
8,Critics say a lack of widespread testing for COVID-19 in the United States is the biggest failure in the Trump administration's handling of the outbreak. Quick and efficient tests are still not being done in large numbers across the country and many potential…,"On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,218.0,43.0,6.0,15.0,2.0,21.5,5.069767441860465,0.0,33.33333333333333,0.0,2.3255813953488373,6.976744186046512,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,71.0,16.0,3.0,4.0,0.0,-5.5,-0.37,0.0,33.33,0.0,2.33,6.98,6.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-25.45,-5.83,-0.69,-1.18,0.04,-7.0,0.09,0.09,16.59,0.0,0.07,0.26,-3.98,0.0,0.09,0.33,0.59,0.02,-0.06,-0.01,-0.01,-3.98,0.19,-0.08,-0.06
9,"U.S. President Donald Trump offered to pardon WikiLeaks founder Julian Assange if he said that Russia had nothing to do with WikiLeaks's publication of Democratic Party emails in 2016, a London court has been told.","A Mexican national has been arrested and charged with acting as a Russian agent within the United States, the Justice Department said Tuesday.",1.0,180.0,35.0,8.0,17.0,4.0,12.0,5.142857142857143,0.0,12.5,0.0,2.857142857142857,0.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,60.0,12.0,2.0,11.0,2.0,-11.0,-0.07,0.0,-4.17,0.0,2.86,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-22.09,-5.09,-0.36,-0.62,0.21,-7.56,0.08,0.08,14.51,0.0,0.19,-0.07,-3.04,0.0,0.08,0.29,0.58,0.01,-0.03,-0.01,-0.01,-3.04,0.17,-0.08,-0.03
