,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Critics say a lack of widespread testing for COVID-19 in the United States is the biggest failure in the Trump administration's handling of the outbreak. Quick and efficient tests are still not being done in large numbers across the country and many potential…,"Ivanka Trump on Wednesday commemorated the first anniversary of her signature policy, the Women's Global Development and Prosperity Initiative, with the unveiling of bipartisan legislation to support her efforts. However, the initiative drew criticism from ad…",1.0,218,43,6,15,2,21.5,5.069767441860465,0,33.33333333333333,0.0,2.3255813953488373,6.976744186046512,31,0,0,1,0,0,0,0,0,31,0,0,0,-7.0,7.0,3.0,-2.0,0.0,3.5,-1.18,0.0,33.33,0.0,-0.45,4.2,3.0,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,0.0,3.0,0.0,0.0,-4.0,36.68,8.84,1.16,2.03,0.03,-7.48,-0.26,0.0,17.07,0.0,-0.27,3.84,3.16,0.0,0.0,0.97,-0.68,-0.1,-0.77,-0.03,0.0,3.16,0.0,-0.1,-0.77
1,"Biden, Bloomberg 'both wrong' about Trump cutting CDC, NIH funding, AP fact check says Fox News Mike Bloomberg's Height Might Actually Hurt His Election Chances Against Trump, History Shows Newsweek Bloomberg targets Trump's 'reckless CDC cuts' in new coronav…","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,222,39,3,29,1,39.0,5.6923076923076925,0,0.0,0.0,0.0,2.564102564102564,37,0,0,0,0,0,0,0,0,37,0,0,0,19.0,-1.0,-1.0,12.0,-1.0,-1.0,0.62,0.0,0.0,0.0,0.0,2.56,4.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,38.68,6.84,-0.34,9.03,-0.47,1.27,0.06,0.0,0.41,0.0,-1.43,1.64,6.16,0.0,0.0,0.47,-0.68,-0.1,-0.77,-0.03,0.0,6.16,0.0,-0.1,-0.77
2,"""It can't be done overnight. It has to be done overtime. But with interest rates low, that gives us time,"" Phillip Swagel said Thursday.","President Donald Trump's speech at the Conservative Political Action Conference Saturday was short and sweet compared to his more than two-hour long address last year, which remains the longest speech of his presidency.",1.0,113,24,8,7,4,8.0,4.708333333333333,0,25.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,20,0,1,0,-74.0,-9.0,5.0,-5.0,2.0,-25.0,-0.96,0.0,-8.33,0.0,-3.03,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-7.0,0.0,1.0,-2.0,3.01,1.17,0.83,4.03,0.37,-6.15,-0.17,0.0,3.18,0.0,-1.82,0.05,1.49,0.0,0.0,0.3,-0.68,-0.1,-0.77,-0.03,0.0,1.49,0.0,0.24,-0.77
3,"The Knot's 2019 Real Weddings Study revealed the top 10 states where it's most expensive to throw a wedding. Here's how much it costs, on average, to marry in each.","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,135,30,6,6,3,15.0,4.5,0,0.0,0.0,3.3333333333333335,3.3333333333333335,28,0,0,1,2,0,1,0,0,28,0,0,1,-21.0,0.0,-1.0,-5.0,0.0,0.0,-0.7,0.0,-14.29,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-9.32,-0.16,0.91,1.28,0.53,-8.11,-0.33,0.0,-1.68,0.0,-1.18,0.09,1.16,0.0,0.0,0.47,-0.18,-0.1,-0.52,-0.03,0.0,1.16,0.0,0.15,-0.52
4,"The Knot's 2019 Real Weddings Study revealed the top 10 states where it's most affordable to throw a wedding. Here's how much it costs, on average, to marry in each.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,136,30,6,6,3,15.0,4.533333333333333,0,0.0,0.0,6.666666666666667,0.0,28,0,0,1,2,0,1,0,0,28,0,0,1,-85.0,-10.0,2.0,-11.0,0.0,1.67,-0.99,0.0,0.0,0.0,4.17,-7.5,-3.0,0.0,0.0,1.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,-16.52,-0.96,0.96,-0.37,0.63,-9.28,-0.43,0.0,-4.59,0.0,-0.13,-0.56,0.96,0.0,0.0,0.57,0.12,-0.1,-0.37,-0.03,0.0,0.96,0.0,0.1,-0.37
5,"Though President Donald Trump has repeatedly vowed to protect Social Security benefits, his budget includes big cuts to parts of the program. One proposal could make it more difficult for individuals to keep receiving disability benefits.","Vanessa Kerry writes that the story of Osmel Martinez Azcue, a man charged over $3,000 for taking responsible action and visiting a hospital to be screened for the novel coronavirus after he returned from China with flu-like symptoms, proves that if we are go…",1.0,203,36,8,14,3,18.0,5.638888888888889,0,0.0,0.0,8.333333333333332,2.7777777777777777,33,0,0,0,1,0,2,0,0,33,0,0,2,-14.0,-8.0,-1.0,1.0,2.0,-26.0,0.71,0.0,-22.22,0.0,6.06,0.51,-3.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-3.0,0.0,-1.0,1.0,-10.16,-0.49,1.33,-0.13,0.7,-9.57,-0.3,0.0,-6.54,0.0,0.85,-0.52,1.66,0.0,0.0,0.47,0.16,-0.1,-0.11,-0.03,0.0,1.66,0.0,0.07,-0.11
6,"Almost a third of Americans across all income levels are regularly running out of money before their next paycheck hits, according to a new survey from Salary Finance.","Retired Ambassador Marie ""Masha"" Yovanovitch -- a highly respected career diplomat who unwittingly became one of the central figures in the impeachment drama -- warned about the degradation of the State Department and took veiled jabs at the Trump administrat…",1.0,140,28,3,9,2,28.0,5.0,0,33.33333333333333,0.0,0.0,0.0,24,0,0,1,0,0,1,0,0,24,0,0,1,-81.0,-12.0,-2.0,-6.0,1.0,-12.0,-0.53,0.0,33.33,0.0,0.0,-5.0,-7.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,-14.61,-1.3,0.88,-0.68,0.6,-8.34,-0.31,0.0,-3.17,0.0,0.36,-0.9,0.88,0.0,0.0,0.54,0.04,-0.1,-0.06,-0.03,0.0,0.88,0.0,0.05,-0.06
7,"Tesla, Panasonic will reportedly end their joint solar cell production at Buffalo, New York factory",The Trump administration's efforts and ambitions to reduce the size of government could hamper agencies integral to responding to the coronavirus.,1.0,85,15,2,9,1,15.0,5.666666666666667,0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,1,0,0,15,0,0,1,-41.0,-6.0,-2.0,1.0,-1.0,-6.0,-0.33,0.0,0.0,0.0,-4.76,-4.76,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-24.82,-3.54,0.41,-1.09,0.41,-9.05,-0.22,0.0,-4.8,0.0,-0.01,-1.18,-0.84,0.0,0.0,0.47,-0.05,-0.1,-0.02,-0.03,0.0,-0.84,0.0,0.03,-0.02
8,"Child care costs have been growing twice as fast as overall inflation in the U.S since the 1990s. In response, several presidential candidates have rolled out proposals to address this burden on American families. Here's a look at where they stand.","President Donald Trump has repeatedly promised middle class Americans fresh tax cuts if he wins a second four-year term in office in November, a pledge that might clash with his efforts to reduce yawning federal deficits.",1.0,208,41,8,11,5,10.5,5.073170731707317,0,12.5,0.0,2.4390243902439024,2.4390243902439024,35,0,0,1,1,0,0,0,0,35,0,0,0,22.0,5.0,1.0,-2.0,3.0,-25.5,-0.09,0.0,12.5,0.0,-5.89,-0.34,3.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,-2.0,-19.1,-2.38,0.72,-1.19,0.7,-10.09,-0.23,0.0,-4.69,0.0,-0.03,-1.12,0.05,0.0,0.0,0.52,-0.01,-0.1,-0.11,-0.03,0.0,0.05,0.0,0.01,-0.11
9,"Marissa and Jacob Lyda recently bought their first home for $428,000 in Portland, Oregon. In May, they're expecting their first kid. Here's how the millennial couple budgets their $124,000 combined salary.","With a disappointing finish in today's New Hampshire primary a near-certainty, former Vice President Joe Biden is insisting that he will remain in the race -- pointing to the more diverse electorates in Nevada and, especially, South Carolina.",1.0,175,31,5,11,4,10.333333333333334,5.645161290322581,0,0.0,0.0,0.0,0.0,26,0,0,0,2,0,3,0,0,26,0,0,3,-30.0,-7.0,-1.0,-2.0,2.0,-27.67,0.25,0.0,-16.67,0.0,0.0,-2.63,-5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-5.0,0.0,0.0,2.0,-17.82,-2.46,0.66,-1.27,0.83,-10.95,-0.17,0.0,-5.84,0.0,-0.28,-1.32,-0.14,0.0,0.0,0.47,0.12,-0.1,0.13,-0.03,0.0,-0.14,0.0,0.0,0.13
