,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","A dean at Valdosta State University in Georgia was arrested over the weekend as part of a multi-agency child sex crime sting, according to a statement from the Georgia Bureau of Investigation (GBI).",1.0,130,28,5,12,2,28.0,4.642857142857143,0,20.0,0.0,0.0,3.571428571428571,25,0,0,0,0,0,0,0,0,25,0,0,0,-36.0,-5.0,2.0,-5.0,0.0,-5.0,-0.39,0.0,-13.33,0.0,0.0,-2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.15,-4.38,-0.55,-0.61,-0.08,0.63,-0.63,-0.02,6.07,0.0,-1.93,-0.3,-2.11,-0.09,-0.03,-0.15,-0.45,-0.02,-0.85,0.0,-0.01,-2.11,-0.02,-0.02,-0.85
1,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Days earlier, the priest had sent a letter to lawmakers who support Rhode Island's abortion law, saying they should be barred from receiving communion.",1.0,185,31,4,18,6,6.6,5.967741935483871,0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,1,0,0,31,0,0,1,57.0,7.0,-4.0,9.0,4.0,-17.4,0.63,0.0,-12.5,0.0,-4.17,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,-12.65,-2.88,-1.05,2.39,1.92,-10.07,0.03,-0.02,-3.93,0.0,-1.93,-2.08,0.89,-0.09,-0.03,-0.15,-0.45,-0.02,-0.35,0.0,-0.01,0.89,-0.02,-0.02,-0.35
2,"The Quebec-born Blatchford, who worked at the National Post, Globe and Mail and both the Toronto Sun and Star, was diagnosed with late-stage lung cancer in the fall of 2019.","A crime-fighting power couple of newlywed police officers were on a date when they stopped a masked gunman from robbing the restaurant. Surveillance video shows how it all went down. Watch ""Full Circle"" every weeknight at 5pm E.T.",1.0,144,30,3,11,2,30.0,4.8,0,33.33333333333333,0.0,3.3333333333333335,6.666666666666667,24,0,0,0,1,0,0,0,0,24,0,0,0,-49.0,-8.0,-3.0,-2.0,-3.0,20.25,-0.28,0.0,16.67,0.0,3.33,6.67,-12.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-12.0,0.0,0.0,-1.0,-17.15,-2.72,-1.55,1.06,1.25,-5.84,-0.13,-0.02,3.85,0.0,-0.82,-0.45,-0.44,-0.09,-0.03,-0.15,-0.12,-0.02,-0.52,0.0,-0.01,-0.44,-0.02,-0.02,-0.52
3,Durham Regional Police Human Trafficking Unit is the first in Canada to team up with a human trafficking survivor.,"It's been weeks since a newborn baby in Florida went missing. Officials are now offering an $8,000 reward to locate the infant boy.",1.0,96,19,2,9,2,19.0,5.052631578947368,0,50.0,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-13.0,-4.0,-5.0,2.0,-1.0,7.5,0.31,0.0,21.43,0.0,0.92,0.0,-4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-31.4,-5.38,-2.05,-0.11,0.92,-6.47,-0.16,-0.02,11.91,0.0,0.22,-1.31,-2.36,-0.09,-0.03,-0.15,-0.2,-0.02,-0.6,0.0,-0.01,-2.36,-0.02,-0.02,-0.6
4,The U.S. department of justice hit telecommunications giant Huawei with new charges Thursday of stealing trade secrets and breaking sanctions by doing business with North Korea.,"Eight Los Angeles County Sheriff's deputies are facing administrative action after they allegedly shared graphic photos of a helicopter crash that killed Kobe Bryant, his daughter and seven others, Los Angeles County Sheriff Alex Villanueva told CNN Monday.",1.0,152,26,4,13,4,9.0,5.846153846153846,0,0.0,0.0,0.0,7.6923076923076925,22,0,0,0,0,0,0,0,0,22,0,0,0,-68.0,-12.0,-1.0,-8.0,2.0,-29.0,0.06,0.0,-20.0,0.0,0.0,2.43,-10.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-28.75,-5.58,-1.95,-0.01,1.12,-8.85,-0.01,-0.02,6.74,0.0,-0.21,-0.28,-2.91,-0.09,-0.03,-0.15,-0.25,-0.02,-0.65,0.0,-0.01,-2.91,-0.02,-0.02,-0.65
5,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","An 11-year-old boy was repeatedly stabbed during a home invasion in an apparent random attack, according to the police department in Grand Rapids, Michigan.",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,57.0,6.0,2.0,3.0,1.0,-9.0,0.79,0.0,6.67,0.0,6.67,-4.17,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-20.65,-5.05,-1.71,0.06,1.09,-9.44,0.17,-0.02,9.96,0.0,0.61,-0.88,-1.94,-0.09,-0.03,-0.15,-0.12,-0.02,-0.68,0.0,-0.01,-1.94,-0.02,-0.02,-0.68
6,"Bahamians are grappling with new and disturbing allegations, which have come in waves over the past few weeks, involving Canadian fashion designer Peter Nygard and his former neighbour, Louis Bacon, who both once lived in an exclusive gated community on the w…","Attorneys for the man accused of killing 22 people at a Walmart store in El Paso, Texas, last year have pleaded not guilty to 90 federal charges on his behalf, a spokesman for the US Attorney's Office in Texas said.",1.0,219,42,7,13,1,42.0,5.214285714285714,0,14.285714285714285,0.0,0.0,4.761904761904762,36,0,0,1,0,0,1,0,0,36,0,0,1,43.0,2.0,2.0,-3.0,-1.0,2.0,0.81,0.0,14.29,0.0,0.0,-0.24,4.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-10.72,-2.96,-1.26,0.11,0.78,-6.0,0.14,-0.02,8.59,0.0,0.25,-0.63,-0.4,-0.09,-0.03,-0.01,-0.17,-0.02,-0.56,0.0,-0.01,-0.4,-0.02,-0.02,-0.56
7,"The U.S. government has begun outlining its extradition case against Julian Assange in a London court, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.",It could be a good thing: More sunlight year-round and no losing an hour of sleep. All the states need now is approval from Congress.,1.0,209,39,6,14,4,13.333333333333334,5.358974358974359,0,16.666666666666664,0.0,2.564102564102564,5.128205128205128,37,0,0,1,0,0,2,0,0,37,0,0,2,100.0,14.0,1.0,7.0,1.0,0.83,1.0,0.0,-23.33,0.0,-5.44,1.13,12.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,-4.53,-1.76,-1.05,0.27,0.92,-7.01,0.13,-0.02,7.86,0.0,0.29,-0.39,0.89,-0.09,-0.03,0.1,-0.2,-0.02,-0.35,0.0,-0.01,0.89,-0.02,-0.02,-0.35
8,"A 43-year-old German man shot and killed nine people at several locations in a Frankfurt suburb overnight in attacks that appear to have been motivated by far-right beliefs, officials said Thursday.","A woman's body found in Georgia has been identified as a college student last seen on Valentine's Day, authorities said Wednesday.",1.0,168,31,6,11,2,31.0,5.419354838709677,0,16.666666666666664,0.0,3.225806451612903,6.451612903225806,29,0,0,0,1,0,0,0,0,29,0,0,0,58.0,10.0,0.0,2.0,0.0,10.0,0.18,0.0,0.0,0.0,3.23,6.45,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-4.26,-1.72,-0.88,0.06,0.81,-5.83,0.13,-0.02,7.29,0.0,0.41,-0.06,1.0,-0.09,-0.03,0.07,-0.12,-0.02,-0.4,0.0,-0.01,1.0,-0.02,-0.02,-0.4
10,"Regina police say they were trying to ""stay on top of"" a 25-year-old Regina man now accused of three homicides within three months.","Sen. Lindsey Graham stated on CBS News on Sunday morning that Attorney General William Barr has set up a mechanism to receive purportedly damaging information coming from Ukraine, via Rudy Giuliani, about former Vice President (and current Democratic presiden…",1.0,109,23,5,7,2,23.0,4.739130434782608,0,20.0,0.0,4.3478260869565215,0.0,19,0,0,0,2,0,0,0,0,19,0,0,0,-113.0,-16.0,0.0,-12.0,0.0,3.5,-0.95,0.0,20.0,0.0,4.35,-2.56,-18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-4.88,-1.66,-0.82,0.03,0.65,-4.11,0.08,-0.02,5.25,0.0,0.61,-0.28,0.98,-0.09,-0.03,0.03,0.0,-0.02,-0.48,0.0,-0.01,0.98,-0.02,-0.02,-0.48
