,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Five takeaways from Joe Biden's super Super Tuesday CBC.ca Biden claims 9 Super Tuesday victories, Sanders takes 3, but leads in crucial California CBC.ca Super Tuesday: Biden seals comeback with string of victories BBC News Never mind the Biden bounce, Berni…","Two patients who tested positive for the novel coronavirus have died, the Florida Department of Health announced Friday night.",1.0,220.0,41.0,5.0,25.0,3.0,14.333333333333334,5.365853658536586,0.0,0.0,0.0,4.878048780487805,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,112.0,22.0,1.0,17.0,1.0,-4.67,-0.32,0.0,0.0,0.0,-0.39,-5.26,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,56.34,9.18,1.25,9.91,0.73,-9.53,0.21,-0.06,-9.63,0.0,4.02,-1.83,4.77,-2.24,-0.04,-0.05,2.45,-0.01,-0.5,0.0,-0.01,4.77,0.0,-0.03,-0.5
1,"A rare rainbow snake was spotted slithering through a Florida forest last week, marking the first time in 50 years the multi-colored serpent has been seen in the area, experts said.","A Florida man is in police custody after he attacked and severely injured his 10-year-old daughter and her teenage sister with a machete in South Florida on Friday morning, police said.",1.0,151.0,31.0,8.0,10.0,2.0,31.0,4.870967741935484,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-4.0,0.0,4.0,-3.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,3.0,0.0,0.0,-4.0,21.84,4.18,2.75,2.41,0.23,-1.2,-0.04,-0.06,2.87,0.0,1.58,-1.83,2.27,-2.24,-0.04,-0.05,1.45,-0.01,-0.5,0.0,-0.01,2.27,0.0,-0.03,-0.5
2,An extremely rare 1885 Trade Dollar is expected to sell for up to $2 million when it is auctioned next month.,"It's mating season for the Florida water snakes, according to the city of Lakeland.",1.0,89.0,21.0,5.0,3.0,2.0,21.0,4.238095238095238,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,19.0,7.0,2.0,-3.0,0.0,7.0,-0.76,0.0,40.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,-10.33,-0.82,2.25,-2.42,0.06,-1.76,-0.33,-0.06,12.04,0.0,0.77,-1.83,-1.56,-2.24,-0.04,-0.05,1.78,-0.01,-0.17,0.0,-0.01,-1.56,0.0,-0.03,-0.17
3,"A rare 1776 Continental dollar that was bought at a French flea market for less than $1 is worth nearly $100,000.","Police arrested a Brandon, Florida, man outside the White House on Saturday after he threatened to assassinate President Donald Trump.",1.0,93.0,21.0,3.0,4.0,2.0,21.0,4.428571428571429,0.0,66.66666666666666,0.0,4.761904761904762,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-22.0,1.0,0.0,-6.0,0.0,1.0,-1.32,0.0,66.67,0.0,4.76,-5.0,1.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-25.41,-3.32,1.5,-4.59,-0.02,-2.03,-0.43,-0.06,23.29,0.0,1.55,-1.83,-2.48,-2.24,-0.04,-0.05,1.95,-0.01,-0.25,0.0,-0.01,-2.48,0.0,-0.03,-0.25
4,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","The Daytona 500 was postponed until Monday because of rainy weather at the Florida track, NASCAR said Sunday.",1.0,220.0,41.0,7.0,20.0,5.0,8.2,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,39.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,39.0,2.0,0.0,2.0,128.0,23.0,4.0,12.0,3.0,-9.8,0.25,0.0,-33.33,0.0,0.0,4.88,21.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,21.0,2.0,0.0,2.0,-9.06,-0.82,1.85,-2.69,0.53,-4.76,-0.3,-0.06,16.7,0.0,1.07,-0.85,0.57,-2.24,0.16,0.35,1.85,0.19,0.1,0.0,-0.01,0.57,0.4,-0.03,0.1
5,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential frontrunner.","On February 14, 2018, a 19-year-old gunman walked into Marjory Stoneman Douglas High School in Parkland, Florida, and opened fire, killing 17 students and faculty members.",1.0,189.0,33.0,4.0,13.0,3.0,16.5,5.7272727272727275,0.0,0.0,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,43.0,7.0,1.0,0.0,1.0,-9.5,0.11,0.0,0.0,0.0,6.06,-3.85,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-3.33,-0.49,1.58,-2.59,0.56,-5.2,-0.16,-0.06,12.31,0.0,1.76,-1.02,0.6,-2.24,0.13,0.28,1.62,0.16,0.0,0.0,-0.01,0.6,0.33,-0.03,0.0
6,"WARNING: This story contains disturbing details. Ten women filed a civil class-action lawsuit Thursday accusing one of Canada’s wealthiest businessmen and clothing manufaturers, Peter Nygard, of raping them at his seaside mansion in the Bahamas, and operating…","Happy birthday, Toshi! An endangered rhino at a Miami, Florida, zoo turned 43 and is now the oldest male black rhino in the United States.",1.0,224.0,37.0,5.0,18.0,2.0,18.5,6.054054054054054,0.0,0.0,0.0,0.0,8.108108108108109,33.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,110.0,12.0,2.0,9.0,0.0,6.0,1.49,0.0,-33.33,0.0,0.0,8.11,12.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.0,12.0,0.0,0.0,2.0,5.77,0.32,1.54,-1.8,0.44,-5.22,-0.01,-0.06,9.18,0.0,1.38,0.03,1.48,-2.24,0.1,0.24,1.59,0.13,0.21,0.0,-0.01,1.48,0.29,-0.03,0.21
7,Florida police investigate after 'several' tongues preserved in jars found in crawl space: reports Fox News Jars of human tongues discovered under Florida man’s home WSAV-TV Jars of preserved human tongues found in Florida home New York Post UF: Gainesville h…,"When federal agents busted into Anthony Todt's Florida home to arrest him in a fraud case, they found the decomposing bodies of his wife and children.",1.0,220.0,41.0,6.0,26.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,95.0,15.0,2.0,16.0,-1.0,15.0,0.56,0.0,0.0,0.0,0.0,-3.85,-6.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,12.09,1.43,1.62,-0.21,0.23,-2.43,0.02,-0.06,6.83,0.0,1.1,-0.2,0.52,-2.24,0.09,0.2,1.32,0.12,0.12,0.0,-0.01,0.52,0.25,-0.03,0.12
8,"Florida ferry accident off exclusive island results in deaths of 2 socialites as Mercedes rolls into water Fox News 2 Women Killed After Their Car on Ferry Goes Overboard Inside Edition 2 women found dead in sunken car that plunged off ferry, police say Yahoo…","Three-year-old Madeline Mejia was back in her father's arms Monday night after she was abducted from their Florida home earlier in the day, authorities said.",1.0,216.0,45.0,4.0,24.0,1.0,45.0,4.8,0.0,0.0,0.0,0.0,4.444444444444445,38.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,83.0,20.0,0.0,14.0,-1.0,20.0,-0.52,0.0,-50.0,0.0,0.0,4.44,17.0,0.0,0.0,0.0,3.0,0.0,-4.0,0.0,0.0,17.0,0.0,0.0,-4.0,16.56,2.74,1.47,0.8,0.06,0.19,-0.02,-0.06,5.0,0.0,0.88,0.11,1.77,-2.24,0.07,0.17,1.45,0.1,0.06,0.0,-0.01,1.77,0.22,-0.03,0.06
9,A memorial was growing Monday at a stable in Strathcona County where Fort Saskatchewan equestrian Katharine Morel kept her horse.,"A US Customs and Border Protection employee allegedly shot and killed his wife and two sons in Florida before killing himself, according to the Orange County Sheriff's Office.",1.0,110.0,20.0,3.0,9.0,2.0,20.0,5.5,0.0,33.33333333333333,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,-38.0,-8.0,0.0,-3.0,0.0,-8.0,0.21,0.0,33.33,0.0,5.0,-7.14,-5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,9.54,1.28,1.25,0.11,0.03,-0.21,0.01,-0.06,6.87,0.0,1.21,-0.08,0.97,-2.24,0.06,0.15,1.25,0.09,0.2,0.0,-0.01,0.97,0.2,-0.03,0.2
