,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"In December 2017, Margarita Gracheva's husband brutally attacked her. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown writes.","Conservative radio personality and Medal of Freedom recipient Rush Limbaugh said 2020 presidential candidate Pete Buttigieg had little chance of winning the election because ""America's still not ready to elect a gay guy.""",1.0,166.0,29.0,4.0,10.0,3.0,14.5,5.724137931034483,0.0,0.0,0.0,0.0,6.896551724137931,26.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-23.0,-4.0,0.0,-5.0,1.0,-2.5,-0.0,0.0,0.0,0.0,-6.06,6.9,-5.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,5.91,-2.43,-0.44,-2.57,0.87,-9.06,0.61,-0.06,-9.73,0.0,-2.82,5.08,-0.56,-0.56,-0.07,0.78,1.59,-0.07,-0.69,-0.02,0.0,-0.56,-0.07,-0.15,-0.69
1,"In December 2017, Margarita Gracheva's husband took her to a wooded area near their home and chopped off both her hands in a jealous rage. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown wri…","Medal of Freedom winner Rush Limbaugh said Wednesday that Democrats are in a panic because one of their presidential front-runners -- former South Bend, Indiana, Mayor Pete Buttigieg -- is both gay and married to a man.",1.0,216.0,45.0,4.0,15.0,2.0,22.5,4.8,0.0,0.0,0.0,0.0,6.666666666666667,38.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,38.0,0.0,0.0,5.0,33.0,8.0,0.0,-2.0,0.0,-14.5,-0.15,0.0,-50.0,0.0,-2.7,3.96,7.0,0.0,-1.0,1.0,1.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,30.91,5.57,-0.44,-0.07,0.37,-5.06,0.15,-0.06,-9.73,0.0,-2.82,4.96,5.44,-0.56,-0.07,0.78,1.59,-0.07,1.81,-0.02,0.0,5.44,-0.07,-0.15,1.81
2,"Democratic presidential candidates traded jabs over money and message on Sunday, two days before New Hampshire voters pick their choice to take on U.S. Republican President Donald Trump in November.","The Washington Examiner parted ways with its managing editor, capping off a tumultuous two-week period for the DC publication.",1.0,169.0,30.0,3.0,16.0,4.0,10.333333333333334,5.633333333333334,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,61.0,11.0,1.0,8.0,2.0,-8.67,-0.05,0.0,0.0,0.0,0.0,-5.26,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,23.57,3.24,-0.78,1.09,0.87,-7.78,0.27,-0.06,-9.73,0.0,-2.82,2.7,4.11,-0.56,-0.07,0.44,1.26,-0.07,1.31,-0.02,0.0,4.11,-0.07,-0.15,1.31
3,"Police in Northern Ireland said on Wednesday they had charged a 52-year-old man with the murder of journalist Lyra McKee in Londonderry last year, a killing that sparked outrage in the British-run province.","On February 19, 1942, President Franklin Delano Roosevelt gave the Secretary of War the authority to evacuate to designated military areas anyone deemed a US security threat.",1.0,174.0,33.0,4.0,15.0,2.0,33.0,5.2727272727272725,0.0,0.0,0.0,0.0,9.090909090909092,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,6.0,0.0,2.0,0.0,6.0,-0.21,0.0,0.0,0.0,0.0,5.39,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.16,2.82,-0.69,1.43,0.62,-3.48,0.24,-0.06,-9.73,0.0,-2.82,3.84,2.94,-0.56,-0.07,0.28,0.84,-0.07,0.81,-0.02,0.0,2.94,-0.07,-0.15,0.81
4,"Paul McIntyre, 52, appeared in court Thursday in Northern Ireland in connection with the killing of Lyra McKee, a journalist shot dead during a riot involving Irish Republican Army dissidents last year.",The site of the first gay 'sit in'; a rich man's apartment turned police station turned cocktail room; a spot with a working dumbwaiter - these are a few of New York City's oldest bars that continue to thrive.,1.0,171.0,32.0,2.0,17.0,2.0,32.0,5.34375,0.0,0.0,0.0,0.0,9.375,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,-7.0,-4.0,4.0,0.0,-7.0,0.96,0.0,-16.67,0.0,-5.13,9.38,-4.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,19.11,2.37,-1.04,2.03,0.47,-1.1,0.24,-0.06,-9.73,0.0,-2.82,4.59,2.44,-0.56,-0.07,0.18,0.79,-0.07,0.51,-0.02,0.0,2.44,-0.07,-0.15,0.51
5,"A grand jury returned a six-count indictment accusing actor Jussie Smollett of lying to Chicago police when he reported a racist and homophobic attack last year, a special prosecutor announced Tuesday. Smollett faces six counts of disorderly conduct, special …","RompHim, we hardly knew ye.",1.0,221.0,40.0,6.0,17.0,2.0,20.0,5.525,0.0,0.0,0.0,2.5,12.5,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,198.0,35.0,5.0,15.0,0.0,15.0,0.93,0.0,0.0,0.0,2.5,12.5,26.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,26.0,0.0,-1.0,1.0,26.07,3.41,-0.61,2.43,0.37,-1.51,0.27,-0.06,-9.73,0.0,-2.4,5.6,2.78,-0.56,-0.07,0.11,0.76,-0.07,0.48,-0.02,0.0,2.78,-0.07,-0.15,0.48
6,"Performance technology company Hyperice announced it acquired NormaTec, makers of a popular leg recovery system used by professional athletes.","A Cook County, Illinois, grand jury has returned a six-count indictment against actor Jussie Smollett for making false reports, a special prosecutor said Tuesday.",1.0,124.0,19.0,3.0,10.0,2.0,19.0,6.526315789473684,0.0,0.0,0.0,10.526315789473683,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,-15.0,-5.0,-1.0,-1.0,0.0,-5.0,0.73,0.0,0.0,0.0,6.36,-4.17,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,17.19,1.15,-0.73,1.71,0.3,-1.94,0.43,-0.06,-9.73,0.0,-0.96,4.54,1.3,-0.56,-0.07,0.06,0.59,-0.07,0.46,-0.02,0.0,1.3,-0.07,-0.15,0.46
7,"Former South Bend, Ind., mayor Pete Buttigieg is ending his race for the Democratic presidential nomination.","An English farmer writing more than 200 years ago had more modern and liberal views on homosexuality than many governments do today, an entry in a newly discovered diary shows.",1.0,94.0,16.0,2.0,9.0,3.0,8.5,5.8125,0.0,50.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,-53.0,-14.0,-2.0,1.0,1.0,-21.5,0.91,0.0,50.0,0.0,-3.33,0.0,-11.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,6.78,-0.93,-0.94,1.05,0.37,-3.58,0.46,-0.06,-3.48,0.0,-1.19,3.75,-0.31,-0.56,-0.07,0.03,0.47,-0.07,0.44,-0.02,0.0,-0.31,-0.07,-0.15,0.44
8,"Pride House was not just an education centre, but also a safe and welcoming venue for gay and lesbian athletes, coaches, friends and families.","In a city where new bars and restaurants open all the time, the old, revered favorites take on a different meaning. Explore CNN Travel's picks for dimly lit nooks, shiny bartops and cavernous corners worth returning to again and again.",1.0,119.0,24.0,1.0,10.0,2.0,24.0,4.958333333333333,0.0,100.0,0.0,4.166666666666666,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-77.0,-16.0,-2.0,-3.0,-1.0,4.0,0.06,0.0,100.0,0.0,-0.83,0.0,-12.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,1.46,-1.65,-1.22,0.65,0.31,-3.14,0.39,-0.06,6.93,0.0,-0.91,3.13,-0.89,-0.56,-0.07,0.0,0.37,-0.07,0.31,-0.02,0.0,-0.89,-0.07,-0.15,0.31
9,"After spending Monday morning explaining his version of events from the night Toronto woman Tess Richey died, accused killer Kalen Schlatter must now face what's expected to be an entire day of questioning from the Crown.","The announcement Tuesday that Jussie Smollet has, again, been indicted by a Chicago grand jury is the latest twist in a headline-grabbing case that has taken numerous turns in the year since the actor said he was the victim of a racist and homophobic attack.",1.0,186.0,36.0,10.0,14.0,2.0,36.0,5.166666666666667,0.0,10.0,0.0,0.0,5.555555555555555,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,-28.0,-9.0,2.0,0.0,0.0,-9.0,0.41,0.0,-27.5,0.0,-2.22,-1.11,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,3.91,-1.03,-0.54,0.73,0.27,-1.58,0.36,-0.06,6.27,0.0,-1.1,3.19,-0.46,-0.56,-0.07,-0.02,0.29,-0.07,0.31,-0.02,0.0,-0.46,-0.07,-0.15,0.31
