,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"When U.S. President Donald Trump seemed to downplay traumatic brain injuries (TBI) sustained by American troops in an Iranian missile strike, University of Windsor assistant professor and former military spouse Kate Kemplin knew she needed to speak out.","Two US service members will killed on Sunday in Iraq by enemy forces, the Pentagon said in a statement Monday morning.",1.0,216.0,38.0,6.0,17.0,4.0,13.0,5.684210526315789,0.0,0.0,0.0,0.0,5.263157894736842,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,118.0,17.0,3.0,6.0,2.0,-8.0,1.02,0.0,0.0,0.0,0.0,-4.26,17.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,47.64,4.4,0.62,3.81,1.81,-12.93,0.64,0.0,-12.64,0.0,-1.72,1.62,8.19,-0.4,-0.04,-0.15,-0.83,-0.02,0.19,-0.02,0.0,8.19,0.0,-0.02,0.19
1,"The U.S. government began outlining its extradition case against Julian Assange in a London court on Monday, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,214.0,40.0,5.0,15.0,4.0,13.666666666666666,5.35,0.0,20.0,0.0,2.5,5.0,38.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,2.0,22.0,1.0,2.0,-4.0,2.0,-25.33,0.43,0.0,-13.33,0.0,2.5,2.44,6.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,46.64,5.4,0.12,2.81,1.81,-12.59,0.47,0.0,-2.64,0.0,-0.47,1.49,9.19,-0.4,-0.04,0.35,-0.83,-0.02,0.69,-0.02,0.0,9.19,0.0,-0.02,0.69
2,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","Iran will temporarily release 54,000 people from prisons as officials struggle to contain the rapid spread of the biggest coronavirus outbreak in the Middle East.",1.0,207.0,40.0,5.0,16.0,2.0,40.0,5.175,0.0,0.0,0.0,7.5,2.5,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,69.0,15.0,1.0,7.0,0.0,15.0,-0.34,0.0,0.0,0.0,3.5,-5.5,9.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,43.97,5.74,-0.05,2.81,1.14,-3.71,0.35,0.0,-5.97,0.0,1.61,0.61,7.19,-0.4,-0.04,0.18,-0.83,-0.02,0.52,-0.02,0.0,7.19,0.0,-0.02,0.52
3,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","The University of Pennsylvania-affiliated Penn Museum launched a program called the Global Guides, which works with Philadelphia organizations to hire refugees as docents.",1.0,207.0,40.0,5.0,16.0,2.0,40.0,5.175,0.0,0.0,0.0,7.5,2.5,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,58.0,17.0,1.0,5.0,0.0,17.0,-1.3,0.0,0.0,0.0,3.15,2.5,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,42.64,5.9,-0.13,2.81,0.81,0.74,0.3,0.0,-7.64,0.0,2.65,0.17,6.19,-0.4,-0.04,0.1,-0.83,-0.02,0.44,-0.02,0.0,6.19,0.0,-0.02,0.44
4,"The U.S. government has begun outlining its extradition case against Julian Assange in a London court, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.","Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,209.0,39.0,6.0,14.0,4.0,13.333333333333334,5.358974358974359,0.0,16.666666666666664,0.0,2.564102564102564,5.128205128205128,37.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,2.0,-8.0,-5.0,-3.0,1.0,2.0,-8.67,0.43,0.0,-16.67,0.0,0.29,2.86,3.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,42.24,5.8,0.02,2.41,1.01,-1.93,0.3,0.0,-5.3,0.0,2.29,0.43,6.79,-0.4,-0.04,0.25,-0.83,-0.02,0.59,-0.02,0.0,6.79,0.0,-0.02,0.59
5,"Canada’s top military commander issued a detailed set of ""pre-pandemic planning” orders on Wednesday for units both at home and overseas.",Take a look at 31 photos of the week from February 14 through February 20.,1.0,117.0,21.0,2.0,9.0,2.0,21.0,5.571428571428571,0.0,0.0,0.0,4.761904761904762,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,57.0,6.0,1.0,4.0,0.0,6.0,1.57,0.0,0.0,0.0,4.76,0.0,8.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,26.64,2.74,-0.55,1.31,0.81,-2.43,0.34,0.0,-6.53,0.0,2.41,-0.25,4.52,-0.4,-0.04,0.18,-0.83,-0.02,0.36,-0.02,0.0,4.52,0.0,-0.02,0.36
6,"The family of an Iranian graduate student at the University of Alberta who died when Iran shot down a commercial jet in January is now living in Edmonton, alleging they were forced to flee threats from Iranian authorities.","President Donald Trump formally announced Friday that he will nominate Kenneth Braithwaite, the current US ambassador to Norway, to be his next Navy Secretary.",1.0,185.0,38.0,8.0,11.0,2.0,38.0,4.868421052631579,0.0,25.0,0.0,0.0,7.894736842105263,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,49.0,14.0,4.0,0.0,0.0,14.0,-0.8,0.0,0.0,0.0,0.0,7.89,10.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,10.0,0.0,0.0,-2.0,25.21,2.98,-0.1,0.81,0.67,-0.36,0.26,0.0,-3.83,0.0,1.82,0.4,4.48,-0.4,-0.04,0.14,-0.83,-0.02,0.19,-0.02,0.0,4.48,0.0,-0.02,0.19
7,"More people have fled fighting in Syria over the past 10 weeks than at any other time in the nine-year-old conflict and the city of Idlib, where many are sheltering, could become a graveyard if hostilities continue, two UN agencies say.","Please, Mr. President, re-think this one. Richard Grenell, as close a friend and ally as he might be, is very much the wrong man at the wrong time as acting Director of National Intelligence. He is a catastrophe-in-waiting who will be in a position he is tota…",1.0,196.0,41.0,8.0,12.0,2.0,41.0,4.780487804878049,0.0,12.5,0.0,0.0,4.878048780487805,36.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,-18.0,-6.0,0.0,-2.0,-2.0,29.25,0.23,0.0,-37.5,0.0,0.0,0.62,4.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-2.0,25.51,3.53,0.24,0.56,0.56,1.57,0.2,0.0,-3.37,0.0,1.38,0.5,4.94,-0.4,-0.04,0.23,-0.58,-0.02,0.07,-0.02,0.0,4.94,0.0,-0.02,0.07
8,"The novel coronavirus has infected more than 80,000 people globally, causing around 2,700 deaths. The majority of the cases have been in China — but there is growing concern as case numbers rise in countries like South Korea, Iran and Italy.","Trump contradicts past denials, admits sending Giuliani to Ukraine CNN Rudy Giuliani rips Bidens and media: 'They are lying and lying and lying and the corrupt media just repeat it' Fox News Rudy Giuliani tears into Bidens and media: 'They are lying and lying…",1.0,201.0,41.0,8.0,16.0,3.0,20.5,4.902439024390244,0.0,25.0,0.0,2.4390243902439024,4.878048780487805,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,-16.0,-3.0,-2.0,-5.0,2.0,-23.5,-0.03,0.0,5.0,0.0,2.44,-6.49,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,26.3,3.96,0.51,0.81,0.59,0.79,0.16,0.0,-1.62,0.0,1.31,0.58,5.41,-0.4,-0.04,0.18,-0.39,-0.02,-0.03,-0.02,0.0,5.41,0.0,-0.02,-0.03
9,"Gunmen opened fire Friday at a ceremony in Afghanistan's capital attended by prominent political leaders, killing at least 29 people and wounding dozens more before the two attackers were slain by police, officials said.","The death toll from the novel coronavirus has passed 3,000 worldwide, as outbreaks in Italy and Iran continue to worsen and dozens of countries reported their first cases of the highly infectious illness.",1.0,187.0,34.0,7.0,12.0,2.0,34.0,5.5,0.0,14.285714285714285,0.0,2.941176470588235,2.941176470588235,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,15.0,1.0,2.0,1.0,0.0,1.0,0.29,0.0,14.29,0.0,2.94,-9.18,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,-1.0,25.54,3.6,0.62,0.61,0.51,1.52,0.19,0.0,-1.29,0.0,1.3,0.45,5.09,-0.4,-0.04,0.15,-0.23,-0.02,-0.11,-0.02,0.0,5.09,0.0,-0.02,-0.11
