,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The FCA Windsor assembly plant will eliminate its third shift on June 29, the company announced Thursday.","With various audio clips playing in the background, the video highlighted various achievements spanning across the star's long career.",1.0,89.0,17.0,3.0,8.0,2.0,17.0,5.235294117647059,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,-27.0,-2.0,0.0,2.0,0.0,-2.0,-0.87,0.0,0.0,0.0,-5.26,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,-72.85,-15.54,-2.87,-3.13,-0.38,-6.76,0.16,-0.08,-15.38,0.0,-3.65,-2.21,-10.33,0.0,-0.03,-0.21,0.13,0.0,-0.31,0.0,0.0,-10.33,0.0,0.0,-0.31
1,Finance Minister Bill Morneau was told weeks into the Liberals' second mandate that Canadians are most worried about affordability in areas where governments have a lot of power over prices — particularly child care.,"There are many ways to measure Maria Sharapova's success: Five grand slam titles, 36 career wins, a former No. 1 ranking in the world. But those impressive achievements don't match up with the success she accumulated in her bank account.",1.0,183.0,34.0,5.0,15.0,2.0,34.0,5.382352941176471,0.0,40.0,0.0,0.0,2.941176470588235,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-15.0,-6.0,0.0,0.0,-2.0,20.67,0.43,0.0,20.0,0.0,-15.0,2.94,-2.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-2.0,0.0,0.0,-3.0,-25.85,-7.04,-1.87,0.37,-0.38,1.74,0.24,-0.08,4.62,0.0,-3.65,-0.74,-1.83,0.0,-0.03,0.29,-0.37,0.0,-0.81,0.0,0.0,-1.83,0.0,0.0,-0.81
2,"As a seniors' residence in Washington state continues to be at the centre of one COVID-19 outbreak, long-term care homes in Canada are preparing should the coronavirus come to one of their facilities.","Girl Scout Cookie Weekend is here, which means the country's youngest entrepreneurs will peddle their cookies, and you're obligated to buy some. But there are 12 cookies and just one you. Feel stumped on which box to buy? Get to know the cookies a bit better …",1.0,168.0,33.0,5.0,13.0,2.0,33.0,5.090909090909091,0.0,40.0,0.0,0.0,3.0303030303030303,23.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,-46.0,-14.0,-6.0,-1.0,-1.0,21.25,0.54,-1.0,21.82,0.0,-2.13,0.9,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-15.18,-4.54,-1.54,0.87,-0.38,4.24,0.16,-0.08,11.29,0.0,-3.65,-0.22,-2.67,0.0,-0.03,0.13,0.13,0.0,-0.64,0.0,0.0,-2.67,0.0,0.0,-0.64
3,"Smartphones are becoming pocket-sized financial coaches, as mobile apps leverage artificial intelligence to push Americans to make smarter money decisions.","Like any institution, monarchies must adapt to remain relevant and in place.",1.0,136.0,20.0,4.0,7.0,2.0,20.0,6.8,0.0,25.0,0.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,71.0,8.0,1.0,4.0,0.0,8.0,1.38,0.0,25.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-17.85,-6.54,-1.62,-0.38,-0.38,2.24,0.56,-0.08,10.87,0.0,0.1,-0.72,-4.33,0.0,-0.03,0.04,-0.12,0.0,-0.81,0.0,0.0,-4.33,0.0,0.0,-0.81
4,Pope Francis on Friday accepted the resignation of a French cardinal who was convicted and then acquitted of covering up for a pedophile priest in a case that fuelled a reckoning over clergy sexual abuse in France.,"Jack Welch, who led General Electric through 20 years of its greatest financial success, has died, according to CNBC, which spoke with his wife, Suzy. He was 84.",1.0,178.0,37.0,6.0,10.0,2.0,37.0,4.8108108108108105,0.0,16.666666666666664,0.0,0.0,5.405405405405405,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,44.0,9.0,0.0,1.0,-1.0,23.0,0.03,0.0,0.0,0.0,-10.71,1.83,1.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,-11.05,-4.34,-1.27,-0.53,-0.38,4.44,0.39,-0.08,8.96,0.0,-0.65,0.07,-3.13,0.0,-0.03,-0.01,-0.27,0.0,-0.91,0.0,0.0,-3.13,0.0,0.0,-0.91
5,"It might be tempting to move your retirement savings to assets that won't go down when the market suffers big drops, as it has in recent days. But that might not make sense if you're still far away from retirement.","The Iowa Democratic Party may be waiting for a recanvass before certifying the results of this year's Iowa caucuses, but at least one Democrat in the state is stepping forward as a winner: former Democratic Gov. Tom Vilsack, who has claimed a $150,000 prize i…",1.0,175.0,40.0,11.0,8.0,3.0,20.0,4.375,0.0,9.090909090909092,0.0,5.0,2.5,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,-41.0,-5.0,3.0,-8.0,1.0,-2.5,-0.42,0.0,-15.91,0.0,0.56,2.5,-2.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,2.0,-7.01,-2.37,-0.21,-0.96,-0.22,3.08,0.21,-0.08,6.42,0.0,-0.31,0.1,-1.5,0.0,-0.03,-0.04,-0.37,0.0,-0.64,0.0,0.0,-1.5,0.0,0.0,-0.64
6,"As workers extend their careers before retirement, the traditional retirement age of 65 is becoming passe. Here's when workers in the U.S. and around the world are really calling it quits, if they do at all.",Joe Biden is moving closer to consolidating the support of moderate Democratic voters and donors after a resounding victory in South Carolina and Pete Buttigieg's departure from the party's presidential race.,1.0,172.0,36.0,8.0,9.0,5.0,9.25,4.777777777777778,0.0,25.0,0.0,0.0,2.7777777777777777,31.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,2.0,-6.0,5.0,5.0,-4.0,3.0,-21.75,-0.96,0.0,-8.33,0.0,-9.68,2.78,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,-4.56,-1.54,0.13,-1.13,0.19,0.57,0.14,-0.08,6.87,0.0,-0.79,0.17,-0.76,0.0,-0.03,-0.06,-0.3,0.0,-0.45,0.0,0.0,-0.76,0.0,0.0,-0.45
7,"While headlines focus on millennials' perceived inability to save for retirement, Americans of all ages are financially strapped: 45% of boomers have nothing saved for retirement and one-third of those between 67 and 72 have postponed leaving the workforce th…","Since Evelyn Yang told her story, nearly 40 additional people have alleged sexual misconduct by OB-GYN Robert Hadden, who avoided prison time in a 2016 plea deal.",1.0,221.0,40.0,10.0,13.0,1.0,40.0,5.525,0.0,10.0,0.0,0.0,2.5,31.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,85.0,13.0,6.0,1.0,-1.0,13.0,0.49,0.0,10.0,0.0,0.0,-4.91,4.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-2.0,3.4,-0.41,0.63,-0.75,-0.01,2.52,0.18,-0.08,5.34,0.0,-1.15,0.19,-0.21,0.0,-0.03,0.04,0.0,0.0,-0.56,0.0,0.0,-0.21,0.0,0.0,-0.56
8,"Women have made great strides in the workforce. Yet for many, their retirement savings may still be lacking.","Rep. Ralph Abraham, a Louisiana Republican, announced Wednesday that he will not seek reelection this year.",1.0,91.0,18.0,5.0,5.0,3.0,9.0,5.055555555555555,0.0,20.0,0.0,11.11111111111111,5.555555555555555,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,-1.0,2.0,2.0,-3.0,0.0,1.0,-0.69,0.0,20.0,0.0,11.11,5.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.85,-1.98,0.46,-1.35,0.06,0.6,0.16,-0.08,5.26,0.0,-0.19,0.54,-1.22,0.0,-0.03,0.02,-0.09,0.0,-0.53,0.0,0.0,-1.22,0.0,0.0,-0.53
9,"Fears around the global spread of the coronavirus caused a dramatic sell-off in U.S. stocks last week, potentially upending retirement plans for many Americans.","Kobe Bryant was a happy man in his basketball retirement. He rarely attended Lakers games, focusing instead on his wife and four daughters, his business endeavors, writing a book, making an award-winning short film and becoming a youth coach.",1.0,137.0,24.0,1.0,10.0,4.0,8.333333333333334,5.708333333333333,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-67.0,-15.0,-5.0,-4.0,1.0,-11.17,0.48,0.0,-16.67,0.0,-2.56,0.0,-9.0,0.0,1.0,1.0,-1.0,0.0,-3.0,0.0,0.0,-9.0,0.0,0.0,-3.0,-6.85,-2.64,-0.07,-1.33,0.22,-1.0,0.2,-0.08,3.2,0.0,-0.54,0.26,-1.63,0.0,0.07,0.09,-0.17,0.0,-0.61,0.0,0.0,-1.63,0.0,0.0,-0.61
