,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Research involving long-term care residents tests how cannabidiol might be used therapeutically to help seniors live more comfortable lives.,A manager of a marijuana shop in Washington used bear spray to fight off three armed robbers demanding money.,1.0,122.0,19.0,7.0,5.0,2.0,19.0,6.421052631578948,0.0,14.285714285714285,0.0,5.263157894736842,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,31.0,0.0,4.0,-2.0,0.0,0.0,1.63,0.0,14.29,0.0,5.26,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.81,-9.48,1.93,-6.19,-0.07,-5.32,1.27,0.0,-0.22,0.0,4.21,-2.26,-5.26,0.0,-0.04,-0.07,-0.52,0.0,-0.74,-0.07,0.0,-5.26,0.0,0.0,-0.74
1,"U.S. President Donald Trump has commuted what he called a ""ridiculous"" 14-year prison sentence for former Illinois governor Rod Blagojevich and pardoned former New York Police Department commissioner Bernie Kerik, among a long list of others.","Bernie Sanders left Las Vegas on Saturday morning in a light drizzle. By the time he arrived in San Antonio hours later, his path to the Democratic nomination seemed as big and clear as the Texas sky.",1.0,207.0,36.0,4.0,19.0,4.0,12.333333333333334,5.75,0.0,0.0,0.0,0.0,5.555555555555555,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,43.0,-1.0,1.0,4.0,1.0,-6.17,1.32,0.0,0.0,0.0,-2.7,5.56,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,16.69,-0.98,0.43,0.81,0.93,-8.65,0.93,0.0,-7.37,0.0,1.57,0.52,1.24,0.0,-0.04,-0.07,-0.52,0.0,-0.24,-0.07,0.0,1.24,0.0,0.0,-0.24
2,"Twists of historical fate have made South Carolina the first U.S. presidential primary where black voters play a make-or-break role. That's vital for Democrat Joe Biden, who needs a win and is campaigning hard on his relationship with former president Barack …","Michael Bloomberg is heard defending his controversial stop and frisk policing policy in stark terms in snippets of audio that were posted on Twitter Monday, with the former New York mayor describing the policy as a way to reduce violence by throwing minority…",1.0,219.0,42.0,7.0,16.0,4.0,10.75,5.214285714285714,0.0,14.285714285714285,0.0,2.380952380952381,2.380952380952381,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,3.0,-32.25,0.14,0.0,-10.71,0.0,2.38,-2.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.85,3.85,0.93,2.15,1.26,-10.29,0.64,0.0,-4.99,0.0,1.49,0.38,6.07,0.0,-0.04,-0.07,-0.52,0.0,-0.07,-0.07,0.0,6.07,0.0,0.0,-0.07
3,"A man suing the hosts of a party he attended before getting into a deadly impaired driving crash as a teenager testified during a civil trial in B.C. Supreme Court this week, telling the court how the rollover changed the course of his life.","Days after an Atlanta prosecutor said he would consider opening a formal investigation into James Brown's death, Brown's longtime attorney said he would have no objection if authorities wanted to examine the singer's remains.",1.0,198.0,44.0,7.0,14.0,4.0,15.0,4.5,0.0,0.0,0.0,0.0,6.8181818181818175,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,6.0,10.0,-2.0,1.0,2.0,-19.0,-1.15,0.0,0.0,0.0,0.0,0.94,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,38.69,6.77,1.18,2.31,1.43,-10.05,0.32,0.0,-7.37,0.0,0.85,1.43,6.99,0.0,-0.04,-0.07,-0.52,0.0,0.26,-0.07,0.0,6.99,0.0,0.0,0.26
4,"An 8-year-old from Grande Prairie, Alta., won a hockey raffle, but his parents won't let him keep the cannabis-filled prize. His grandfather says drugs and kids hockey are a bad mix.","Rep. Tulsi Gabbard is still running for president, despite low national polling numbers and winning only two pledged delegates in the nominating contests so far.",1.0,152.0,31.0,6.0,12.0,4.0,10.666666666666666,4.903225806451613,0.0,16.666666666666664,0.0,6.451612903225806,3.225806451612903,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,15.0,6.0,2.0,4.0,1.0,-1.83,-0.58,0.0,-8.33,0.0,2.45,3.23,2.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,31.79,5.92,1.13,2.01,1.53,-10.77,0.2,0.0,-5.46,0.0,1.76,1.34,6.14,0.0,-0.04,-0.07,-0.52,0.0,0.46,-0.07,0.0,6.14,0.0,0.0,0.46
5,"A crash after a house party on B.C.'s Salt Spring Island left one teen dead and another badly injured in 2012. Eight years later, a civil trial in the case could change how the law looks at the responsibilities hosts have for the safety of their guests — espe…","Michael Bloomberg unveiled a suite of proposals on Tuesday aimed at addressing racial disparities in the criminal justice system, reducing the prison population and investing in reintegration initiatives.",1.0,212.0,49.0,7.0,17.0,4.0,12.75,4.326530612244898,0.0,0.0,0.0,0.0,6.122448979591836,41.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,1.0,35.0,21.0,2.0,5.0,2.0,-15.25,-1.99,0.0,0.0,0.0,0.0,-1.02,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,37.19,8.35,1.26,2.65,1.59,-10.9,0.03,0.0,-6.97,0.0,1.29,1.76,7.91,0.0,-0.04,-0.07,-0.02,0.0,0.43,-0.07,0.0,7.91,0.0,0.0,0.43
6,"While investors may look at Tesla's wild ride as crazy trading in just one stock, some analysts say its bubbly behavior could be a warning.","More than one thousand members of the historic African-American sorority, Delta Sigma Theta, descended on Capitol Hill on Tuesday to promote 10 pieces of legislation they say are critical to the black community.",1.0,115.0,25.0,5.0,8.0,2.0,25.0,4.6,0.0,20.0,0.0,0.0,12.0,25.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,-64.0,-8.0,1.0,-3.0,0.0,-8.0,-0.82,0.0,-5.0,0.0,0.0,8.97,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27.19,6.66,1.07,1.81,1.35,-9.25,-0.05,0.0,-5.19,0.0,0.96,2.9,6.88,0.0,-0.04,0.07,0.05,0.0,0.4,-0.07,0.0,6.88,0.0,0.0,0.4
7,Around 500 employees of Canopy Growth will soon lose their jobs as the company announced plans Wednesday to close the doors at two of its facilities in the Lower Mainland.,"Andrew Yang plans to announce he is suspending his presidential campaign during a speech Tuesday night in New Hampshire, two sources tell CNN.",1.0,142.0,30.0,4.0,11.0,2.0,30.0,4.733333333333333,0.0,0.0,0.0,0.0,3.3333333333333335,25.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,22.0,7.0,-1.0,1.0,0.0,7.0,-0.48,0.0,-20.0,0.0,0.0,3.33,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.06,6.02,0.8,1.56,1.18,-7.38,-0.1,0.0,-6.36,0.0,0.71,2.67,6.12,0.0,-0.04,0.05,0.23,0.0,0.51,-0.07,0.0,6.12,0.0,0.0,0.51
8,Trees Cannabis Dispensary is the first company to be punished under B.C.'s Cannabis Control and Licensing Act,"Cleveland Browns player Gregory Robinson was arrested after US Border Patrol agents found 157 pounds or marijuana in a car, officials said.",1.0,93.0,17.0,3.0,9.0,3.0,6.333333333333333,5.470588235294118,0.0,66.66666666666666,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-25.0,-5.0,-1.0,-4.0,1.0,-15.67,0.11,0.0,41.67,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,14.41,4.07,0.48,1.15,1.15,-8.56,-0.05,0.0,0.15,0.0,0.51,2.12,4.41,0.0,-0.04,0.04,0.15,0.0,0.37,-0.07,0.0,4.41,0.0,0.0,0.37
9,"Two parents being sued over a high school birthday party held in their house told their side of the story in B.C. Supreme Court on Friday, saying they couldn't have known two teenaged guests would get into a deadly rollover crash on their way home.","A man was arrested in West Point, California, after authorities discovered 440 pounds of illegal marijuana inside a building, the Calaveras County Sheriff's Office said.",1.0,204.0,45.0,10.0,16.0,4.0,15.333333333333334,4.533333333333333,0.0,0.0,0.0,0.0,6.666666666666667,36.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,36.0,0.0,0.0,3.0,59.0,20.0,6.0,4.0,2.0,-9.67,-1.27,0.0,-25.0,0.0,0.0,2.67,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,3.0,18.59,5.32,0.93,1.51,1.23,-8.6,-0.11,0.0,-1.32,0.0,0.35,2.35,5.14,0.0,-0.04,0.03,0.28,0.0,0.56,-0.07,0.0,5.14,0.0,0.0,0.56
10,"The number of adjudicators has dropped to just two serving the Ottawa area and though new appointments are on the way, long delays and hearing cancellations continue.","A policeman has been charged with distributing about a pound of marijuana he confiscated while on duty in December, the Colorado Bureau of Investigation says.",1.0,140.0,27.0,6.0,8.0,2.0,27.0,5.185185185185185,0.0,16.666666666666664,0.0,0.0,3.7037037037037033,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,-0.17,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.19,4.7,0.93,1.09,1.11,-7.58,-0.1,0.0,-1.0,0.0,0.22,2.27,4.56,0.0,-0.04,0.02,0.3,0.0,0.44,-0.07,0.0,4.56,0.0,0.0,0.44
