,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,‘It hurts’: Student swimmer reacts to Ontario teacher strikes CBC.ca Entire Ontario public school system to be shut down Feb. 21 due to teachers strike Global News Ontario teachers announce provincewide strike CBC News Egan: Hello teach? Not following this le…,"The US economy added 273,000 jobs in February, the US Bureau of Labor Statistics said Friday.",1.0,220.0,41.0,7.0,25.0,3.0,10.5,5.365853658536586,1.0,14.285714285714285,0.0,0.0,7.317073170731707,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,142.0,25.0,5.0,16.0,1.0,-5.5,0.49,1.0,14.29,0.0,0.0,7.32,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,38.07,6.03,1.32,12.21,0.75,-14.27,0.13,0.97,0.82,0.0,-2.64,4.07,-0.51,-0.05,-0.03,-0.19,0.19,-0.02,-0.85,0.0,0.0,-0.51,-0.03,-0.03,-0.85
1,"A union representative called Bombardier's sale of its remaining shares in the A220 commercial jet program — formerly known as the C Series — ""the best-case scenario,"" while an aerospace expert said it's a ""sad' day for Quebec.",Los Angeles Angels superstar Mike Trout has joined the list of Major League Baseball players criticizing the league for how it handled the Houston Astros cheating scandal.,1.0,190.0,38.0,5.0,18.0,2.0,38.0,5.0,0.0,0.0,0.0,0.0,2.631578947368421,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,45.0,11.0,0.0,3.0,0.0,11.0,-0.37,0.0,0.0,0.0,0.0,-8.48,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,23.07,4.53,0.32,8.71,0.25,-0.52,-0.05,0.47,-6.33,0.0,-2.64,1.73,1.99,-0.05,-0.03,-0.19,-0.31,-0.02,-0.35,0.0,0.0,1.99,-0.03,-0.03,-0.35
2,"Quebec aerospace giant Bombardier is leaving the commercial aviation business, the company announced late Wednesday night after it sold its remaining stake in the A220 and A330 program — formerly known as the C Series — to Airbus.","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,193.0,38.0,6.0,18.0,2.0,38.0,5.078947368421052,0.0,16.666666666666664,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,-3.0,6.0,0.0,6.0,0.0,6.0,-1.05,0.0,0.0,0.0,-3.12,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,19.07,4.03,0.32,7.55,0.08,4.07,-0.09,0.3,-3.15,0.0,-2.64,0.07,2.16,-0.05,-0.03,-0.19,-0.47,-0.02,0.15,0.0,0.0,2.16,-0.03,-0.03,0.15
3,"The fallout from Teck's decision to pull the plug on the Frontier oilsands project in northern Alberta has significant political, economic and environmental ramifications. We take a look at who benefits from the decision and who could take a hit.","President Donald Trump keeps telling us not to worry, that the fast-spreading COVID-19, the coronavirus, is ""going to go away,"" soon, probably by ""April,"" and that a vaccine is ""close."" The experts, including federally-employed top scientists, say he's wrong …",1.0,207.0,40.0,5.0,13.0,3.0,20.0,5.175,0.0,0.0,0.0,5.0,2.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-14.0,0.0,-5.0,3.0,1.0,-0.5,-0.35,0.0,-20.0,0.0,2.5,-2.5,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-1.0,0.0,20.57,4.28,0.07,5.71,0.25,1.86,-0.08,0.22,-5.73,0.0,-1.39,-0.13,0.49,-0.05,-0.03,-0.19,-0.56,-0.02,-0.1,0.0,0.0,0.49,-0.03,-0.03,-0.1
4,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,126.0,22.0,5.0,7.0,2.0,22.0,5.7272727272727275,0.0,20.0,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-77.0,-18.0,1.0,-10.0,0.0,-18.0,0.65,0.0,20.0,0.0,0.0,4.55,-11.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-11.0,0.0,0.0,-1.0,5.27,0.83,-0.08,3.41,0.15,0.93,0.04,0.17,-3.28,0.0,-1.64,0.16,-1.11,-0.05,-0.03,-0.19,-0.61,-0.02,-0.25,0.0,0.0,-1.11,-0.03,-0.03,-0.25
5,This week saw the end of a nine-day marathon round of public hearings that pitted dominant cell phone carriers against affordability advocates and smaller carriers. Here's what we learned from them.,"Harvey Weinstein's conviction is a landmark event, writes Kara Alaimo, but it's a beginning, not an ending. Alaimo says lawmakers need to do two things now to start to make real change: prioritize laws governing the use of non-disclosure agreements and work h…",1.0,168.0,31.0,4.0,11.0,3.0,15.5,5.419354838709677,0.0,0.0,0.0,3.225806451612903,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,-50.0,-12.0,-7.0,-5.0,1.0,-6.0,0.35,0.0,-9.09,0.0,0.9,0.0,-9.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-9.0,0.0,1.0,0.0,2.07,0.03,-0.34,2.55,0.25,-0.77,0.06,0.14,-4.98,0.0,-1.27,-0.41,-1.01,-0.05,-0.03,-0.19,-0.64,0.15,-0.35,0.0,0.0,-1.01,-0.03,0.14,-0.35
6,A jury of seven men and five women began deliberations in New York Tuesday in the Harvey Weinstein rape and sexual assault trial. Get caught up on the trial.,"The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,129.0,29.0,3.0,13.0,3.0,14.5,4.448275862068965,0.0,0.0,0.0,0.0,6.896551724137931,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-88.0,-15.0,-3.0,-1.0,1.0,-7.5,-0.48,0.0,-33.33,0.0,-6.82,2.35,-13.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,-13.0,0.0,0.0,-1.0,-5.79,-0.83,-0.68,2.21,0.32,-2.12,-0.06,0.11,-6.19,0.0,-1.47,0.17,-2.08,-0.05,-0.03,-0.19,-0.38,0.12,-0.42,0.0,0.0,-2.08,-0.03,0.11,-0.42
7,"Wet'suwet'en hereditary chiefs in B.C. oppose the Coastal GasLink pipeline project running through their traditional territory. But Andrew Scheer says ""the vast majority of the Wet'suwet'en people"" support the project. What did the Conservative leader mean by…","At an appearance at Duke University to promote his forthcoming book on Monday, former Trump administration national security adviser John Bolton was asked whether he believes the July 25, 2019, phone call between President Donald Trump and Ukrainian President…",1.0,224.0,37.0,4.0,18.0,5.0,7.6,6.054054054054054,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,2.0,-2.0,-1.0,0.0,4.0,-31.4,0.36,0.0,-20.0,0.0,2.7,2.7,-6.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-6.0,0.0,0.0,-1.0,0.2,-0.47,-0.8,2.59,0.62,-4.0,0.05,0.09,-7.1,0.0,-1.28,0.08,-1.63,-0.05,-0.03,-0.19,-0.43,0.1,-0.35,0.0,0.0,-1.63,-0.03,0.09,-0.35
8,"The coronavirus’s epicentre may be a thousand kilometres south in the province of Hubei, but the nervousness has spread to China's capital, Beijing, and engulfed the whole country, writes Saša Petricic.","As airlines upgrade their fleets with more environmentally compliant planes, the need for efficent aircraft disposal methods is more pressing than ever. We take a look at one company that's stepped in to fill the void.",1.0,172.0,31.0,6.0,14.0,2.0,31.0,5.548387096774194,0.0,16.666666666666664,0.0,0.0,3.225806451612903,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-11.0,-5.0,-1.0,3.0,-1.0,13.0,0.47,0.0,2.38,0.0,-2.78,3.23,-4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,-0.93,-0.86,-0.68,2.43,0.53,-2.87,0.08,0.08,-5.96,0.0,-1.43,0.07,-1.62,-0.05,-0.03,-0.19,-0.36,0.09,-0.4,0.0,0.0,-1.62,-0.03,0.08,-0.4
9,"Making MAID legally accessible for a wider range of patients could have the unintended consequence of diminishing the number of health care professionals willing to provide it, ultimately worsening access.","Would you have to pay for a coronavirus test? It depends. CNN Bernie Sanders' Medicare for All Would Likely Increase Wages, Create Jobs Newsweek N.J. coronavirus update: Legislation would ensure Medicaid and insurance coverage NJ.com As coronavirus spreads, M…",1.0,176.0,30.0,6.0,10.0,2.0,30.0,5.866666666666666,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-46.0,-9.0,0.0,-15.0,-3.0,23.17,0.17,-1.0,0.0,0.0,6.67,3.33,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-1.43,-1.27,-0.58,1.91,0.45,-2.06,0.14,0.07,-6.71,0.0,-0.88,0.07,-1.91,-0.05,-0.03,-0.19,-0.41,0.08,-0.45,0.0,0.0,-1.91,-0.03,0.07,-0.45
