,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
0,"Video from KNBC shows LeBron James returning to Los Angeles after the Lakers played the Philadelphia 76ers. On January 25, James spoke with ESPN about the impact Kobe Bryant had on his career.",160,33,4,17,3,16.5,4.848484848484849,0,0.0,0.0,0.0,0.0,28,0,0
1,"Trump spiritual adviser and White House staff member Paula White is defending her recent prayer at her church in Florida that ""satanic pregnancies"" be miscarried.",138,25,4,12,2,25.0,5.52,0,0.0,0.0,4.0,0.0,21,0,0
2,CNN's Jake Tapper calls out deputy White House counsel Mike Purpura over his fourth point of defense for President Donald Trump.,108,21,1,13,2,21.0,5.142857142857143,0,0.0,0.0,0.0,0.0,21,0,0
3,"Sen. Bernie Sanders may win the Democratic Iowa caucuses a week from today. But he lost the coveted Des Moines Register endorsement to fellow liberal Sen. Elizabeth Warren over the weekend. And, in explaining why they opted for Warren over Sanders, the Regist…",218,43,7,17,5,8.6,5.069767441860465,0,0.0,0.0,4.651162790697675,2.3255813953488373,33,0,0
4,"Netflix's new docuseries ""Cheer,"" which follows Navarro College's cheerleading team and its bruising pursuit of yet another national championship, delves into the athletes' lives and how they're shaped by sexuality, class, race and gender. In doing so, the se…",222,39,5,17,2,19.5,5.6923076923076925,0,0.0,0.0,0.0,2.564102564102564,34,0,0
5,"An Iranian PhD student who'd planned to continue his studies at Michigan State University was detained by Customs and Border Protection at Detroit Metro Airport and is being sent back to Iran, his attorney told CNN Monday.",186,37,9,16,2,37.0,5.027027027027027,0,0.0,0.0,0.0,0.0,29,0,0
6,"On Monday, President Donald Trump's defense team failed at their most important job -- making a clear and compelling argument that there was no need to hear from former National Security Adviser John Bolton.",174,34,4,14,2,34.0,5.117647058823529,0,0.0,0.0,5.88235294117647,2.941176470588235,34,0,0
7,Former NBA star Caron Butler opens up about how Kobe Bryant impacted his life and what how he thinks Bryan would want his friends to deal with the loss.,124,29,6,11,2,29.0,4.275862068965517,0,0.0,0.0,0.0,3.4482758620689653,25,0,0
8,The Washington Post was criticized on Monday for placing one of its reporters on administrative leave after she generated controversy for a series of tweets posted in the wake of Kobe Bryant's death.,167,33,5,12,2,33.0,5.0606060606060606,0,0.0,0.0,0.0,9.090909090909092,26,0,0
9,Senate Minority Leader Chuck Schumer (D-NY) said the information coming out surrounding the articles of impeachment is reminiscent of the Watergate scandal.,135,22,4,11,2,22.0,6.136363636363637,0,0.0,0.0,0.0,4.545454545454546,17,0,0
10,CNN's Christiane Amanpour talks to President Trump's senior adviser and son-in-law Jared Kushner about the President's Middle East plan.,118,19,0,14,2,19.0,6.2105263157894735,0,0.0,0.0,0.0,0.0,19,0,0
11,"Ben Smith, the former political blogger who built BuzzFeed News into a digital powerhouse, announced Tuesday that he is leaving the website and joining The New York Times as the newspaper's media columnist.",174,33,5,14,2,33.0,5.2727272727272725,0,0.0,0.0,0.0,0.0,30,0,0
12,"Atari might be best known for 1970s video games and its money problems, but now the brand is opening its own chain of branded hotels. The first one, in Phoenix, Arizona, will start construction in early fall, and should be finished in about two years.",207,45,10,13,3,22.5,4.6,0,0.0,0.0,2.2222222222222223,4.444444444444445,36,0,0
13,Kobe Bryant's legacy extends beyond his time on the basketball court. He was also known to the business world as a brand-builder; an investor; and a coach to other athletes and company founders.,162,33,3,14,3,16.5,4.909090909090909,0,0.0,0.0,0.0,0.0,25,0,1
14,An explosive New York Times report detailing an unpublished draft manuscript by former national security adviser John Bolton has added new uncertainty to this week's crucial vote to determine whether the Senate should subpoena witnesses and documents in Presi…,222,39,6,17,1,39.0,5.6923076923076925,0,0.0,0.0,0.0,5.128205128205128,37,0,0
