,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Despite most scientists generally accepting that dinosaurs were cold-blooded creatures, a new study suggests they were in fact warm-blooded.","Welcome to CNN's fact check coverage of the tenth Democratic presidential debate from Charleston, South Carolina, ahead of the state's primary on Saturday.",1.0,122.0,19.0,4.0,5.0,2.0,19.0,6.421052631578948,0.0,50.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-11.0,-4.0,3.0,-6.0,0.0,-4.0,0.64,0.0,50.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-61.43,-16.46,-1.84,-8.26,-0.13,-8.11,1.22,-0.02,37.31,0.0,-2.03,-2.99,-12.55,-0.02,-0.06,1.85,-0.51,-0.14,-1.33,-0.01,0.0,-12.55,-0.08,-0.08,-1.33
1,"In 1989 astronaut Fred Gregory made history when he became the first African American to command a NASA mission, but he paid little attention to the headlines that he made.","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,143.0,30.0,5.0,9.0,2.0,30.0,4.766666666666667,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,-49.0,-9.0,2.0,-10.0,0.0,-9.0,-0.16,0.0,-33.33,0.0,0.0,-2.56,-9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-9.0,0.0,0.0,2.0,-50.93,-10.96,-1.34,-6.26,-0.13,-2.61,0.39,-0.02,12.31,0.0,-2.03,-2.99,-9.55,-0.02,-0.06,0.85,-0.01,-0.14,0.17,-0.01,0.0,-9.55,-0.08,-0.08,0.17
2,"On Friday, Woody Allen's publisher, Hachette Books Group, decided to cancel the planned release of his memoir Apropos of Nothing. The decision came after dozens employees staged a walkout in protest of the book's publication.","The sentencing recommendation of seven to nine years for Stone was a ridiculous overreach. Barr called it unfair and unjust. He was right and it was his duty to insert himself in the process, writes James Schultz",1.0,191.0,35.0,4.0,18.0,3.0,17.5,5.457142857142857,0.0,0.0,0.0,0.0,2.857142857142857,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,15.0,-2.0,-3.0,9.0,0.0,5.17,0.7,0.0,-42.86,0.0,-5.41,-5.25,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,-31.43,-7.46,-1.5,-2.59,0.2,-4.95,0.35,-0.02,3.97,0.0,-2.03,-2.03,-6.22,-0.02,-0.06,0.51,-0.18,-0.14,0.01,-0.01,0.0,-6.22,-0.08,-0.08,0.01
3,"A cruise ship that has been quarantined off the coast of California by public health officials over fears of a possible COVID-19 outbreak includes 235 Canadian passengers, Global Affairs Canada has confirmed.","I wasn't expecting much on Sunday when I dragged myself to Autumn de Wilde's new movie adaptation of Jane Austen's ""Emma."" Two hours of note-perfect scenes later, I emerged a convert. De Wilde's beautiful film showcases some of the best and most modern elemen…",1.0,177.0,32.0,6.0,12.0,2.0,32.0,5.53125,0.0,16.666666666666664,0.0,0.0,6.25,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-40.0,-12.0,1.0,-4.0,-1.0,17.0,0.6,0.0,16.67,0.0,-6.82,3.98,-8.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,0.0,-8.0,-3.0,0.0,0.0,-25.18,-6.46,-1.09,-2.26,0.12,-2.49,0.34,-0.02,3.97,0.0,-2.03,-0.71,-5.05,-0.02,-0.06,0.35,-0.01,-0.14,-0.33,-0.01,0.0,-5.05,-0.08,-0.08,-0.33
4,Everything you need to know about the races tonight — including where Super Tuesday came from in the first place.,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,94.0,20.0,5.0,5.0,2.0,20.0,4.7,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,-128.0,-19.0,-1.0,-10.0,1.0,-19.0,-0.99,0.0,0.0,0.0,0.0,-12.82,-14.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-14.0,0.0,0.0,-1.0,-38.03,-8.26,-1.04,-3.46,0.07,-3.41,0.17,-0.02,0.64,0.0,-2.03,-1.16,-6.35,-0.02,-0.06,0.25,-0.11,-0.14,-0.33,-0.01,0.0,-6.35,-0.08,-0.08,-0.33
5,"Two Canadians who were aboard a cruise ship that was refused entry to several countries before docking in Cambodia last week received an unusual greeting when they returned to Canada Sunday — border agents were waiting at their gate, requesting they put on ma…","Harvey Weinstein's conviction is a landmark event, writes Kara Alaimo, but it's a beginning, not an ending. Alaimo says lawmakers need to do two things now to start to make real change: prioritize laws governing the use of non-disclosure agreements and work h…",1.0,217.0,44.0,10.0,15.0,1.0,44.0,4.931818181818182,0.0,30.0,0.0,0.0,4.545454545454546,38.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,22.5,-0.14,0.0,20.91,0.0,-2.33,4.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-26.1,-5.46,-0.17,-2.59,-0.13,-0.03,0.1,-0.02,3.42,0.0,-2.03,-0.71,-3.88,-0.02,-0.06,0.18,-0.01,-0.14,-0.33,-0.01,0.0,-3.88,-0.08,-0.08,-0.33
6,"In December 2017, Margarita Gracheva's husband brutally attacked her. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown writes.","Sensitive to perceptions that Harvey Weinstein is faking an injury, his attorneys asked to have his doctor testify at his rape trial that he really did have back surgery and needs a walker to move around.",1.0,166.0,29.0,4.0,10.0,3.0,14.5,5.724137931034483,0.0,0.0,0.0,0.0,6.896551724137931,26.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-3.0,-7.0,-4.0,-2.0,1.0,-21.5,1.03,0.0,-12.5,0.0,0.0,1.34,0.0,0.0,0.0,1.0,2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-4.0,-24.86,-5.6,-0.41,-2.68,0.01,-1.83,0.16,-0.02,1.12,0.0,-2.03,-0.05,-3.84,-0.02,-0.06,0.28,0.2,-0.14,-0.47,-0.01,0.0,-3.84,-0.08,-0.08,-0.47
7,"In December 2017, Margarita Gracheva's husband took her to a wooded area near their home and chopped off both her hands in a jealous rage. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown wri…","A small New Hampshire town's only lawman was let go Tuesday night. Richard Lee, the now-former Chief of Police of Croydon, was asked to turn in his patrol car and his uniform. He did - and then headed for the snowy walk home in only boots, a hat, and his unde…",1.0,216.0,45.0,4.0,15.0,2.0,22.5,4.8,0.0,0.0,0.0,0.0,6.666666666666667,38.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,38.0,0.0,0.0,5.0,6.0,-6.0,-4.0,-5.0,-1.0,5.5,0.68,0.0,-25.0,0.0,0.0,6.67,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,-17.68,-3.71,-0.59,-2.13,-0.01,-2.17,0.09,-0.02,-0.61,0.0,-2.03,0.42,-2.3,-0.02,-0.06,0.35,0.36,-0.14,0.05,-0.01,0.0,-2.3,-0.08,-0.08,0.05
8,"The campaigns of three candidates who have withdrawn from the Democratic nomination for the U.S. presidency were important parts of the Dirtbag Left's strategy for electing Bernie Sanders. On Super Tuesday, the group's earlier excitement appears at best prema…","One of the things we have lost -- or forgotten -- during the presidency of Donald Trump is empathy. Understanding that we are all, at root, far more alike than we are dissimilar and that caring for one another -- at a basic human level -- is something that tr…",1.0,222.0,39.0,5.0,16.0,4.0,10.0,5.6923076923076925,0.0,20.0,0.0,7.6923076923076925,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,11.0,-11.0,-4.0,8.0,2.0,-15.0,1.47,0.0,-24.44,0.0,5.69,-2.0,1.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,-11.43,-2.9,-0.61,-1.59,0.2,-3.83,0.13,-0.02,0.27,0.0,-1.18,0.04,-1.88,-0.02,-0.06,0.29,0.38,-0.14,-0.1,-0.01,0.0,-1.88,-0.08,-0.08,-0.1
9,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.","Does money really buy happiness? It appears to, at least for a small group of German college students who participated in a study on the connection between happiness and altruism, the selfless concern for the well-being of others.",1.0,80.0,15.0,3.0,5.0,2.0,15.0,5.333333333333333,0.0,0.0,0.0,0.0,13.333333333333334,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-113.0,-23.0,0.0,-10.0,0.0,-4.0,0.25,-1.0,0.0,0.0,-7.89,10.7,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-20.63,-4.66,-0.84,-2.26,0.17,-4.66,0.13,-0.02,-1.03,0.0,-1.26,1.07,-3.15,-0.02,-0.06,0.25,0.29,-0.14,-0.23,-0.01,0.0,-3.15,-0.08,-0.08,-0.23
