,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"When U.S. President Donald Trump seemed to downplay traumatic brain injuries (TBI) sustained by American troops in an Iranian missile strike, University of Windsor assistant professor and former military spouse Kate Kemplin knew she needed to speak out.","Federal prosecutors charged a Pennsylvania resident with kidnapping after he allegedly lured a woman he led to believe was his girlfriend to the Nevada desert, killed her and moved into her house, authorities say.",1.0,216,38,6,17,4,13.0,5.684210526315789,0,0.0,0.0,0.0,5.263157894736842,36,0,0,0,0,0,1,0,0,36,0,0,1,36.0,4.0,-2.0,7.0,2.0,-21.0,0.39,0.0,-12.5,0.0,-2.94,-0.62,10.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,10.0,0.0,0.0,-6.0,52.0,6.25,0.55,5.3,2.0,-14.65,0.49,0.0,-8.15,0.0,-2.4,0.77,9.6,0.0,-0.1,-0.25,-0.5,-0.05,0.0,0.0,0.0,9.6,-0.1,0.0,0.0
1,"Greek and Turkish riot police deployed on their shared border fired tear gas on Wednesday as hundreds of migrants tried again to cross into Greece, amid an escalating war of words between Athens and Ankara about what was happening.","Senior Department of Health and Human Services officials failed to act on repeated warnings from staff about family separations at the US-Mexico border, and staff members were advised not to put controversial information in writing, according to a HHS inspect…",1.0,193,39,8,12,2,39.0,4.948717948717949,0,12.5,0.0,0.0,0.0,33,0,0,0,0,0,1,0,0,33,0,0,1,-28.0,-1.0,2.0,-6.0,1.0,-1.0,-0.58,0.0,-4.17,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40.5,6.75,1.55,2.8,1.0,-1.65,0.13,0.0,-1.9,0.0,-2.4,-1.86,8.1,0.0,-0.1,-0.25,-0.5,-0.05,0.0,0.0,0.0,8.1,-0.1,0.0,0.0
2,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,222,39,6,14,2,19.5,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31,0,0,0,0,0,1,0,0,31,0,0,1,0.0,0.0,0.0,-1.0,1.0,-19.5,0.0,0.0,16.67,0.0,2.56,-2.56,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,46.33,6.92,1.22,2.63,0.67,-3.82,0.25,0.0,1.57,0.0,-1.55,0.68,6.93,0.0,-0.1,-0.25,-0.5,-0.05,0.0,0.0,0.0,6.93,-0.1,0.0,0.0
3,"Prince Harry and Meghan are breaking free of the Royal Family as of March 31, the couple's office said Wednesday.","Britain's Prince Harry and Meghan, Duchess of Sussex have marked their final engagement as senior members of the royal family by attending the annual Commonwealth Service at Westminster Abbey.",1.0,94,20,3,9,2,20.0,4.7,0,33.33333333333333,0.0,5.0,5.0,16,0,0,0,1,0,0,0,0,16,0,0,0,-70.0,-9.0,0.0,-4.0,0.0,-9.0,-0.96,0.0,33.33,0.0,5.0,5.0,-9.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,17.25,2.25,0.3,1.3,0.5,-4.78,0.07,0.0,7.47,0.0,-0.51,0.63,2.6,0.0,-0.1,-0.25,-0.25,-0.05,-0.25,0.0,0.0,2.6,-0.1,0.0,-0.25
4,A northern B.C. woman with five children in care claims her First Nation is using her sons and daughters to make a point about placing Indigenous children with Indigenous families. She is challenging the provincial government and the First Nation in court.,"The mother of two missing children has been arrested by  police officers in Hawaii on a warrant issued by Madison County, Idaho, according to a statement from police.",1.0,215,42,6,14,5,10.75,5.119047619047619,0,33.33333333333333,0.0,0.0,2.380952380952381,22,0,0,0,1,0,4,0,0,22,0,0,4,77.0,14.0,0.0,3.0,3.0,-17.25,0.19,0.0,16.67,0.0,0.0,2.38,-3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-3.0,0.0,0.0,4.0,24.0,3.85,0.35,1.5,1.0,-7.2,0.04,0.0,11.01,0.0,-0.89,0.09,1.2,0.0,-0.1,-0.25,-0.1,-0.05,0.4,0.0,0.0,1.2,-0.1,0.0,0.4
5,"Among some Democrats, there are fears that the billionaire candidate Mike Bloomberg will merely patch up the U.S. economy, rather than bring real and essential change that could help the disenfranchised.","The Trump administration wants to slash billions of dollars in federal support from Medicaid, food stamps and other safety net programs for the poor, while largely sparing the Medicare program that benefits seniors.",1.0,173,31,6,9,4,10.666666666666666,5.580645161290323,0,16.666666666666664,0.0,0.0,3.225806451612903,26,0,0,1,0,0,0,0,0,26,0,0,0,-10.0,-2.0,3.0,-6.0,2.0,-22.33,0.04,0.0,16.67,0.0,-6.06,0.2,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,21.5,3.08,0.38,0.8,1.17,-8.83,0.1,0.0,10.6,0.0,-1.14,-0.14,0.93,0.0,-0.1,-0.08,-0.17,-0.05,0.17,0.0,0.0,0.93,-0.1,0.0,0.17
6,"Oil industry subsidies undermine our economy, add to the tax burden, and hinder innovation, writes Taylor Noakes.","The novel coronavirus has now killed more than 2,000 people, all but five of them in mainland China. It has infected more than 75,000 people, with over 1,000 cases outside mainland China.",1.0,97,17,3,9,2,17.0,5.705882352941177,0,0.0,0.0,5.88235294117647,17.647058823529413,17,0,0,0,0,0,0,0,0,17,0,1,0,-59.0,-15.0,-2.0,1.0,-1.0,1.0,0.83,0.0,0.0,0.0,5.88,11.4,-3.0,0.0,0.0,-1.0,-4.0,0.0,-1.0,0.0,0.0,-3.0,0.0,1.0,-1.0,8.86,0.54,-0.02,0.3,1.0,-9.09,0.16,0.0,7.92,0.0,-0.48,1.76,-0.54,0.0,-0.1,-0.11,-0.21,-0.05,0.0,0.0,0.0,-0.54,-0.1,0.14,0.0
7,"Thailand's constitutional court has ordered the popular opposition Future Forward Party dissolved, declaring that it violated election law by accepting a loan from its charismatic leader. The court also imposed a 10-year ban on the party's executive members h…","Rep. Matt Gaetz, a longtime defender of President Donald Trump, said the President should pardon longtime Trump confidant Roger Stone.",1.0,222,39,8,14,2,19.5,5.6923076923076925,0,0.0,0.0,5.128205128205128,2.564102564102564,33,0,0,0,0,0,2,0,0,33,0,0,2,107.0,19.0,5.0,2.0,-1.0,9.5,-0.06,0.0,0.0,0.0,-4.87,2.56,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,15.0,1.38,0.3,0.55,0.88,-8.97,0.2,0.0,5.91,0.0,-0.08,1.3,0.35,0.0,-0.1,-0.12,-0.25,-0.05,0.12,0.0,0.0,0.35,-0.1,0.12,0.12
8,"""You're not used to hearing these hard-bitten executives say, 'I'm personally, personally worried,'"" CNBC's Jim Cramer said.","The White House canceled a planned presidential visit to the Centers for Disease Control and Prevention in Atlanta on Friday, citing the interference a trip may cause amid a growing coronavirus outbreak.",1.0,108,17,6,4,2,17.0,6.352941176470588,0,0.0,0.0,0.0,5.88235294117647,17,0,0,0,0,0,0,0,0,17,0,0,0,-64.0,-15.0,0.0,-9.0,0.0,-15.0,0.98,0.0,0.0,0.0,0.0,-0.37,-10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,7.11,-0.42,0.33,-0.37,0.78,-9.16,0.31,0.0,4.35,0.0,-0.34,1.31,-0.73,0.0,-0.1,-0.14,-0.28,-0.05,0.0,0.0,0.0,-0.73,-0.1,0.11,0.0
9,"CBC's Angela Sterritt has been nominated in the best local reporter category for her 2019 series Unbroken, which focused on the fight to keep indigenous families together in the face of child apprehension.","Why a trouble-making pacifist and Congresswoman (the first, in fact) you've never heard of should be on the new $10 bill.",1.0,173,33,5,11,2,33.0,5.242424242424242,0,20.0,0.0,3.0303030303030303,3.0303030303030303,28,0,0,0,1,0,2,0,0,28,0,0,2,72.0,12.0,1.0,7.0,0.0,12.0,0.43,0.0,-5.0,0.0,3.03,3.03,7.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,7.3,-0.25,0.25,-0.4,0.7,-7.71,0.28,0.0,5.1,0.0,-0.24,1.03,-0.5,0.0,-0.1,-0.15,-0.2,-0.05,0.1,0.0,0.0,-0.5,-0.1,0.1,0.1
