,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,CN Rail and VIA Rail are shutting down huge sections of their railway systems as Indigenous blockades continue to cripple the country's transportation network.,The Transportation Security Administration has banned employee use of TikTok for the agency's social media engagement as the US questions whether the China-owned app poses a threat to national security.,1.0,136,24,4,12,2,24.0,5.666666666666667,0,25.0,0.0,0.0,4.166666666666666,22,0,0,0,0,0,1,0,0,22,0,0,1,-37.0,-6.0,1.0,-2.0,0.0,-6.0,-0.1,0.0,25.0,0.0,0.0,0.83,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-29.55,-7.23,-1.05,0.09,-0.34,0.14,0.37,-0.02,7.43,0.0,-2.26,0.0,-5.27,-0.02,-0.02,-0.18,-0.64,-0.02,0.59,0.0,0.0,-5.27,0.0,-0.05,0.59
1,"Bombardier Inc. has reached a preliminary deal to sell its transportation division to France-based Alstom SA for more than $7 billion US, the Wall Street Journal reported on Sunday.",It could be a good thing: More sunlight year-round and no losing an hour of sleep. All the states need now is approval from Congress.,1.0,153,29,4,12,3,14.5,5.275862068965517,0,0.0,0.0,0.0,0.0,27,0,0,0,2,0,1,0,0,27,0,0,1,44.0,4.0,-1.0,5.0,0.0,2.0,0.92,0.0,-40.0,0.0,-8.0,-4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,-21.05,-4.73,-1.05,0.09,0.16,-4.61,0.17,-0.02,-5.07,0.0,-2.26,-2.08,-2.77,-0.02,-0.02,-0.18,0.36,-0.02,0.59,0.0,0.0,-2.77,0.0,-0.05,0.59
2,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,126,22,5,7,2,22.0,5.7272727272727275,0,20.0,0.0,0.0,4.545454545454546,22,0,0,0,0,0,0,0,0,22,0,0,0,-21.0,-5.0,2.0,-4.0,0.0,-5.0,0.28,0.0,20.0,0.0,0.0,4.55,-3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-27.21,-6.23,-0.71,-1.58,-0.01,-3.69,0.26,-0.02,-2.57,0.0,-2.26,-1.26,-3.61,-0.02,-0.02,-0.18,0.03,-0.02,0.26,0.0,0.0,-3.61,0.0,-0.05,0.26
3,"A rail blockade in eastern Ontario is jamming up Canada's three biggest ports, prompting some shippers to take their business elsewhere as cargo piles up and paycheques for those working on the docks shrink.","Eight Los Angeles County Sheriff's deputies are facing administrative action after they allegedly shared graphic photos of a helicopter crash that killed Kobe Bryant, his daughter and seven others, Los Angeles County Sheriff Alex Villanueva told CNN Monday.",1.0,174,34,7,10,2,34.0,5.117647058823529,0,14.285714285714285,0.0,0.0,2.941176470588235,32,0,0,1,1,0,1,0,0,32,0,0,1,-46.0,-4.0,2.0,-11.0,0.0,-4.0,-0.67,0.0,-5.71,0.0,0.0,-2.32,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.3,-3.98,-0.05,-1.66,-0.09,-0.23,0.15,-0.02,-2.75,0.0,-2.26,-1.25,-1.52,-0.02,-0.02,0.07,0.11,-0.02,0.34,0.0,0.0,-1.52,0.0,-0.05,0.34
4,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"The amount of oil needed to run the global economy will decline sharply in the first quarter of this year as the coronavirus forces factories to close in China, snarls transportation and hits supply chains.",1.0,135,28,4,7,2,28.0,4.821428571428571,0,0.0,0.0,0.0,3.571428571428571,24,0,0,0,1,0,0,0,0,24,0,0,0,-37.0,-7.0,-1.0,-6.0,0.0,-7.0,-0.09,0.0,0.0,0.0,0.0,-2.14,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-20.75,-3.83,-0.25,-2.31,-0.14,0.64,0.02,-0.02,-5.71,0.0,-2.26,-1.12,-1.87,-0.02,-0.02,0.02,0.16,-0.02,0.19,0.0,0.0,-1.87,0.0,-0.05,0.19
5,Former prime minister Jean Chrétien dismissed the notion that Canada is suffering through a national unity crisis insisting that rail blockades and regional tensions over oil and gas pale by comparison to the challenges he faced while an elected official.,"Michael Hertz, whose design firm produced the New York City subway map, has died, his son Eugene Hertz confirmed to CNN. He was 87.",1.0,216,40,6,17,2,40.0,5.4,0,16.666666666666664,0.0,2.5,10.0,34,0,0,0,0,0,1,0,0,34,0,0,1,108.0,16.0,1.0,5.0,-1.0,28.0,0.9,0.0,-3.33,0.0,2.5,5.83,10.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-8.88,-1.73,-0.05,-1.08,-0.17,3.22,0.04,-0.02,-4.91,0.0,-1.85,0.04,-0.44,-0.02,-0.02,-0.02,0.03,-0.02,0.26,0.0,0.0,-0.44,0.0,-0.05,0.26
6,CBC's Marketplace rounds up the consumer and health news you need from the week.,"The head of the Port Authority of New York and New Jersey has tested positive for coronavirus, New York Gov. Andrew Cuomo said Monday.",1.0,67,14,2,6,2,14.0,4.785714285714286,0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,1,0,0,12,0,0,1,-44.0,-10.0,-1.0,-8.0,-1.0,2.0,0.16,0.0,0.0,0.0,-4.17,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-21.69,-3.94,-0.47,-1.77,-0.2,1.35,-0.04,-0.02,-6.72,0.0,-1.91,-0.56,-2.56,-0.02,-0.02,-0.04,-0.06,-0.02,0.31,0.0,0.0,-2.56,0.0,-0.05,0.31
7,"Canadians hoping to travel to Saudi Arabia for the umrah pilgrimage are scrambling to curb their losses after the kingdom suddenly suspended entry for religious pilgrims over mounting coronavirus concerns, leaving travellers grounded and out thousands of doll…","Italians who attempt to flee the lockdown in the country's north, set up to try and stop the spread of the novel coronavirus, may face three months' imprisonment, Italy's interior minister has said.",1.0,223,38,9,13,1,38.0,5.868421052631579,0,11.11111111111111,0.0,0.0,7.894736842105263,31,0,0,0,0,0,1,0,0,31,0,0,1,57.0,5.0,0.0,4.0,-1.0,5.0,0.84,0.0,11.11,0.0,0.0,1.83,4.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,-11.8,-2.6,0.08,-1.41,-0.34,2.95,0.04,-0.02,-6.69,0.0,-1.95,-0.02,-1.77,-0.02,-0.02,-0.06,-0.14,-0.02,0.34,0.0,0.0,-1.77,0.0,-0.05,0.34
8,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","Arthur Conan Doyle's 1912 saga ""The Lost World"" was inspired by reports from three little-known European colonies at the top of South America. Today the independent nations of Guyana and Suriname and the French territory of Guyane are finally stepping out fro…",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,-50.0,-14.0,3.0,-9.0,0.0,7.0,0.82,0.0,-27.5,0.0,1.19,4.76,-8.0,0.0,1.0,1.0,-2.0,0.0,1.0,0.0,0.0,-8.0,0.0,0.0,1.0,-10.1,-2.67,0.4,-1.69,-0.34,3.08,0.11,-0.02,-6.51,0.0,-1.59,0.31,-1.72,-0.02,0.09,0.04,-0.19,-0.02,0.37,0.0,0.0,-1.72,0.0,-0.05,0.37
9,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","In a city where new bars and restaurants open all the time, the old, revered favorites take on a different meaning. Explore CNN Travel's picks for dimly lit nooks, shiny bartops and cavernous corners worth returning to again and again.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,-27.0,-12.0,5.0,-5.0,-1.0,8.0,1.14,0.0,12.5,0.0,-1.43,7.14,-7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,-8.75,-2.73,0.65,-1.91,-0.34,3.19,0.18,-0.02,-6.36,0.0,-1.3,0.58,-1.67,-0.02,0.18,0.12,-0.24,-0.02,0.39,0.0,0.0,-1.67,0.0,-0.05,0.39
