,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.","""Nanny McPhee"" star and climate change activist Raphael Coleman has died at the age of 25.",1.0,118.0,26.0,7.0,6.0,2.0,26.0,4.538461538461538,0.0,14.285714285714285,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,43.0,10.0,5.0,-2.0,0.0,10.0,-0.15,0.0,14.29,0.0,0.0,-6.25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-50.27,-6.69,1.56,-6.03,-0.12,-0.04,-0.62,-0.01,2.7,0.0,-2.31,-3.0,-1.66,-0.01,-0.08,-0.14,0.57,-0.02,-0.8,-0.02,0.0,-1.66,-0.02,-0.06,-0.8
1,"A new study is reporting that the world's tropical forests are losing their capacity to absorb carbon dioxide (C02), raising alarms about the prospect of accelerating increasing climate breakdown.","Legendary conservationist, Jane Goodall, tells Becky Anderson radical change is needed to solve climate emergency.",1.0,168.0,29.0,8.0,11.0,2.0,29.0,5.793103448275862,0.0,25.0,0.0,0.0,6.896551724137931,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,68.0,14.0,4.0,3.0,0.0,14.0,-0.87,0.0,0.0,0.0,0.0,-6.44,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-25.27,-5.19,2.06,-3.53,-0.12,1.46,0.01,-0.01,8.05,0.0,-2.31,0.45,-1.16,-0.01,-0.08,-0.14,0.07,-0.02,-0.3,-0.02,0.0,-1.16,-0.02,-0.06,-0.3
2,"A bizarre-looking fish could be the key to helping solve the world's hunger issue, according to a new study.","Climate change could destroy almost all of Earth's coral reef habitats by 2100, according to new research.",1.0,90.0,19.0,5.0,6.0,2.0,19.0,4.7368421052631575,0.0,20.0,0.0,5.263157894736842,5.263157894736842,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,-0.56,0.0,20.0,0.0,5.26,-0.62,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-42.93,-8.02,1.22,-4.37,-0.12,-1.37,-0.13,-0.01,8.17,0.0,-0.55,1.05,-5.0,-0.01,-0.08,-0.14,-0.1,-0.02,-0.47,-0.02,0.0,-5.0,-0.02,-0.06,-0.47
3,Bears are mammals that belong to the family Ursidae.,Ski resorts across the alps are struggling to keep slopes open as climate change causes temperatures rise and snowfall becomes less predictable.,1.0,44.0,9.0,2.0,4.0,2.0,9.0,4.888888888888889,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-79.0,-13.0,-4.0,-4.0,0.0,-13.0,-0.7,0.0,33.33,0.0,0.0,-4.55,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-63.27,-11.94,0.06,-5.28,-0.12,-5.29,-0.17,-0.01,15.73,0.0,-0.99,0.04,-8.41,-0.01,-0.08,-0.14,-0.18,-0.02,-0.55,-0.02,0.0,-8.41,-0.02,-0.06,-0.55
4,"Prime Minister Justin Trudeau announced today that the federal government will extend the business tax deduction for zero-emission vehicles and equipment to cover mining operations, as he argued that the sector will have an important role to play in the fight…","An Interior Department official pushed misleading information about climate change into the agency's reports, according to The New York Times, at a time when the Trump administration has rolled back environmental protection regulations and repeatedly downplay…",1.0,220.0,41.0,8.0,17.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,2.4390243902439024,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-5.0,5.0,3.0,1.0,0.0,5.0,-0.88,0.0,0.0,0.0,-0.34,-2.78,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-40.27,-7.89,0.56,-3.23,-0.32,-1.24,-0.09,-0.01,10.27,0.0,-0.77,-0.57,-6.06,-0.01,-0.08,-0.14,-0.23,-0.02,-0.4,-0.02,0.0,-6.06,-0.02,-0.06,-0.4
5,"Deputy Prime Minister Chrystia Freeland insists a robust climate change plan can live alongside a thriving energy sector. But while the debate has become mired in blame-tossing, businesses are calling for less carping and more consensus.","The top judge on the Washington, DC, federal district court said Thursday that judges in the federal court will not be influenced by public criticism after tweets sent earlier this week by President Donald Trump over the sentencing recommendation for his form…",1.0,202.0,36.0,8.0,16.0,3.0,18.0,5.611111111111111,0.0,12.5,0.0,5.555555555555555,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-17.0,-6.0,3.0,0.0,2.0,-24.0,0.4,0.0,-7.5,0.0,0.79,-2.38,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-27.93,-6.02,0.89,-2.03,-0.12,-2.37,0.0,-0.01,8.71,0.0,-0.1,-0.98,-4.0,-0.01,-0.08,-0.14,-0.26,-0.02,-0.47,-0.02,0.0,-4.0,-0.02,-0.06,-0.47
6,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,126.0,22.0,5.0,7.0,2.0,22.0,5.7272727272727275,0.0,20.0,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-77.0,-18.0,1.0,-10.0,0.0,-18.0,0.65,0.0,20.0,0.0,0.0,4.55,-11.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-11.0,0.0,0.0,-1.0,-29.98,-6.69,0.7,-2.46,-0.12,-2.61,0.08,-0.01,8.67,0.0,-0.41,-0.62,-4.23,-0.01,-0.08,-0.14,-0.29,-0.02,-0.52,-0.02,0.0,-4.23,-0.02,-0.06,-0.52
7,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,-2.0,2.0,2.0,-3.0,0.0,1.0,-0.3,0.0,25.0,0.0,2.33,-2.44,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-20.02,-4.56,0.93,-2.16,-0.12,-2.85,0.06,-0.01,9.26,0.0,-0.36,-0.91,-2.54,-0.01,-0.08,-0.14,-0.31,-0.02,-0.43,-0.02,0.0,-2.54,-0.02,-0.06,-0.43
8,"The fallout from Teck's decision to pull the plug on the Frontier oilsands project in northern Alberta has significant political, economic and environmental ramifications. We take a look at who benefits from the decision and who could take a hit.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,207.0,40.0,5.0,13.0,3.0,20.0,5.175,0.0,0.0,0.0,5.0,2.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-8.0,-3.0,-1.0,-1.0,1.0,-1.5,0.17,-1.0,-33.33,0.0,5.0,-2.15,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-13.49,-3.24,0.78,-1.81,-0.01,-3.21,0.06,-0.01,6.94,0.0,-0.02,-0.87,-2.55,-0.01,-0.08,-0.14,-0.32,-0.02,-0.47,-0.02,0.0,-2.55,-0.02,-0.06,-0.47
9,"Plastics made from fossil fuels generate a lot of greenhouse gas emissions and waste. 'Bioplastics,' especially compostable plastics made from plants, have been touted as a greener alternative. But what are they really? And are they really more environmentall…","The Washington Examiner parted ways with its managing editor, capping off a tumultuous two-week period for the DC publication.",1.0,222.0,39.0,8.0,11.0,3.0,9.75,5.6923076923076925,1.0,37.5,0.0,0.0,5.128205128205128,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,114.0,20.0,6.0,3.0,1.0,-9.25,0.01,1.0,37.5,0.0,0.0,-0.13,10.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.0,0.0,0.0,-1.0,-6.77,-2.29,0.96,-1.73,0.08,-4.51,0.1,0.09,8.84,0.0,-0.25,-0.57,-2.16,-0.01,-0.08,-0.14,-0.33,-0.02,-0.5,-0.02,0.0,-2.16,-0.02,-0.06,-0.5
