,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The peace deal would call for negotiations between Afghans on both sides of the conflict to start next month, an eventual countrywide cease-fire and a commitment from the Taliban not to harbour terrorist groups like al-Qaeda, while setting a timetable for the…",This week is a test for peace in Afghanistan. The Taliban have an historic opportunity to show that they have the will and the ability to reduce violence. This would pave the way for negotiations among Afghans for a comprehensive peace agreement.,1.0,219.0,42.0,5.0,15.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,7.142857142857142,2.380952380952381,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,14.0,0.0,-3.0,2.0,-3.0,28.0,0.33,0.0,-12.5,0.0,0.0,2.38,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,52.26,9.28,-0.17,2.83,-0.96,13.43,0.2,-0.02,-8.5,0.0,5.56,0.11,8.11,0.0,-0.02,-0.04,-0.38,0.0,-0.91,-0.11,0.0,8.11,0.0,0.0,-0.91
1,U.S. President Donald Trump said Friday that he's dispatching the Secretary of State to sign an agreement with the Afghan Taliban aimed at beginning a draw down of thousands of U.S. troops and ending America's 18-year involvement in the war.,"For the fourth consecutive year, first lady Melania Trump on Wednesday attended the International Women of Courage Awards at the State Department.",1.0,202.0,40.0,7.0,16.0,6.0,8.4,5.05,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,77.0,18.0,6.0,5.0,4.0,-13.6,-0.63,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,43.76,8.28,0.83,3.33,1.54,-3.37,0.12,-0.02,-8.5,0.0,1.99,-1.09,7.11,0.0,-0.02,-0.04,-0.38,0.0,-0.91,-0.11,0.0,7.11,0.0,0.0,-0.91
2,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","The United States ranks lower than 38 other countries on measurements of children's survival, health, education and nutrition -- and every country in the world has levels of excess carbon emissions that will prevent younger generations from a healthy and sust…",1.0,207.0,40.0,5.0,16.0,2.0,40.0,5.175,0.0,0.0,0.0,7.5,2.5,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-13.0,-1.0,1.0,1.0,1.0,-1.0,-0.19,0.0,0.0,0.0,2.62,2.5,-5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,42.59,7.94,0.5,3.5,1.04,1.57,0.13,-0.02,-8.5,0.0,3.3,-0.65,6.44,0.0,-0.02,-0.04,-0.38,0.0,-0.58,-0.11,0.0,6.44,0.0,0.0,-0.58
3,"Greek and Turkish riot police deployed on their shared border fired tear gas on Wednesday as hundreds of migrants tried again to cross into Greece, amid an escalating war of words between Athens and Ankara about what was happening.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,193.0,39.0,8.0,12.0,2.0,39.0,4.948717948717949,0.0,12.5,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,-22.0,-4.0,2.0,-2.0,0.0,17.5,-0.05,-1.0,-20.83,0.0,0.0,-4.65,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,38.51,7.53,1.08,2.58,0.79,3.78,0.08,-0.02,-5.37,0.0,2.08,-1.06,6.61,0.0,-0.02,-0.04,-0.38,0.0,-0.41,-0.11,0.0,6.61,0.0,0.0,-0.41
4,"Turkey's invitation to migrants to make their way into Greece has been widely seen as a provocation aimed at the European Union. For refugees who made their way to the border, it was another cruelty.",A deal negotiated between the US and the Taliban to reduce violence begins in Afghanistan. CNN's Nic Robertson reports.,1.0,165.0,35.0,7.0,12.0,3.0,17.5,4.714285714285714,0.0,28.57142857142857,0.0,0.0,5.714285714285714,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,3.0,64.0,16.0,5.0,2.0,0.0,8.0,-0.6,0.0,28.57,0.0,0.0,5.71,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,3.0,30.46,6.48,1.23,2.03,0.84,0.81,0.0,-0.02,-0.29,0.0,1.35,-0.16,5.31,0.0,-0.02,-0.04,-0.38,0.0,0.09,-0.11,0.0,5.31,0.0,0.0,0.09
5,Prince Harry was at the place made famous by the Beatles to meet American rocker Jon Bon Jovi in one of his last events before stepping back from his official duties for the Royal Family.,"Two US soldiers killed in Afghanistan attack identified CNN 2 service members killed in shootout in Afghanistan ABC News 2 U.S. Service Members Killed, 6 Wounded In Afghanistan Attack NPR Jim Hanson: Get out of Afghanistan — a clear, specific declaration woul…",1.0,153.0,35.0,4.0,12.0,2.0,35.0,4.371428571428571,0.0,25.0,0.0,2.857142857142857,0.0,30.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,2.0,-66.0,-7.0,-1.0,-11.0,-1.0,20.67,-0.84,0.0,25.0,0.0,0.48,-7.14,-1.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,2.0,23.09,5.78,0.83,1.66,0.71,1.75,-0.1,-0.02,2.51,0.0,1.34,-0.51,5.11,0.0,-0.02,-0.04,-0.22,0.0,0.25,-0.11,0.0,5.11,0.0,0.0,0.25
6,"The U.S. government began outlining its extradition case against Julian Assange in a London court on Monday, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.","A seven-day reduction in violence in Afghanistan, negotiated by the US and the Taliban, is set to begin Friday night local time, the US State Department announced.",1.0,214.0,40.0,5.0,15.0,4.0,13.666666666666666,5.35,0.0,20.0,0.0,2.5,5.0,38.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,2.0,77.0,13.0,0.0,4.0,2.0,-13.33,0.28,0.0,0.0,0.0,2.5,5.0,18.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,26.54,5.99,0.69,1.83,0.9,-0.63,-0.04,-0.02,3.8,0.0,1.28,-0.05,6.11,0.0,-0.02,0.1,-0.24,0.0,0.37,-0.11,0.0,6.11,0.0,0.0,0.37
7,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","Twenty-seven people have been killed in an attack in Afghanistan at a ceremony attended by presidential candidate Abdullah Abdullah, he told CNN.",1.0,207.0,40.0,5.0,16.0,2.0,40.0,5.175,0.0,0.0,0.0,7.5,2.5,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,83.0,18.0,0.0,8.0,0.0,18.0,-0.46,0.0,-20.0,0.0,7.5,-6.59,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,28.26,6.15,0.58,2.08,0.79,0.88,-0.02,-0.02,2.26,0.0,1.86,-0.01,5.98,0.0,-0.02,0.08,-0.26,0.0,0.34,-0.11,0.0,5.98,0.0,0.0,0.34
8,"The U.S. government has begun outlining its extradition case against Julian Assange in a London court, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.","As the United States finalizes its plans to reduce violence in Afghanistan, an Afghan source close to the negotiations has said that US officials in Munich, Germany, reassured Afghan President Ashraf Ghani and his team that American won't abandon them.",1.0,209.0,39.0,6.0,14.0,4.0,13.333333333333334,5.358974358974359,0.0,16.666666666666664,0.0,2.564102564102564,5.128205128205128,37.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,2.0,-4.0,-1.0,-1.0,-4.0,2.0,-26.67,0.03,0.0,16.67,0.0,2.56,5.13,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.81,6.17,0.61,2.05,0.93,-0.91,0.02,-0.02,2.92,0.0,1.76,0.3,6.55,0.0,-0.02,0.18,-0.27,0.0,0.42,-0.11,0.0,6.55,0.0,0.0,0.42
9,"Two families in Guysborough County, N.S., became forever bound by tragedy in 2017 after an Afghanistan veteran with a complex mental illness — and a history of conflict in his marriage — fatally shot his wife, mother, daughter and himself.","A day after a historic agreement was signed between the US and the Taliban, CNN Senior Diplomatic Editor Nic Robertson sits down with Taliban spokesman Muhammad Suhail Shaheen to discuss the future of US-Afghanistan relations.",1.0,200.0,40.0,3.0,17.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,12.5,29.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,8.0,5.0,-1.0,0.0,2.0,-21.0,-0.49,0.0,-25.0,0.0,0.0,12.5,-3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,30.16,6.28,0.33,2.33,1.04,-2.28,0.02,-0.02,1.77,0.0,1.43,1.3,6.21,0.0,-0.02,0.16,-0.08,0.0,0.49,-0.11,0.0,6.21,0.0,0.0,0.49
