,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )",A conservative media personality Kaitlin Bennett didn't announce she was visiting Ohio University. But the students didn't need any warning -- hundreds of them showed up to protest her anyways.,1.0,90,16,2,9,2,8.0,5.625,0,0.0,0.0,0.0,6.25,16,0,0,0,1,0,0,0,0,16,0,0,0,-74.0,-14.0,-6.0,-1.0,-1.0,-7.0,0.16,0.0,-12.5,0.0,0.0,-3.75,-12.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,-12.0,0.0,0.0,-4.0,-81.22,-16.93,-3.83,-3.46,-0.17,-17.72,0.42,-0.02,-13.56,0.0,-1.48,2.86,-11.73,-0.15,-0.05,-0.1,0.39,0.0,-0.95,-0.02,0.0,-11.73,0.0,-0.02,-0.95
1,The top official with U.S. Customs and Border Protection has admitted border officers wrongly held and interrogated Iranian-born travellers — many of them Canadian and American citizens — at the Canada-U.S. border after military tensions with Iran escalated l…,A group of seven measures to restrict gun rights in Virginia was advanced by a state Senate committee on Monday.,1.0,222,39,6,14,5,8.2,5.6923076923076925,0,0.0,0.0,2.564102564102564,2.564102564102564,30,0,0,1,0,0,1,0,0,30,0,0,1,129.0,19.0,3.0,5.0,3.0,-11.8,1.04,0.0,-33.33,0.0,-2.44,-2.44,10.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,-15.22,-5.43,-1.83,-0.96,1.33,-17.62,0.45,-0.02,-13.56,0.0,-0.19,1.02,-4.73,-0.15,-0.05,0.4,-0.11,0.0,-0.45,-0.02,0.0,-4.73,0.0,-0.02,-0.45
2,"Premier François Legault says the presence of assault weapons is the reason why provincial police have not yet dismantled a rail barricade in the Mohawk territory of Kahnawake, south of Montreal. ""Not only is that untrue, it's dangerous, and it's irresponsibl…","The judge who decided Roger Stone's fate made an impassioned plea for the truth and the rule of law at his sentencing hearing Thursday, a direct rebuke of President Donald Trump amid the depending crisis over his interference in the Justice Department.",1.0,220,41,7,15,2,20.5,5.365853658536586,0,28.57142857142857,0.0,0.0,9.75609756097561,31,0,1,0,0,0,0,0,0,31,0,0,0,9.0,-1.0,3.0,-3.0,0.0,-21.5,0.34,0.0,28.57,0.0,-2.38,0.23,-3.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,6.11,-0.93,-0.83,0.2,0.83,-13.48,0.36,-0.02,-4.04,0.0,-0.62,2.8,-2.07,-0.15,0.28,0.24,-0.28,0.0,-0.62,-0.02,0.0,-2.07,0.0,-0.02,-0.62
3,"Mike Bloomberg could be pouring up to half a billion dollars of his own money into his bid to win the Democratic Party nomination, but the former mayor of New York City faces a critical test on Super Tuesday in his run for the U.S. presidency.","Michael Bloomberg is heard defending his controversial stop and frisk policing policy in stark terms in snippets of audio that were posted on Twitter Monday, with the former New York mayor describing the policy as a way to reduce violence by throwing minority…",1.0,198,46,5,18,4,15.666666666666666,4.304347826086956,0,20.0,0.0,2.1739130434782608,2.1739130434782608,34,0,0,0,1,0,3,0,0,34,0,0,3,-20.0,3.0,-3.0,0.0,3.0,-27.33,-0.77,0.0,-5.0,0.0,2.17,-2.48,-3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,11.28,2.57,-0.83,1.54,1.08,-12.62,0.04,-0.02,-1.42,0.0,-0.29,1.8,0.02,-0.15,0.2,0.15,-0.11,0.0,0.05,-0.02,0.0,0.02,0.0,-0.02,0.05
4,A video showing some tense moments of the RCMP injunction enforcement at a Wet'suwet'en checkpoint last Friday is circulating online.,"El Gobierno de Colombia exhortó a la comunidad internacional a tomar medidas para proteger al presidente de la Asamblea Nacional de Venezuela, Juan Guaidó, reconocido como presidente interino del país por más de 50 países, luego de que este sábado, mientras G…",1.0,114,20,3,9,2,20.0,5.7,0,33.33333333333333,0.0,0.0,5.0,20,0,0,1,0,0,0,0,0,20,0,0,0,-105.0,-22.0,1.0,-17.0,1.0,-22.0,0.49,0.0,33.33,0.0,0.0,5.0,-11.0,-6.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-2.42,-0.53,-1.23,0.54,0.83,-11.24,0.13,-0.02,2.82,0.0,-0.53,1.76,-1.53,-0.15,0.15,0.3,-0.21,0.0,-0.15,-0.02,0.0,-1.53,0.0,-0.02,-0.15
5,"Adam Booth, 35, got his full acquittal on Dec. 11, 2019 — three years and a month after he was sentenced to 12 years in prison minus time served for charges including robbery and aggravated assault.","Sen. Chuck Schumer did cross a line with a statement he delivered vociferously at a rally outside the Supreme Court (and he has apologized), but the rebuke from Chief Justice Roberts opened the gates to feigned outrage by Mitch McConnell, the President and hi…",1.0,163,36,6,14,3,18.0,4.527777777777778,0,16.666666666666664,0.0,0.0,5.555555555555555,32,0,0,0,5,0,2,0,0,32,0,0,2,-54.0,-8.0,-1.0,-4.0,1.0,-4.0,-0.4,0.0,16.67,0.0,0.0,-1.26,-3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.39,0.07,-1.0,0.7,0.83,-10.65,-0.0,-0.02,2.86,0.0,-0.69,1.83,-0.57,-0.15,0.12,0.24,0.56,0.0,0.05,-0.02,0.0,-0.57,0.0,-0.02,0.05
6,"Scientists have synthesized an alternative genetic system that, like DNA, can store and transmit information. It can guide NASA's search for alien life in planetary exploratory missions.","Parishioners at the Plantation, Florida, church had welcomed the young man like any other into their services, but soon grew concerned. The 24-year-old was easily agitated, and had made threatening comments to other churchgoers and online. Later they learned …",1.0,160,27,7,9,3,13.5,5.925925925925926,0,0.0,0.0,3.7037037037037033,0.0,25,0,0,0,0,0,0,0,0,25,0,0,0,-61.0,-13.0,-2.0,-2.0,0.0,0.17,0.4,0.0,-11.11,0.0,1.2,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-4.51,-0.78,-0.69,0.11,0.83,-10.88,0.1,-0.02,0.52,0.0,-0.27,1.08,-0.87,-0.15,0.09,0.19,0.39,0.0,-0.09,-0.02,0.0,-0.87,0.0,-0.02,-0.09
7,"Residents of Moria, a village on the Greek island of Lesvos — a holding station for refugees from the Middle East and Africa seeking asylum in the EU — are fearing their safety as living conditions deteriorate and crime escalates due to a backlog of cases and…",A group of seven measures to restrict gun rights in Virginia was advanced by a state Senate committee on Monday.,1.0,214,47,6,22,1,47.0,4.553191489361702,0,16.666666666666664,0.0,0.0,4.25531914893617,34,0,0,0,0,0,1,0,0,34,0,0,1,121.0,27.0,3.0,13.0,-1.0,27.0,-0.1,0.0,-16.67,0.0,-5.0,-0.74,14.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,1.41,1.07,-0.58,1.29,0.58,-6.86,0.01,-0.02,0.84,0.0,-0.42,1.06,0.02,-0.15,0.08,0.15,0.27,0.0,-0.08,-0.02,0.0,0.02,0.0,-0.02,-0.08
8,"Tiina Jauhiainen, a Finnish national and former fitness instructor, spoke to CBC News and Reuters about how she become embroiled in a saga involving a Dubai princess that took her to the Philippines, the Arabian Sea and a British courtroom.","Max Schachter didn't set out to become a political activist, but this week, he found himself on Capitol Hill and in the Oval Office, where he joined the administration in discussing new steps toward making US schools safer.",1.0,201,40,5,14,2,40.0,5.025,0,0.0,0.0,0.0,2.5,29,0,0,0,0,0,3,0,0,29,0,0,3,15.0,2.0,-2.0,1.0,0.0,2.0,0.13,0.0,0.0,0.0,0.0,2.5,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,4.56,1.74,-0.61,1.31,0.5,-4.51,-0.01,-0.02,-0.76,0.0,-0.54,0.84,0.16,-0.15,0.06,0.12,0.17,0.0,0.16,-0.02,0.0,0.16,0.0,-0.02,0.16
9,Vancouver police say they discovered multiple weapons including guns and drugs inside a tent at Oppenheimer Park when officers responded to 911 call about a domestic dispute.,"Former President Barack Obama is intentionally staying on the sidelines of the Democratic primary fight, though you may not know it from all of those campaign ads in which he is playing a starring role.",1.0,148,27,4,11,2,27.0,5.481481481481482,0,0.0,0.0,0.0,3.7037037037037033,25,0,0,0,1,0,0,0,0,25,0,0,0,-20.0,-8.0,-2.0,2.0,0.0,-8.0,0.68,0.0,-33.33,0.0,0.0,3.7,-4.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-4.0,0.0,0.0,-3.0,1.78,0.97,-0.73,1.04,0.43,-3.93,0.02,-0.02,-2.04,0.0,-0.63,0.79,-0.13,-0.15,0.05,0.1,0.19,0.0,0.05,-0.02,0.0,-0.13,0.0,-0.02,0.05
