,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","Perhaps no song among the many from ""West Side Story"" that have been fixed in generational memory for over 60 years better expresses American musical theater's energy and promise than ""Something's Coming."" It's what Tony, the ill-fated gang member and star-cr…",1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-153.0,-28.0,-3.0,-9.0,0.0,-8.0,-0.21,0.0,-25.0,0.0,-4.88,-2.44,-24.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,-101.35,-19.68,-4.73,-3.67,-0.29,-10.94,-0.05,-0.02,-19.62,0.0,-2.1,-2.25,-14.06,-0.06,0.0,-0.23,-0.45,-0.07,-0.79,-0.01,0.0,-14.06,-0.03,-0.07,-0.79
1,"Following the news that scientists discovered a fast radio burst from deep space that is ""repeating"" every 16 days, experts are increasing their efforts to look for alien life.","Emergency crews rescued a paraglider after he got tangled in electric lines while attempting to land in Olivehurst, California. The paraglider dangled for hours while fire officials coordinated with Pacific Gas and Electric to make sure all the energy was dra…",1.0,148.0,29.0,7.0,9.0,2.0,29.0,5.103448275862069,0.0,28.57142857142857,0.0,3.4482758620689653,0.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-72.0,-12.0,-3.0,-4.0,0.0,8.5,-0.26,0.0,18.57,0.0,3.45,-2.44,-6.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-60.85,-11.68,-1.73,-3.17,-0.29,-2.94,-0.08,-0.02,-5.34,0.0,-0.37,-2.25,-7.06,-0.06,0.0,-0.23,0.05,-0.07,-0.29,-0.01,0.0,-7.06,-0.03,-0.07,-0.29
2,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","President Donald Trump's top trade adviser, Peter Navarro, has been leading the charge inside the West Wing that Victoria Coates is the author of the book ""Anonymous,"" according to three people familiar with the situation.",1.0,126.0,22.0,5.0,7.0,2.0,22.0,5.7272727272727275,0.0,20.0,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-62.0,-13.0,0.0,-9.0,0.0,-13.0,0.36,0.0,-20.0,0.0,-5.71,4.55,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-54.68,-11.35,-1.4,-3.67,-0.29,-2.6,0.12,-0.02,-3.43,0.0,-0.95,-0.74,-6.39,-0.06,0.0,-0.23,-0.12,-0.07,-0.46,-0.01,0.0,-6.39,-0.03,-0.07,-0.46
3,Two Alberta cabinet ministers have joined a chorus of condemnation levelled at a Red Deer energy company over a sexually graphic image that surfaced this week on Facebook.,It could be a good thing: More sunlight year-round and no losing an hour of sleep. All the states need now is approval from Congress.,1.0,144.0,28.0,4.0,12.0,2.0,28.0,5.142857142857143,0.0,0.0,0.0,0.0,3.571428571428571,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,35.0,3.0,-1.0,5.0,-1.0,15.5,0.78,0.0,-40.0,0.0,-8.0,-0.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.1,-9.68,-1.48,-2.67,-0.29,-0.94,0.08,-0.02,-7.48,0.0,-1.23,-0.22,-5.31,-0.06,0.0,-0.23,0.05,-0.07,-0.54,-0.01,0.0,-5.31,-0.03,-0.07,-0.54
4,"Deputy Prime Minister Chrystia Freeland insists a robust climate change plan can live alongside a thriving energy sector. But while the debate has become mired in blame-tossing, businesses are calling for less carping and more consensus.","Republican Sen. John Cornyn Wednesday blasted the socialist vision of Democratic presidential candidate Bernie Sanders and said it's critical Republicans keep control of the Senate to be a ""firewall"" against the Vermont senator's policies in case he's elected.",1.0,202.0,36.0,8.0,16.0,3.0,18.0,5.611111111111111,0.0,12.5,0.0,5.555555555555555,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-21.0,-2.0,1.0,0.0,0.0,-1.0,-0.26,0.0,-1.79,0.0,5.56,-5.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.95,-7.08,-0.73,-1.27,-0.09,-1.94,0.14,-0.02,-7.41,0.0,-0.3,-0.63,-2.86,-0.06,0.0,-0.23,-0.05,-0.07,-0.59,-0.01,0.0,-2.86,-0.03,-0.07,-0.59
5,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"There is something curiously and unexpectedly satisfying about Alastair Philip Wiper's images of factories, laboratories and industrial facilities.",1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,88.0,25.0,6.0,4.0,0.0,3.5,-2.15,0.0,-25.0,0.0,-3.23,-5.56,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-17.52,-4.18,-0.23,-1.0,-0.12,-2.02,0.09,-0.02,-5.28,0.0,-0.21,-0.9,-0.73,-0.06,0.0,-0.23,-0.12,-0.07,-0.46,-0.01,0.0,-0.73,-0.03,-0.07,-0.46
6,"The fallout from Teck's decision to pull the plug on the Frontier oilsands project in northern Alberta has significant political, economic and environmental ramifications. We take a look at who benefits from the decision and who could take a hit.","Please, Mr. President, re-think this one. Richard Grenell, as close a friend and ally as he might be, is very much the wrong man at the wrong time as acting Director of National Intelligence. He is a catastrophe-in-waiting who will be in a position he is tota…",1.0,207.0,40.0,5.0,13.0,3.0,20.0,5.175,0.0,0.0,0.0,5.0,2.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-7.0,-7.0,-3.0,-1.0,-1.0,8.25,0.62,0.0,-50.0,0.0,5.0,-1.76,-7.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-7.0,0.0,0.0,-2.0,-9.49,-2.54,-0.3,-0.67,-0.0,-2.29,0.08,-0.02,-7.33,0.0,0.24,-0.73,-0.92,-0.06,0.0,-0.23,-0.16,-0.07,-0.5,-0.01,0.0,-0.92,-0.03,-0.07,-0.5
7,Much of it has to do with the rising America-first attitude and Make America Great Again (MAGA) slogan associated with President Donald Trump.,"Space weather has more implications than causing glitches in Earth's satellite-based communications -- it can also strand gray whales, according to a new study. Typically, space weather is created when solar storms occur on the sun and stream out toward Earth…",1.0,120.0,23.0,5.0,10.0,2.0,23.0,5.217391304347826,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-100.0,-18.0,-3.0,-5.0,0.0,2.5,-0.15,0.0,-12.5,0.0,0.0,-2.44,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-14.35,-3.43,-0.35,-0.8,-0.04,-2.12,0.07,-0.02,-8.86,0.0,-0.05,-0.92,-1.56,-0.06,0.0,-0.23,-0.2,-0.07,-0.41,-0.01,0.0,-1.56,-0.03,-0.07,-0.41
8,"The Saskatchewan government now says an estimated 1.6 million litres leaked on the highway west of Guernsey, more than what leaked after a similar train crash near the community two months ago.","Most investors only think about electric cars when they think about Tesla. But the company's solar power and storage battery business could be a major factor in the performance of Tesla shares, according to a new analyst note.",1.0,162.0,32.0,3.0,10.0,3.0,16.5,5.0625,0.0,0.0,0.0,0.0,3.125,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-27.0,-6.0,-2.0,-4.0,0.0,-2.5,0.09,0.0,-20.0,0.0,0.0,3.12,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-13.46,-3.12,-0.62,-0.89,0.04,-2.71,0.04,-0.02,-10.06,0.0,-0.28,-0.72,-1.28,-0.06,0.0,-0.23,0.11,-0.07,-0.46,-0.01,0.0,-1.28,-0.03,-0.07,-0.46
9,The federal government has agreed to negotiate a financial restructuring of the Muskrat Falls hydro project to make the project financially sustainable over the long term and potentially sparing Newfoundland and Labrador from a massive spike in electricity ra…,"Not long after Valentine's Day ends, a massive asteroid estimated to be between 1,443 feet and 3,248 feet long will pass by Earth around 6:05 a.m. ET on Saturday. Based on the size range, it could be anywhere between the size of a suspension bridge to taller …",1.0,222.0,39.0,4.0,13.0,1.0,39.0,5.6923076923076925,0.0,0.0,0.0,5.128205128205128,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,-9.0,-5.0,-2.0,-3.0,26.75,1.25,0.0,-22.22,0.0,5.13,0.0,-2.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-6.75,-2.18,-0.73,-0.67,-0.09,-0.94,0.09,-0.02,-11.02,0.0,0.05,-0.88,-1.06,-0.06,0.0,-0.23,0.05,-0.07,-0.49,-0.01,0.0,-1.06,-0.03,-0.07,-0.49
