,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"In the face of what may be the most serious threat to the American homeland during his presidency, President Trump has made a stunning and groundbreaking decision: he actually gave the vice president an important job, Jake Novak writes.","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,198.0,39.0,7.0,12.0,2.0,39.0,5.076923076923077,0.0,14.285714285714285,0.0,7.6923076923076925,5.128205128205128,35.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,7.0,-1.05,0.0,-2.38,0.0,4.57,5.13,5.0,0.0,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,21.85,5.81,1.48,-0.85,0.0,12.51,-0.26,0.0,0.08,0.0,6.39,0.7,6.81,0.0,-0.04,1.0,-0.48,-0.11,0.93,0.0,0.0,6.81,-0.04,-0.07,0.93
1,The Education Department's budget would be reduced under Trump's 2021 budget. Cuts include the end of subsidized student loans and the public service loan forgiveness program.,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,150.0,26.0,4.0,12.0,3.0,13.0,5.769230769230769,0.0,25.0,0.0,3.8461538461538463,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-72.0,-13.0,-2.0,-3.0,2.0,-26.0,0.08,0.0,25.0,0.0,3.85,-12.82,-8.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-2.15,-0.69,-0.02,-0.85,0.5,-0.49,0.08,0.0,5.44,0.0,4.47,-1.86,1.31,0.0,-0.04,0.5,0.02,-0.11,-0.07,0.0,0.0,1.31,-0.04,-0.07,-0.07
2,"President Trump may be livid about this week's market sell-off, but the rally in U.S. equities since his election is still well intact.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,113.0,23.0,3.0,9.0,4.0,8.0,4.913043478260869,0.0,66.66666666666666,0.0,4.3478260869565215,4.3478260869565215,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,-108.0,-17.0,-1.0,-8.0,1.0,-5.33,-0.61,0.0,66.67,0.0,1.85,-3.15,-8.0,0.0,0.0,0.0,-3.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-22.48,-3.85,-0.85,-1.85,1.0,-6.49,-0.09,0.0,21.12,0.0,4.0,-1.27,-0.85,0.0,-0.04,0.33,-0.15,-0.11,-0.07,0.0,0.0,-0.85,-0.04,-0.07,-0.07
3,"Business activity in China may look like it's at a standstill amid the COVID-19 outbreak, but investors should start planning their next moves, experts said on Thursday.","His reelection bid accelerating, President Donald Trump has again seized credit for an economic turnaround, claimed record job creation and accused his predecessor of a ""con job"" on the subject.",1.0,143.0,27.0,7.0,9.0,2.0,27.0,5.296296296296297,0.0,0.0,0.0,3.7037037037037033,7.4074074074074066,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-22.0,-3.0,2.0,-4.0,0.0,-3.0,-0.2,0.0,0.0,0.0,3.7,7.41,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-25.15,-4.44,-0.27,-2.35,0.75,-4.74,-0.08,0.0,12.29,0.0,3.6,-0.21,-0.94,0.0,-0.04,0.25,-0.23,-0.11,-0.07,0.0,0.0,-0.94,-0.04,-0.07,-0.07
4,"The case, key to the future of the CFPB, could also have broad implications on other independent federal agencies, according to experts.","The Trump administration has tapped Marshall Billingslea, the current undersecretary for terrorism financing at the Treasury Department, as special envoy for nuclear talks, according to two sources familiar.",1.0,115.0,22.0,3.0,7.0,2.0,22.0,5.2272727272727275,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-65.0,-6.0,0.0,-4.0,0.0,-6.0,-1.2,0.0,0.0,0.0,0.0,-3.57,-6.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-32.35,-5.79,-0.72,-3.05,0.6,-4.69,-0.08,0.0,6.99,0.0,2.62,-1.05,-2.79,0.0,-0.04,0.2,-0.28,-0.11,-0.27,0.0,0.0,-2.79,-0.04,-0.07,-0.27
5,The U.S. Supreme Court is currently comprised of nine justices who serve lifetime appointments after being confirmed by the U.S. Senate. Here is some background on those currently serving on the high court.,"President Donald Trump has repeatedly promised middle class Americans fresh tax cuts if he wins a second four-year term in office in November, a pledge that might clash with his efforts to reduce yawning federal deficits.",1.0,174.0,33.0,7.0,10.0,7.0,5.833333333333333,5.2727272727272725,0.0,28.57142857142857,0.0,0.0,0.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-12.0,-3.0,0.0,-3.0,5.0,-30.17,0.11,0.0,28.57,0.0,-8.33,-2.78,-9.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,-9.0,0.0,0.0,-2.0,-27.31,-4.85,-0.35,-3.02,1.33,-7.35,-0.08,0.0,8.22,0.0,1.97,-1.61,-3.19,0.0,-0.04,0.33,-0.15,-0.11,-0.41,0.0,0.0,-3.19,-0.04,-0.07,-0.41
6,Republican Sen. Ted Cruz on Tuesday tore into Supreme Court Justice Sonia Sotomayor for a widely noticed dissent in which she blasted her colleagues for lifting injunctions on controversial Trump administration policies.,"National security adviser Robert O'Brien is expected to make major cuts to the National Security Council staff as early as next week, two sources familiar with the matter told CNN.",1.0,189.0,32.0,4.0,15.0,3.0,16.0,5.90625,0.0,0.0,0.0,0.0,9.375,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,3.0,38.0,2.0,0.0,1.0,1.0,-14.0,0.87,0.0,-25.0,0.0,0.0,9.38,6.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,-21.58,-4.33,-0.52,-2.28,1.29,-7.8,0.01,0.0,5.02,0.0,1.5,-0.67,-2.76,0.0,-0.04,0.29,-0.2,-0.11,-0.07,0.0,0.0,-2.76,-0.04,-0.07,-0.07
7,"Former Acting Attorney General Matthew Whitaker backed Sen. Ted Cruz, R-Texas, Tuesday over the senator's criticism of Supreme Court Justice Sonia Sotomayor.","The Trump administration's ongoing feud with sanctuary cities reached a fever pitch this month as the Department of Homeland Security sparred with New York, historically one of the department's strongest partners -- resulting in a week of hostile exchanges be…",1.0,136.0,22.0,1.0,18.0,3.0,11.0,6.181818181818182,0.0,0.0,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-85.0,-18.0,-3.0,2.0,2.0,-29.0,0.66,0.0,0.0,0.0,-2.5,-0.45,-9.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-23.9,-5.19,-1.02,-1.35,1.25,-8.76,0.12,0.0,2.61,0.0,1.15,-0.58,-3.19,0.0,-0.04,0.25,-0.23,-0.11,-0.2,0.0,0.0,-3.19,-0.04,-0.07,-0.2
9,Former NYPD Commissioner Bernie Kerik revealed how he first learned that President Trump was issuing him a pardon for his felony conviction.,"There are several steps Trump should take immediately that will both help address the spread of coronavirus and boost his political standing, writes Joe Lockhart",1.0,119.0,22.0,4.0,10.0,2.0,22.0,5.409090909090909,0.0,25.0,0.0,4.545454545454546,0.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,3.0,-18.0,-3.0,-4.0,3.0,1.0,-3.0,-0.07,0.0,12.5,0.0,0.55,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,-33.23,-7.17,-1.27,-2.07,1.0,-7.73,0.18,0.0,3.17,0.0,1.24,-0.45,-3.87,0.0,-0.03,0.2,-0.43,-0.1,0.03,0.0,0.0,-3.87,-0.03,-0.07,0.03
10,"The Washington establishment's main goal in every election is to retain their access to the levers of power and not let otherwise unaffiliated candidates like Sen. Bernie Sanders, I-Vt., take that access away, according to Krystal Ball.","National security adviser Robert O'Brien is expected to make major cuts to the National Security Council staff as early as next week, two sources familiar with the matter told CNN.",1.0,200.0,37.0,5.0,15.0,4.0,12.666666666666666,5.405405405405405,0.0,20.0,0.0,2.7027027027027026,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,49.0,7.0,1.0,1.0,2.0,-17.33,0.37,0.0,-5.0,0.0,2.7,0.0,10.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,-28.04,-6.17,-1.2,-1.68,1.09,-8.28,0.17,0.0,3.41,0.0,1.26,-0.81,-3.17,0.0,-0.03,0.18,-0.44,-0.1,0.02,0.0,0.0,-3.17,-0.03,-0.07,0.02
