,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","In Lagos, Nigeria, a controversial ban of commercial motorcycles and tricycles has begun in the city of more than 20 million. Commuters face long lines and traffic chaos after the state government banned these vehicles from some major routes. CNN's Stephanie …",1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,3.0,-3.0,1.0,8.0,-1.0,6.0,0.48,0.0,0.0,0.0,0.0,8.06,-7.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,50.8,6.1,-0.45,13.37,-0.15,-5.75,0.47,-0.02,-12.55,0.0,-1.96,9.25,1.93,-0.02,-0.03,-0.15,0.39,-0.03,-0.7,-0.02,0.0,1.93,-0.03,-0.08,-0.7
1,"Unifor sets up blockade around Saskatoon Co-Op cardlock CBC.ca Unifor barricades Co-op card lock in Saskatoon Global News Homicides, overdoses, labour dispute make early 2020 Regina police chief's most challenging stretch CBC.ca Regina businesses feeling impa…","Iran will temporarily release 54,000 people from prisons as officials struggle to contain the rapid spread of the biggest coronavirus outbreak in the Middle East.",1.0,225,36,5,23,3,12.666666666666666,6.25,0,0.0,0.0,0.0,5.555555555555555,28,0,0,1,1,0,0,0,0,28,0,0,0,87.0,11.0,1.0,14.0,1.0,-12.33,0.73,0.0,0.0,0.0,-4.0,-2.44,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,52.3,4.6,-0.45,12.37,0.35,-9.41,0.75,-0.02,-12.55,0.0,-1.96,5.61,1.43,-0.02,-0.03,0.35,0.39,-0.03,-0.7,-0.02,0.0,1.43,-0.03,-0.08,-0.7
2,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…",The Supreme Court agreed Monday to hear an appeal by a Catholic foster agency that argues it's in danger of losing its government contract because it refuses to recruit or certify same sex couples as potential foster parents.,1.0,225,36,7,19,2,18.5,6.25,0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34,0,0,0,1,0,0,0,0,34,0,0,0,37.0,-2.0,-1.0,5.0,0.0,-19.5,1.3,0.0,14.29,0.0,0.15,-5.12,0.0,0.0,-1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,52.8,4.1,0.22,10.7,0.18,-8.69,0.84,-0.02,-7.79,0.0,-1.04,3.48,3.26,-0.02,-0.03,0.18,0.39,-0.03,-0.7,-0.02,0.0,3.26,-0.03,-0.08,-0.7
3,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","A Mexican national has been arrested and charged with acting as a Russian agent within the United States, the Justice Department said Tuesday.",1.0,67,13,1,8,2,13.0,5.153846153846154,0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,13,0,0,0,-53.0,-10.0,-5.0,2.0,0.0,-10.0,-0.06,0.0,-16.67,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,13.55,-1.9,-0.95,7.12,0.1,-9.7,0.62,-0.02,-8.98,0.0,-1.27,1.71,-1.07,-0.02,-0.03,0.1,0.14,-0.03,-0.7,-0.02,0.0,-1.07,-0.03,-0.08,-0.7
4,"A hotel used for medical observation of people who had contact with coronavirus patients collapsed in southeastern China on Saturday, trapping some 70 people, state media reported. There were no immediate reports of deaths.","South by Southwest, the annual tech, film and music conference in Austin, has officially been canceled because of the coronavirus.",1.0,190,34,6,13,3,17.0,5.588235294117647,0,16.666666666666664,0.0,0.0,0.0,32,0,0,1,1,0,0,0,0,32,0,0,0,79.0,14.0,3.0,5.0,1.0,-3.0,0.04,0.0,-16.67,0.0,0.0,0.0,14.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.6,-1.3,-0.65,5.97,0.25,-9.51,0.57,-0.02,-6.36,0.0,-1.41,0.66,0.13,-0.02,-0.03,0.25,0.19,-0.03,-0.7,-0.02,0.0,0.13,-0.03,-0.08,-0.7
5,Deputy Prime Minister Chrystia Freeland was briefly blocked from entering Halifax city hall on Wednesday by demonstrators in support of the Wet'suwet'en First Nation.,"Concerns are growing over the global spread of the novel coronavirus after a spike in cases outside of mainland China among people with no connection to China or the city of Wuhan, ground zero for the outbreak.",1.0,143,24,4,14,2,24.0,5.958333333333333,0,25.0,0.0,4.166666666666666,0.0,24,0,0,0,0,0,0,0,0,24,0,0,0,-31.0,-13.0,2.0,-1.0,0.0,-13.0,1.26,0.0,-25.0,0.0,4.17,-2.7,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,7.47,-2.57,-0.78,5.37,0.18,-8.22,0.6,-0.02,-3.23,0.0,-0.81,-0.05,-0.4,-0.02,-0.03,0.18,0.06,-0.03,-0.7,-0.02,0.0,-0.4,-0.03,-0.08,-0.7
6,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","The director-general of the World Health Organization has warned governments that the continued international spread of the novel coronavirus is ""not a drill"" and will require significant action if public health authorities are to contain the deadly outbreak.",1.0,177,37,9,10,2,37.0,4.783783783783784,0,11.11111111111111,0.0,0.0,5.405405405405405,32,0,0,0,1,0,0,0,0,32,0,0,0,-45.0,-1.0,2.0,-1.0,0.0,-1.0,-1.06,0.0,-17.46,0.0,-2.63,-2.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,-1.61,-0.16,4.37,0.14,-5.44,0.45,-0.02,-2.97,0.0,-0.97,0.22,0.36,-0.02,-0.03,0.14,0.1,-0.03,-0.7,-0.02,0.0,0.36,-0.03,-0.08,-0.7
7,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,6.0,0.0,5.0,-3.0,0.0,13.5,0.21,0.0,12.5,0.0,-7.14,7.14,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,6.05,-2.02,0.17,3.37,0.1,-4.48,0.49,-0.02,-2.61,0.0,-0.65,0.64,0.18,-0.02,0.1,0.23,0.01,-0.03,-0.57,-0.02,0.0,0.18,-0.03,-0.08,-0.57
8,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,13.0,-2.0,1.0,-3.0,-1.0,13.0,0.84,0.0,-1.79,0.0,0.24,3.81,2.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,5.13,-2.34,0.44,2.59,0.07,-3.73,0.53,-0.02,-2.32,0.0,-0.4,0.96,0.04,-0.02,0.19,0.29,-0.05,-0.03,-0.48,-0.02,0.0,0.04,-0.03,-0.08,-0.48
9,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.",• 5 takeaways from the New Hampshire Democratic primary • Analysis: Chris Cillizza's winners and losers • Trump wins GOP primary • Analysis: Joe Biden's path to the nomination has zero historic precedent,1.0,207,40,5,16,2,40.0,5.175,0,0.0,0.0,7.5,2.5,31,0,0,0,0,0,1,0,0,31,0,0,1,36.0,7.0,3.0,-2.0,1.0,7.0,-0.01,0.0,0.0,0.0,1.44,-0.53,8.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.2,-1.4,0.35,2.77,0.05,-1.93,0.47,-0.02,-3.35,0.0,0.19,0.76,0.43,-0.02,0.17,0.25,-0.11,-0.03,-0.4,-0.02,0.0,0.43,-0.03,-0.08,-0.4
10,"On Friday morning, more than 200 Canadian and permanent residents received their official authorization to leave their two-week coronavirus quarantine at an army base in Ontario. They talk about the challenges of the experience and what they plan to do with t…","As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,219,42,5,12,2,21.0,5.214285714285714,0,0.0,0.0,0.0,0.0,34,0,0,0,1,0,3,0,0,34,0,0,3,45.0,3.0,-1.0,3.0,0.0,-18.0,0.75,0.0,-33.33,0.0,-2.56,0.0,7.0,0.0,0.0,-1.0,-1.0,-3.0,2.0,0.0,0.0,7.0,-3.0,-3.0,2.0,11.8,-0.45,0.28,2.55,0.03,-2.19,0.43,-0.02,-4.18,0.0,-0.0,0.37,1.02,-0.02,0.15,0.21,-0.06,-0.03,-0.15,-0.02,0.0,1.02,-0.03,-0.08,-0.15
