,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Greek and Turkish riot police deployed on their shared border fired tear gas on Wednesday as hundreds of migrants tried again to cross into Greece, amid an escalating war of words between Athens and Ankara about what was happening.","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,193,39,8,12,2,39.0,4.948717948717949,0,12.5,0.0,0.0,0.0,33,0,0,0,0,0,1,0,0,33,0,0,1,-26.0,-3.0,3.0,-11.0,-1.0,25.0,-0.27,0.0,-7.5,0.0,0.0,-2.38,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,19.79,5.54,3.11,-1.96,-0.11,14.2,-0.2,-0.11,3.56,0.0,-1.46,-2.99,5.39,-0.46,-0.04,-0.07,-0.71,0.0,0.32,0.0,0.0,5.39,0.0,0.0,0.32
1,"A 14-year-old boy who was the subject of an Amber Alert has been located, Toronto police say.","A man in Oregon was arrested after he allegedly used counterfeit money to buy a box of Girl Scout cookies outside of a Walmart, Salem police said.",1.0,77,17,5,6,2,17.0,4.529411764705882,0,40.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,-43.0,-10.0,0.0,-4.0,0.0,-10.0,0.08,0.0,20.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-6.0,0.0,0.0,-1.0,-38.21,-5.46,1.61,-4.96,-0.11,3.2,-0.41,-0.11,17.31,0.0,-1.46,-2.99,-2.61,-0.46,-0.04,-0.07,-0.71,0.0,-0.18,0.0,0.0,-2.61,0.0,0.0,-0.18
2,Durham Regional Police Human Trafficking Unit is the first in Canada to team up with a human trafficking survivor.,"Decades before President Donald Trump ever attacked the media, Senator Barry Goldwater introduced a new idea to the presidential campaign trail: liberal media bias.",1.0,96,19,2,9,2,19.0,5.052631578947368,0,50.0,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-45.0,-5.0,0.0,-4.0,0.0,-5.0,-0.82,0.0,50.0,0.0,5.26,-4.17,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-51.21,-8.46,0.11,-4.96,-0.11,0.2,-0.31,-0.11,25.23,0.0,0.29,-2.99,-4.61,-0.46,-0.04,-0.07,-0.71,0.0,-0.35,0.0,0.0,-4.61,0.0,0.0,-0.35
3,"U.S. President Donald Trump's re-election campaign said on Wednesday it filed a libel lawsuit against the New York Times, accusing the newspaper of intentionally publishing a false story last year related to the investigation into Russian interference in the …","India already has over 500 million internet users, a number that's set to almost double in the next decade.",1.0,221,40,5,18,3,13.666666666666666,5.525,0,0.0,0.0,0.0,7.5,34,0,0,0,0,0,1,0,0,34,0,0,1,132.0,21.0,1.0,13.0,1.0,-5.33,0.84,0.0,0.0,0.0,0.0,7.5,15.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,-26.46,-4.71,0.11,-2.71,0.14,-2.64,-0.14,-0.11,16.69,0.0,-0.15,-1.12,-1.86,-0.46,-0.04,-0.07,-0.71,0.0,-0.18,0.0,0.0,-1.86,0.0,0.0,-0.18
4,"Adam Booth, 35, got his full acquittal on Dec. 11, 2019 — three years and a month after he was sentenced to 12 years in prison minus time served for charges including robbery and aggravated assault.","The word ""rumor"" has taken on a different meaning in China since the death of Li Wenliang, the doctor who was punished for trying to warn others about the spread of coronavirus.",1.0,163,36,6,14,3,18.0,4.527777777777778,0,16.666666666666664,0.0,0.0,5.555555555555555,32,0,0,0,5,0,2,0,0,32,0,0,2,17.0,4.0,0.0,3.0,1.0,-14.0,-0.03,0.0,0.0,0.0,0.0,-0.69,5.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,-23.21,-3.26,0.31,-2.16,0.29,-3.47,-0.24,-0.11,14.9,0.0,-0.41,-0.38,-0.61,-0.46,-0.04,-0.07,0.29,0.0,0.12,0.0,0.0,-0.61,0.0,0.0,0.12
5,Groups linked to oil and gas companies have been spending big on Facebook ads denouncing the First Nations-led protests that have targetted rail transport in Canada in the past month.,Según un comunicado del ministerio de Salud están relacionados al primero confirmado en el país y son un hombre de 78 años y una mujer de 66.,1.0,154,30,7,10,2,30.0,5.133333333333334,0,14.285714285714285,0.0,0.0,6.666666666666667,24,0,0,0,0,0,0,0,0,24,0,0,0,39.0,3.0,6.0,-2.0,0.0,3.0,0.87,0.0,14.29,0.0,0.0,6.67,4.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-22.55,-3.3,0.61,-2.46,0.23,-2.03,-0.2,-0.11,13.3,0.0,-0.58,0.3,-1.11,-0.46,-0.04,-0.07,0.12,0.0,-0.01,0.0,0.0,-1.11,0.0,0.0,-0.01
6,"""Good for the consumer, gasoline prices coming down!"" Trump wrote in one of a series of posts on Twitter.","[OPINIÓN] Camilo Egaña: Judío sefardí nacido en África, que vive en Asia, que es al mismo tiempo europeo; judío sefardí capaz de traernos en cada viaje un rosario y repartirlo en la sala de redacción como anuncio de buenaventura… Jamás había conocido yo a un …",1.0,87,19,2,7,2,10.0,4.578947368421052,0,0.0,0.0,0.0,0.0,17,0,0,0,1,0,0,0,1,17,0,0,0,-128.0,-27.0,0.0,-18.0,1.0,-36.0,-0.09,0.0,0.0,0.0,0.0,0.0,-16.0,-9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-16.0,0.0,0.0,0.0,-31.64,-4.89,0.11,-3.11,0.18,-3.85,-0.25,-0.11,10.13,0.0,-0.71,-0.17,-2.46,-0.46,-0.04,-0.07,0.14,0.0,-0.11,0.0,0.14,-2.46,0.0,0.0,-0.11
7,"Wall Street stock futures hit the ""limit down"" 5% early Monday, meaning Dow futures can't trade below 1,255 points.","In times of emergency — whether it's a major hurricane, terror attack, or health crisis — the public relies on the press for much-needed information. In some of these cases, it can be a matter of life and death. And given the current coronavirus outlook, ther…",1.0,97,19,5,9,2,19.0,5.105263157894737,0,0.0,0.0,0.0,5.263157894736842,17,0,0,0,2,0,0,0,0,17,0,0,0,-118.0,-27.0,0.0,-8.0,-1.0,3.67,0.43,0.0,-20.0,0.0,0.0,-5.61,-17.0,0.0,0.0,-1.0,2.0,0.0,-1.0,0.0,0.0,-17.0,0.0,0.0,-1.0,-37.21,-6.09,0.11,-3.34,0.14,-4.1,-0.23,-0.11,7.74,0.0,-0.8,0.13,-3.48,-0.46,-0.04,-0.07,0.29,0.0,-0.18,0.0,0.12,-3.48,0.0,0.0,-0.18
8,"In the 1990s, a former police officer working for a McDonald's vendor managed to steal more than $24 million worth of cash and prizes from the fast-food giant's promotional games, including Monopoly.","President Donald Trump will huddle with aides Monday to weigh options for possible economic stimulus meant to blunt the economic fallout of coronavirus, White House officials said, as stocks plunged and concerns continued to grow over the administration's han…",1.0,168,32,4,11,2,32.0,5.25,0,0.0,0.0,3.125,3.125,28,0,0,0,3,0,0,0,0,28,0,0,0,-54.0,-7.0,-4.0,-6.0,1.0,-7.0,-0.44,0.0,0.0,0.0,3.12,-4.57,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-33.66,-5.58,-0.0,-3.3,0.12,-2.84,-0.19,-0.11,5.89,0.0,-0.53,0.13,-3.05,-0.46,-0.04,-0.07,0.51,0.0,-0.23,0.0,0.11,-3.05,0.0,0.0,-0.23
9,"Here are the most common lies job seekers tell, plus the ones hiring managers are willing to let slide.","Acting Homeland Security Secretary Chad Wolf warned of Russia's ongoing influence campaign ahead of Super Tuesday's Democratic presidential primaries, but said there is no current ""credible threat"" to election infrastructure.",1.0,85,19,4,7,2,19.0,4.473684210526316,0,50.0,0.0,5.263157894736842,5.263157894736842,15,0,0,1,0,0,0,0,0,15,0,0,0,-111.0,-11.0,0.0,-7.0,0.0,-11.0,-2.06,0.0,25.0,0.0,1.93,-1.4,-13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-39.11,-6.46,-0.09,-3.66,0.09,-3.14,-0.24,-0.11,9.41,0.0,-0.1,0.35,-4.01,-0.46,-0.04,0.03,0.39,0.0,-0.28,0.0,0.1,-4.01,0.0,0.0,-0.28
