,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The two Democrats who led the Iowa caucuses — Senator Bernie Sanders and former mayor Pete Buttigieg — have both requested a recanvass of some caucus results, the Iowa Democratic Party says.","Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,159.0,32.0,5.0,16.0,2.0,32.0,4.96875,0.0,0.0,0.0,3.125,0.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-63.0,-7.0,-1.0,1.0,1.0,-7.0,-0.72,0.0,0.0,0.0,3.12,-12.82,-6.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,-14.73,-1.97,-0.9,4.0,0.0,4.85,-0.22,0.0,-10.76,0.0,1.47,-3.29,-2.37,0.0,-0.13,0.7,0.33,0.0,-1.57,-0.07,0.0,-2.37,0.0,-0.03,-1.57
1,"A Calgary woman continued to face a murder charge in the death of her child, even after prosecutors had been given evidence that appears to contradict results of the baby’s original autopsy, The Fifth Estate has learned.",One woman testified that Harvey Weinstein used his hands to sexually assault her as employees sat nearby.,1.0,184.0,37.0,10.0,14.0,2.0,37.0,4.972972972972973,0.0,10.0,0.0,0.0,8.108108108108109,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,2.0,95.0,20.0,6.0,9.0,0.0,20.0,-0.26,0.0,10.0,0.0,0.0,2.23,14.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,14.0,0.0,0.0,-1.0,-2.23,0.53,1.6,3.0,0.0,7.35,-0.22,0.0,-5.76,0.0,-0.09,0.76,0.13,0.0,-0.13,0.2,-0.17,0.0,-0.57,-0.07,0.0,0.13,0.0,-0.03,-0.57
2,"Intimate partner violence makes up nearly one-third of all police-reported violent crime in this country, and many victims say that the legal system is complicating efforts to change this.","When David Wilk, a lawyer in Williamsport, Pennsylvania, got a call from a woman looking to sue Amazon, little did he know it would become the most high-profile case of his career.",1.0,160.0,29.0,5.0,10.0,2.0,29.0,5.517241379310345,0.0,20.0,0.0,0.0,6.896551724137931,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,11.0,-3.0,-2.0,0.0,0.0,-3.0,0.86,0.0,20.0,0.0,0.0,3.77,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-6.07,-1.3,0.77,1.33,0.0,5.52,-0.03,0.0,-0.76,0.0,-0.61,1.71,0.3,0.0,-0.13,0.7,-0.33,0.0,-0.9,-0.07,0.0,0.3,0.0,-0.03,-0.9
3,"The federal government is refusing to turn over uncensored documents to three residential school survivors who need the files to determine whether they should seek to reopen their compensation cases, according to their lawyer.","Like any institution, monarchies must adapt to remain relevant and in place.",1.0,193.0,34.0,9.0,8.0,2.0,34.0,5.676470588235294,0.0,11.11111111111111,0.0,0.0,2.941176470588235,27.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,128.0,22.0,6.0,5.0,0.0,22.0,0.26,0.0,11.11,0.0,0.0,2.94,15.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,2.0,0.27,-0.97,1.35,0.0,0.0,5.85,0.1,0.0,-0.49,0.0,-0.87,1.2,-0.12,0.0,-0.13,0.45,-0.17,0.0,-0.57,-0.07,0.0,-0.12,0.0,-0.03,-0.57
4,Judge Napolitano: Schumer's threat toward Supreme Court justices 'very dangerous' Fox News Schumer accused of threatening Kavanaugh and Gorsuch during rally CNN Chief Justice Roberts issues rare rebuke to Schumer's 'dangerous' and 'irresponsible' comments; Tr…,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,226.0,35.0,4.0,21.0,1.0,35.0,6.457142857142857,0.0,0.0,0.0,0.0,14.285714285714285,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,5.0,-5.0,0.0,4.0,-2.0,21.67,0.93,0.0,0.0,0.0,-2.5,6.79,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,10.67,-0.57,0.7,1.8,-0.2,6.25,0.33,0.0,-2.54,0.0,-1.03,3.16,0.43,0.0,-0.13,0.3,-0.27,0.0,-0.77,-0.07,0.0,0.43,0.0,-0.03,-0.77
5,"U.S. Attorney General William Barr publicly swiped at Donald Trump on Thursday, declaring the president's tweets about Justice Department prosecutors and open cases ""make it impossible for me to do my job."" The White House said Barr has the president's confid…","If there is any question whether 86-year-old Justice Ruth Bader Ginsburg, who has spent her life steeped in issues concerning women's rights, is slowing down after four bouts of cancer, it was not evident Wednesday morning in Washington.",1.0,220.0,41.0,6.0,20.0,4.0,10.75,5.365853658536586,0.0,0.0,0.0,0.0,2.4390243902439024,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,2.0,0.0,1.0,20.0,3.0,-2.0,6.0,2.0,-27.25,0.1,0.0,-37.5,0.0,0.0,-2.82,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,-2.0,16.6,0.7,0.6,2.83,0.17,2.48,0.31,0.0,-3.91,0.0,-1.14,2.49,1.47,0.0,-0.13,0.2,-0.33,0.0,-0.73,-0.07,0.0,1.47,0.33,-0.03,-0.73
6,"Elizabeth Warren has brought national attention to nondisclosure agreements this week, criticizing billionaire businessman and former New York City mayor Mike Bloomberg for using NDAs to keep employees from speaking out.","It's a cliché no US presidential candidate can resist: ""This election is the most important in our lifetime."" But this year it might be true, because also on the ballot is the destiny of the Supreme Court, which decides where America stands on issues like abo…",1.0,190.0,31.0,6.0,15.0,2.0,31.0,6.129032258064516,0.0,0.0,0.0,0.0,3.225806451612903,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-25.0,-15.0,-3.0,2.0,0.0,7.5,1.46,0.0,-33.33,0.0,-6.52,1.05,-9.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-9.0,0.0,-1.0,-1.0,16.55,0.18,0.53,2.86,0.14,2.67,0.4,0.0,-4.89,0.0,-1.21,2.12,1.35,0.0,-0.13,0.13,-0.38,0.0,-0.85,-0.07,0.0,1.35,0.29,-0.03,-0.85
7,More than 40% of Americans have kept money secrets from their partner and nearly a third say they'd consider breaking up with their partner over it. Here's what experts say about committing financial infidelity and how to avoid it.,"Attorney General William Barr has agreed to testify before the House Judiciary Committee next month, the panel's chairman Jerry Nadler said Wednesday, giving them a forum to press the attorney general on the sentencing of Roger Stone and other controversies t…",1.0,193.0,39.0,9.0,9.0,3.0,19.5,4.948717948717949,0.0,0.0,0.0,0.0,2.564102564102564,29.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,-27.0,-2.0,2.0,-11.0,2.0,-21.5,-0.42,0.0,0.0,0.0,0.0,2.56,-6.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,16.89,0.78,0.85,2.12,0.25,1.38,0.32,0.0,-5.62,0.0,-1.27,1.77,1.26,0.0,-0.13,0.07,-0.29,0.0,-0.69,-0.07,0.0,1.26,0.25,-0.03,-0.69
8,"U.S. stock futures pointed lower this morning following the long holiday weekend, after Apple (AAPL) revised its revenue forecast due to the fast-spreading coronavirus.",Many popular e-commerce sites and apps have dense terms-of-service agreements that legal experts say are changing the nature of consumer transactions,1.0,145.0,24.0,3.0,11.0,4.0,8.333333333333334,6.041666666666667,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,16.0,3.0,-2.0,3.0,3.0,-12.67,-0.1,0.0,-20.0,0.0,-4.76,-4.76,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.82,-0.41,0.43,1.78,0.44,-0.86,0.38,0.0,-6.2,0.0,-1.31,1.21,0.41,0.0,-0.13,0.03,-0.33,0.0,-0.68,-0.07,0.0,0.41,0.22,-0.03,-0.68
9,"Still another investigation has uncovered allegations about problems with a former Vancouver psychologist's work in child custody battles, and prompted a warning about the potential repercussions of his opinions in family court.","The Trump campaign has shelled out more than $2 million in two years to a law firm known for suing media companies, a signal President Donald Trump's reelection strategy will be about going to war with the media as well as taking on his eventual Democratic ri…",1.0,197.0,32.0,3.0,13.0,2.0,32.0,6.15625,0.0,0.0,0.0,3.125,9.375,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-17.0,-15.0,-5.0,-2.0,1.0,-15.0,1.6,0.0,-12.5,0.0,1.0,9.38,-13.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,12.97,-0.57,0.1,1.7,0.4,-0.29,0.44,0.0,-6.65,0.0,-1.03,1.69,0.13,0.0,-0.13,0.0,-0.37,0.0,-0.67,-0.07,0.0,0.13,0.2,-0.03,-0.67
