,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","Dr. Ben Carson, secretary of Housing and Urban Development, tells ABC News that a plan for passengers of the Grand Princess cruise ship is in the works, but declines to share details.",1.0,220,41,7,20,5,8.2,5.365853658536586,0,0.0,0.0,0.0,4.878048780487805,39,0,1,2,2,1,2,0,0,39,2,0,2,68.0,9.0,4.0,2.0,2.0,-7.8,0.62,0.0,-33.33,0.0,-3.12,1.75,11.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,11.0,2.0,0.0,2.0,51.22,7.88,1.96,7.76,2.86,-16.24,0.26,-0.04,-14.09,0.0,-3.66,2.57,11.18,-0.02,0.94,1.78,1.73,0.92,1.43,0.0,0.0,11.18,1.96,-0.08,1.43
1,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,162,27,5,9,3,14.0,6.0,0,20.0,0.0,0.0,0.0,25,0,0,0,2,0,0,0,0,25,0,0,0,-1.0,-1.0,2.0,-2.0,1.0,-0.5,0.18,0.0,20.0,0.0,-10.71,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.22,0.88,0.96,2.26,1.86,-13.34,0.58,-0.04,-4.09,0.0,-3.66,0.13,4.18,-0.02,0.44,0.78,1.73,0.42,0.43,0.0,0.0,4.18,0.96,-0.08,0.43
2,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","The Border Patrol will be sending elite tactical teams into ""sanctuary cities"" like New York and Chicago to help with immigration arrests. One hundred agents are being deployed to work with Immigration and Customs Enforcement (ICE), including members of a uni…",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,-30.0,-11.0,-4.0,-3.0,1.0,-5.5,0.97,0.0,17.78,0.0,-0.65,0.0,-5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,21.89,-0.46,0.63,1.76,1.52,-12.04,0.79,-0.04,5.91,0.0,-1.44,-0.68,3.52,-0.02,0.27,0.44,1.4,0.25,0.1,0.0,0.0,3.52,0.63,-0.08,0.1
3,"In this week's issue of our environment newsletter, we examine the concept of 'in-pipe hydro' and visualize just how many people worldwide live in cities.","Issui Enomoto knows the nooks and crannies of Tokyo and Yokohama intimately. For more than a decade, he has photographed their shape-shifting qualities from within his taxi.",1.0,130,25,3,8,2,25.0,5.2,0,0.0,0.0,0.0,4.0,23,0,0,1,0,1,0,0,0,23,0,2,0,-17.0,-2.0,0.0,-1.0,-1.0,11.5,-0.24,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,1.0,0.0,1.0,-3.0,0.0,0.0,-2.0,0.0,2.0,-3.0,6.72,-2.37,-0.04,0.26,1.11,-8.89,0.62,-0.04,0.91,0.0,-1.99,-0.09,1.43,-0.02,0.19,0.53,0.98,0.42,-0.07,0.0,0.0,1.43,0.46,0.42,-0.07
4,New Canadian players are rushing in to plug the gap in EV charging. But changes to the refuelling business model are also predicted to hurt established players.,"""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,134,27,7,9,3,13.5,4.962962962962963,0,28.57142857142857,0.0,0.0,3.7037037037037033,18,0,0,0,0,0,0,0,0,18,0,0,0,-86.0,-14.0,1.0,-6.0,1.0,-7.0,-0.4,0.0,28.57,0.0,0.0,1.26,-16.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-16.0,0.0,0.0,-1.0,-1.58,-3.12,0.36,-0.44,1.06,-9.3,0.47,-0.04,3.63,0.0,-2.32,0.21,-0.82,-0.02,0.14,0.38,0.73,0.32,-0.17,0.0,0.0,-0.82,0.36,0.32,-0.17
5,"Five Afghan police officers died in a Taliban attack on a security checkpoint near a copper mine on Tuesday, officials in the region said, a day after the insurgents decided to resume operations against local forces.","The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,181,36,4,16,2,36.0,5.027777777777778,0,0.0,0.0,0.0,5.555555555555555,26,0,0,0,1,0,0,0,0,26,1,0,0,-36.0,-8.0,-2.0,2.0,0.0,14.0,0.1,0.0,-33.33,0.0,-6.82,1.01,-8.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-8.0,1.0,0.0,-1.0,0.72,-2.12,0.13,0.26,0.86,-5.82,0.38,-0.04,0.68,0.0,-2.55,0.71,-0.98,-0.02,0.11,0.28,0.73,0.25,-0.24,0.0,0.0,-0.98,0.46,0.25,-0.24
6,"More people have fled fighting in Syria over the past 10 weeks than at any other time in the nine-year-old conflict and the city of Idlib, where many are sheltering, could become a graveyard if hostilities continue, two UN agencies say.","Another long weekend, another set of sales to shop — and these deals are worthy of the highest office in the land. Presidents Day weekend means dozens of discounts on everything you've been waiting to buy, from mattresses and kitchen appliances to fashion, fu…",1.0,196,41,8,12,2,41.0,4.780487804878049,0,12.5,0.0,0.0,4.878048780487805,36,0,0,1,2,0,0,0,0,36,0,0,0,-21.0,-3.0,0.0,-5.0,0.0,19.0,-0.15,0.0,-12.5,0.0,-2.27,4.88,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.51,-0.69,0.53,0.18,0.71,-2.62,0.28,-0.04,0.35,0.0,-2.71,0.98,0.33,-0.02,0.08,0.35,0.88,0.2,-0.29,0.0,0.0,0.33,0.39,0.2,-0.29
7,"The market for flying cars, or electric air taxis, is expected to continue growth this decade, soaring to $1.5 trillion globally by 2040, according to a Morgan Stanley Research study.",An image of two mice slugging it out over scraps of food on the London Underground has won a prestigious wildlife photography award from the UK capital's Natural History Museum.,1.0,154,30,6,10,3,15.5,5.133333333333334,0,16.666666666666664,0.0,0.0,0.0,27,0,0,0,3,0,0,0,0,27,0,0,0,6.0,0.0,3.0,-4.0,1.0,-14.5,0.2,0.0,16.67,0.0,-10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.1,-1.0,0.58,-0.12,0.73,-3.41,0.25,-0.04,0.63,0.0,-2.82,0.57,0.18,-0.02,0.06,0.28,1.11,0.17,-0.32,0.0,0.0,0.18,0.33,0.17,-0.32
8,U.S. stock futures point to a strong rebound Wednesday as moderate Democrat Joe Biden scores major Super Tuesday wins.,"As the novel coronavirus outbreak continues to batter China, the country's central bank has implemented a new strategy to contain the virus -- deep cleaning and destroying potentially infected cash.",1.0,100,19,2,11,4,6.666666666666667,5.2631578947368425,0,0.0,0.0,10.526315789473683,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-69.0,-11.0,-4.0,2.0,2.0,-23.33,-0.37,0.0,0.0,0.0,10.53,-10.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-5.78,-2.46,0.18,-0.24,0.86,-5.01,0.24,-0.04,-1.0,0.0,-1.75,0.25,-0.82,-0.02,0.05,0.22,0.96,0.14,-0.35,0.0,0.0,-0.82,0.29,0.14,-0.35
9,Sustainable Energy takes a look at Nature Based Solutions and why they could be important in the years ahead.,"A majority of Americans say they are at least somewhat confident the federal government can prevent a nationwide epidemic of novel coronavirus, according to a new CNN poll conducted by SSRS, but only about half say the government has done a good job of contai…",1.0,91,19,4,5,2,19.0,4.7894736842105265,0,25.0,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-125.0,-26.0,-5.0,-7.0,1.0,-26.0,-0.01,0.0,13.89,0.0,0.82,-2.22,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-12.98,-3.62,0.06,-0.94,0.76,-5.05,0.18,-0.04,0.19,0.0,-1.41,-0.01,-1.62,-0.02,0.04,0.18,0.83,0.12,-0.37,0.0,0.0,-1.62,0.26,0.12,-0.37
