,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"Elizabeth Warren's campaign settled on a message -- and she isn't changing it now, even as her path to the nomination begins to look narrower.",1.0,135.0,28.0,4.0,7.0,2.0,28.0,4.821428571428571,0.0,0.0,0.0,0.0,3.571428571428571,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,3.0,-1.0,1.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,-0.43,1.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,-4.0,-42.46,-5.08,-1.15,-6.54,0.0,0.66,-0.56,-0.08,-8.0,0.0,-2.07,1.94,-3.58,0.0,-0.04,-0.27,0.42,0.0,-1.27,0.0,0.0,-3.58,0.0,0.0,-1.27
1,Is Sanders really a socialist? Is billionaire Michael Bloomberg really an oligarch? Does any of that matter for the November election?,"At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,114.0,21.0,3.0,8.0,1.0,7.0,5.428571428571429,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-49.0,-7.0,0.0,-3.0,-1.0,-7.5,-0.39,3.0,0.0,0.0,-10.71,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-52.96,-8.58,-1.65,-6.04,-0.5,-9.84,-0.26,1.42,-8.0,0.0,-2.07,0.15,-7.08,0.0,-0.04,-0.27,-0.08,0.0,-1.27,0.0,0.0,-7.08,0.0,0.0,-1.27
2,"Mike Bloomberg could be pouring up to half a billion dollars of his own money into his bid to win the Democratic Party nomination, but the former mayor of New York City faces a critical test on Super Tuesday in his run for the U.S. presidency.",The week that gave Joe Biden a sorely needed political comeback also dealt Donald Trump some of the greatest challenges of his presidency.,1.0,198.0,46.0,5.0,18.0,4.0,15.666666666666666,4.304347826086956,0.0,20.0,0.0,2.1739130434782608,2.1739130434782608,34.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,82.0,23.0,2.0,10.0,2.0,-7.33,-0.74,0.0,20.0,0.0,-2.17,-2.17,13.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,2.0,-28.46,-1.41,-1.15,-2.54,0.33,-10.45,-0.53,0.92,-1.34,0.0,-1.35,0.28,-2.58,0.0,-0.04,-0.27,0.09,0.0,-0.27,0.0,0.0,-2.58,0.0,0.0,-0.27
3,Finance Minister Bill Morneau was told weeks into the Liberals' second mandate that Canadians are most worried about affordability in areas where governments have a lot of power over prices — particularly child care.,"The Ukraine allegations that President Donald Trump's personal attorney Rudy Giuliani is providing to the Justice Department are being vetted by investigators in the US Attorney's Office in Pittsburgh, two US law enforcement officials said.",1.0,183.0,34.0,5.0,15.0,2.0,34.0,5.382352941176471,0.0,40.0,0.0,0.0,2.941176470588235,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-23.0,-1.0,-1.0,-4.0,0.0,-1.0,-0.5,0.0,6.67,0.0,0.0,0.08,5.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-19.96,-0.83,-0.9,-1.54,0.25,-6.18,-0.4,0.67,7.0,0.0,-1.53,0.54,-0.33,0.0,-0.04,-0.02,-0.08,0.0,-0.52,0.0,0.0,-0.33,0.0,0.0,-0.52
4,Not all of your online donations to a political candidate will go toward their campaign if you pay by credit card. CNBC Select speaks to experts about the fees incurred when a political donation is made with your credit card.,"Tuesday night's debate was a frenetic free-for-all, with six candidates all trying to knock Democratic presidential front-runner Bernie Sanders off the course of claiming the party's nomination.",1.0,186.0,40.0,7.0,12.0,3.0,20.0,4.65,0.0,14.285714285714285,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,4.0,18.0,13.0,3.0,1.0,1.0,-7.0,-1.57,0.0,-10.71,0.0,0.0,-7.41,3.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,-14.26,0.72,-0.35,-1.54,0.4,-6.41,-0.46,0.52,6.86,0.0,-1.64,0.1,-0.18,0.0,-0.04,0.13,-0.18,0.0,0.13,0.0,0.0,-0.18,0.0,0.0,0.13
5,"Child care costs have been growing twice as fast as overall inflation in the U.S since the 1990s. In response, several presidential candidates have rolled out proposals to address this burden on American families. Here's a look at where they stand.","The Trump campaign has shelled out more than $2 million in two years to a law firm known for suing media companies, a signal President Donald Trump's reelection strategy will be about going to war with the media as well as taking on his eventual Democratic ri…",1.0,208.0,41.0,8.0,11.0,5.0,10.5,5.073170731707317,0.0,12.5,0.0,2.4390243902439024,2.4390243902439024,35.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,-6.0,-6.0,0.0,-4.0,4.0,-36.5,0.52,0.0,0.0,0.0,0.31,2.44,-4.0,0.0,0.0,1.0,-2.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,-6.79,1.92,0.18,-1.71,0.83,-8.15,-0.44,0.42,6.46,0.0,-1.3,0.22,1.09,0.0,-0.04,0.23,-0.08,0.0,-0.1,0.0,0.0,1.09,0.0,0.0,-0.1
6,"Ashraf Ghani has won a second term as president of Afghanistan, the country's independent election commission announced Tuesday, more than four months after polls closed.",Joe Biden's resounding victory in South Carolina on Saturday set off a chain reaction that has reset the former vice president's once-struggling campaign and forced his moderate rivals to make a tough choice: when and how they should exit the race.,1.0,146.0,25.0,4.0,11.0,2.0,25.0,5.84,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-62.0,-16.0,-4.0,-3.0,0.0,-16.0,0.77,0.0,0.0,0.0,-3.32,-2.44,-10.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-10.32,0.49,-0.01,-1.82,0.71,-7.32,-0.31,0.35,4.4,0.0,-0.84,-0.05,0.57,0.0,-0.04,0.16,-0.01,0.0,-0.27,0.0,0.0,0.57,0.0,0.0,-0.27
7,"U.S. President Donald Trump has commuted what he called a ""ridiculous"" 14-year prison sentence for former Illinois governor Rod Blagojevich and pardoned former New York Police Department commissioner Bernie Kerik, among a long list of others.","Geoffrey Berman, the US attorney in Manhattan, asserted his office's independence from politics on Monday in his first public comments since career prosecutors have clashed with Justice Department leadership over the handling of politically sensitive cases.",1.0,207.0,36.0,4.0,19.0,4.0,12.333333333333334,5.75,0.0,0.0,0.0,0.0,5.555555555555555,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,-15.0,0.0,1.0,2.0,2.0,-23.67,-0.42,0.0,0.0,0.0,-2.78,5.56,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,-5.34,0.8,-0.15,-0.91,0.88,-8.28,-0.23,0.3,2.85,0.0,-1.0,0.45,1.05,0.0,-0.04,0.11,-0.08,0.0,-0.27,0.0,0.0,1.05,0.0,0.0,-0.27
8,"Joe Biden, Michael Bloomberg, Pete Buttigieg, Amy Klobuchar, Bernie Sanders and Elizabeth Warren will face off on host of issues during Wednesday's Democratic debate.","The chairman of the House Judiciary Committee is demanding that Attorney General William Barr explain how the Justice Department is receiving information on Ukraine from President Donald Trump's personal attorney, Rudy Giuliani.",1.0,143.0,24.0,2.0,16.0,2.0,24.0,5.958333333333333,0.0,0.0,0.0,0.0,4.166666666666666,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-54.0,-8.0,-3.0,-2.0,0.0,-8.0,-0.2,0.0,-40.0,0.0,0.0,4.17,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-8.57,-0.3,-0.49,-0.54,0.78,-7.73,-0.14,0.26,1.64,0.0,-1.12,0.68,0.53,0.0,-0.04,0.06,-0.13,0.0,-0.38,0.0,0.0,0.53,0.0,0.0,-0.38
9,"Canada plans to focus its next budget on tackling climate change and its effects, but the insurance industry, amid skyrocketing costs, is concerned the government will move too slowly on the key first step of mapping flood risks.","Tax expert Edward McCaffery writes that for many billionaires it's tempting to go on a spending spree so that their estates will minimize the eventual tax they have to pay. In the former New York mayor's case, the huge amount of campaign spending will ultimat…",1.0,192.0,38.0,9.0,13.0,2.0,38.0,5.052631578947368,0.0,11.11111111111111,0.0,0.0,7.894736842105263,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,2.0,-24.0,-7.0,-1.0,-3.0,0.0,15.5,0.25,0.0,11.11,0.0,-2.22,7.89,-3.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-6.26,0.22,-0.05,-0.54,0.7,-5.89,-0.16,0.22,1.79,0.0,-1.21,1.24,0.82,0.0,-0.04,0.03,-0.18,0.0,-0.27,0.0,0.0,0.82,0.0,0.0,-0.27
10,Ontario Provincial Police charged Justin Di Ciano with filing an incorrect document in November 2018 after a lengthy investigation.,"The 2020 contenders meet on stage on Tuesday with one final chance to halt the momentum of Vermont Sen. Bernie Sanders, days before the South Carolina primary and exactly one week before voters go to the polls in Super Tuesday states.",1.0,113.0,19.0,2.0,9.0,2.0,19.0,5.947368421052632,0.0,0.0,0.0,0.0,10.526315789473683,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-81.0,-22.0,-1.0,-10.0,-1.0,-1.5,1.22,0.0,0.0,0.0,0.0,10.53,-9.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-11.55,-1.08,-0.34,-0.9,0.64,-6.12,-0.09,0.2,0.9,0.0,-1.29,1.94,-0.03,0.0,-0.04,0.0,-0.12,0.0,-0.36,0.0,0.0,-0.03,0.0,0.0,-0.36
11,Etobicoke-Lakeshore Coun. Mark Grimes had been accused of not disclosing tens of thousands of dollars worth of spending on research and polling.,"Elizabeth Warren's campaign settled on a message -- and she isn't changing it now, even as her path to the nomination begins to look narrower.",1.0,123.0,22.0,4.0,9.0,3.0,11.0,5.590909090909091,0.0,25.0,0.0,4.545454545454546,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,-3.0,-1.0,3.0,1.0,-14.0,0.87,0.0,25.0,0.0,4.55,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-5.0,0.0,0.0,-4.0,-15.13,-1.91,-0.4,-1.21,0.67,-6.97,-0.06,0.17,2.24,0.0,-0.98,1.64,-0.83,0.0,-0.04,-0.02,-0.16,0.0,-0.44,0.0,0.0,-0.83,0.0,0.0,-0.44
12,Metrolinx says it has no fund to compensate shop owners for lost business due to construction of the Eglinton Crosstown LRT.,"President Donald Trump suggested his supporters in South Carolina cast their primary ballots for Vermont Sen. Bernie Sanders during his rally Friday, the second straight Democratic primary in which he's suggested his supporters get involved.",1.0,104.0,21.0,3.0,10.0,2.0,21.0,4.9523809523809526,0.0,0.0,0.0,0.0,4.761904761904762,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,-103.0,-14.0,-3.0,-5.0,-1.0,3.5,-0.96,0.0,0.0,0.0,0.0,4.76,-5.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-5.0,0.0,0.0,-3.0,-19.62,-2.69,-0.54,-1.38,0.62,-6.92,-0.09,0.15,1.45,0.0,-1.06,1.75,-1.42,0.0,-0.04,-0.04,-0.19,0.0,-0.42,0.0,0.0,-1.42,0.0,0.0,-0.42
13,Stay up to date on the coronavirus outbreak and what it means for Canadians.,"The Ukraine allegations that President Donald Trump's personal attorney Rudy Giuliani is providing to the Justice Department are being vetted by investigators in the US Attorney's Office in Pittsburgh, two US law enforcement officials said.",1.0,63.0,14.0,2.0,4.0,2.0,14.0,4.5,0.0,0.0,0.0,0.0,7.142857142857142,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,-143.0,-21.0,-4.0,-15.0,0.0,-21.0,-1.39,0.0,-33.33,0.0,0.0,4.29,-15.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-15.0,0.0,0.0,1.0,-26.39,-3.86,-0.73,-1.97,0.57,-7.38,-0.15,0.14,0.78,0.0,-1.13,2.02,-2.29,0.0,-0.04,-0.05,-0.22,0.0,-0.41,0.0,0.0,-2.29,0.0,0.0,-0.41
14,"Headlines over the past month have rightfully focused on railway blockades, plane crashes and pandemics. There has been a lot of news and so it’s understandable that some stories get overlooked","Michael Bloomberg is spending unprecedented gobs of his own many billions of dollars on his late entrance into the Democratic presidential primary. What's he getting for all that coin? How much can he spend under the law? And is this, as some liberals claim, …",1.0,163.0,31.0,7.0,10.0,2.0,15.5,5.258064516129032,0.0,14.285714285714285,0.0,6.451612903225806,3.225806451612903,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-53.0,-14.0,-2.0,0.0,0.0,4.25,0.46,-2.0,-7.94,0.0,6.45,3.23,-6.0,0.0,1.0,-2.0,0.0,0.0,-4.0,0.0,0.0,-6.0,0.0,0.0,-4.0,-25.59,-3.74,-0.55,-2.07,0.53,-7.68,-0.15,0.12,1.14,0.0,-0.77,1.99,-2.04,0.0,0.03,-0.0,-0.24,0.0,-0.47,0.0,0.0,-2.04,0.0,0.0,-0.47
15,"Alberta lays out jobs blueprint with the hope 2020 could be ""turnaround year for the economy in this province.""",Mike Bloomberg would like you to forget about last night.,1.0,93.0,19.0,3.0,7.0,2.0,10.0,4.894736842105263,0.0,33.33333333333333,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,45.0,9.0,0.0,4.0,0.0,0.0,0.09,0.0,33.33,0.0,-10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,-1.0,-29.27,-4.39,-0.65,-2.35,0.5,-8.28,-0.17,0.11,2.66,0.0,-0.85,1.77,-2.58,0.0,0.02,-0.02,-0.2,0.0,-0.52,0.0,0.0,-2.58,0.0,0.0,-0.52
16,Alberta Premier Jason Kenney is warning Prime Minister Justin Trudeau that rejecting Teck’s proposed oilsands project would have “devastating impacts” on his province’s economy and would further fuel western political alienation.,"President Donald Trump made 115 false claims over the last two weeks of February, during which he faced a growing crisis over the coronavirus pandemic, visited India, held four campaign rallies and addressed the Conservative Political Action Conference.",1.0,199.0,31.0,11.0,19.0,2.0,31.0,6.419354838709677,0.0,9.090909090909092,0.0,0.0,12.903225806451612,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,-17.0,-7.0,5.0,4.0,0.0,-7.0,0.74,0.0,9.09,0.0,0.0,7.64,-4.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-26.29,-4.25,-0.27,-1.89,0.47,-7.58,-0.1,0.1,2.56,0.0,-0.92,2.32,-2.34,0.0,0.02,-0.03,-0.22,0.0,-0.5,0.0,0.0,-2.34,0.0,0.0,-0.5
17,"Everything seems to be happening at once for the Trudeau government: coronavirus, the Teck mine, rail blockades. But the climate emergency remains the biggest threat facing the nation and the planet - and the government's attention is being spread thin.","The longtime journalist writes that the former NY City mayor can take on Trump--will bring Americans together, owe no favors to anyone, restore citizens' faith in a government that takes on climate change, health care costs and more--and help the country rega…",1.0,214.0,40.0,8.0,16.0,3.0,20.0,5.35,0.0,25.0,0.0,0.0,7.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-5.0,-2.0,-1.0,-2.0,2.0,-22.0,0.14,0.0,25.0,0.0,-2.38,7.5,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-22.79,-3.63,-0.1,-1.65,0.5,-7.57,-0.09,0.09,3.36,0.0,-0.98,2.52,-2.02,0.0,0.02,-0.05,-0.24,0.0,-0.55,0.0,0.0,-2.02,0.0,0.0,-0.55
18,"Say hello to the new budget, much like the old budget.","Despite the former coach's claims that he knew nothing of sexual misconduct allegations against team doctor Richard Strauss, multiple wrestlers say they witnessed him being told directly.",1.0,44.0,11.0,1.0,4.0,2.0,11.0,4.0,0.0,0.0,0.0,9.090909090909092,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-117.0,-16.0,-4.0,-6.0,0.0,-16.0,-1.96,0.0,0.0,0.0,9.09,-3.7,-18.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-18.0,0.0,0.0,-2.0,-28.62,-4.6,-0.31,-2.06,0.47,-8.03,-0.16,0.08,2.77,0.0,-0.56,2.3,-2.89,0.0,0.01,-0.06,-0.26,0.0,-0.59,0.0,0.0,-2.89,0.0,0.0,-0.59
19,The federal government is looking to douse simmering federal-provincial tensions by identifying short-term victories that can be offered to Alberta.,"The Hill on Wednesday released the findings of its months-long review into the work of John Solomon, the former executive at the outlet whose columns pushing right-wing conspiracy theories about Ukraine played a pivotal role in President Donald Trump's impeac…",1.0,129.0,20.0,8.0,4.0,2.0,20.0,6.45,0.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-92.0,-20.0,5.0,-13.0,1.0,-20.0,0.92,0.0,25.0,0.0,-2.5,-2.5,-16.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-16.0,0.0,0.0,-1.0,-29.61,-5.03,-0.15,-2.44,0.45,-7.99,-0.1,0.07,3.48,0.0,-0.64,2.11,-3.23,0.0,0.01,-0.07,-0.28,0.0,-0.62,0.0,0.0,-3.23,0.0,0.0,-0.62
